volume_id,split,slices,tumor_positive_slices,organ_pixels,tumor_pixels,tumor_positive_rate
81,train,343,14,586402,1287,0.04081632653061224
82,train,519,60,1216980,35374,0.11560693641618497
83,train,871,5,738976,28,0.0057405281285878304
84,train,733,219,1358440,135314,0.2987721691678035
85,train,630,34,1773305,3882,0.05396825396825397
86,train,647,48,1341047,1528,0.07418856259659969
87,train,896,0,977069,0,0.0
88,train,811,101,850579,63512,0.12453760789149199
89,train,766,0,955312,0,0.0
90,train,751,163,878478,62781,0.2170439414114514
91,train,751,0,695335,0,0.0
92,train,836,45,843994,658,0.05382775119617225
93,train,696,199,1159662,86945,0.2859195402298851
94,train,917,118,755585,15626,0.128680479825518
95,train,841,13,1017428,646,0.015457788347205707
96,train,722,210,1437977,10152,0.29085872576177285
97,train,671,189,1328221,181385,0.2816691505216095
98,train,645,140,1030896,151997,0.21705426356589147
99,train,629,90,923405,3088,0.14308426073131955
100,train,685,235,1643231,392209,0.34306569343065696
101,train,683,192,1714963,94617,0.28111273792093705
102,train,677,45,1277205,11913,0.06646971935007386
103,train,683,64,612479,18938,0.09370424597364568
104,val,781,122,806897,69032,0.15620998719590268
105,val,986,0,880133,0,0.0
106,val,771,0,578027,0,0.0
107,val,771,71,786675,1473,0.09208819714656291
108,val,856,202,1214366,363698,0.23598130841121495
109,val,756,131,798272,18200,0.17328042328042328
110,val,816,130,805442,31120,0.15931372549019607
111,val,761,92,1151588,1830,0.12089356110381078
112,val,751,26,994677,295,0.03462050599201065
113,val,836,135,842328,21076,0.16148325358851676
114,val,846,0,924037,0,0.0
115,val,846,0,827578,0,0.0
116,val,908,133,1065372,152763,0.14647577092511013
117,test,836,245,1260975,258593,0.2930622009569378
118,test,427,86,639417,104812,0.20140515222482436
119,test,461,0,589923,0,0.0
120,test,424,52,478934,1305,0.12264150943396226
121,test,463,16,476958,526,0.03455723542116631
122,test,422,64,463846,19939,0.15165876777251186
123,test,432,82,722744,57036,0.18981481481481483
124,test,407,56,374041,18027,0.1375921375921376
125,test,410,9,532001,190,0.02195121951219512
126,test,401,15,665993,1277,0.03740648379052369
127,test,987,3,978831,73,0.00303951367781155
128,test,654,144,1386123,81773,0.22018348623853212
129,test,338,226,2383370,477502,0.6686390532544378
130,test,624,199,1315584,345888,0.3189102564102564
