volume_id,volume_path,segmentation_path,pair_complete,ct_shape,seg_shape,shape_match,ct_axis_codes,seg_axis_codes,affine_match,ct_spacing,seg_spacing,slice_count
23,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-23.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-23.nii,True,"(512, 512, 391)","(512, 512, 391)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.66015625, 0.66015625, 1.2000000476837158)","(0.66015625, 0.66015625, 1.2000000476837158)",391
24,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-24.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-24.nii,True,"(512, 512, 276)","(512, 512, 276)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.669921875, 0.669921875, 1.5)","(0.669921875, 0.669921875, 1.5)",276
25,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-25.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-25.nii,True,"(512, 512, 601)","(512, 512, 601)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.767578125, 0.767578125, 0.699999988079071)","(0.767578125, 0.767578125, 0.699999988079071)",601
26,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-26.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-26.nii,True,"(512, 512, 668)","(512, 512, 668)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.86328125, 0.86328125, 0.699999988079071)","(0.86328125, 0.86328125, 0.699999988079071)",668
27,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-27.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-27.nii,True,"(512, 512, 861)","(512, 512, 861)",True,"('L', 'A', 'S')","('L', 'A', 'S')",True,"(0.73828125, 0.73828125, 0.699999988079071)","(0.73828125, 0.73828125, 0.699999988079071)",861
28,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-28.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-28.nii,True,"(512, 512, 129)","(512, 512, 129)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",129
29,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-29.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-29.nii,True,"(512, 512, 172)","(512, 512, 172)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",172
30,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-30.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-30.nii,True,"(512, 512, 200)","(512, 512, 200)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",200
31,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-31.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-31.nii,True,"(512, 512, 91)","(512, 512, 91)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",91
32,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-32.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-32.nii,True,"(512, 512, 139)","(512, 512, 139)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",139
33,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-33.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-33.nii,True,"(512, 512, 135)","(512, 512, 135)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",135
34,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-34.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-34.nii,True,"(512, 512, 151)","(512, 512, 151)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",151
35,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-35.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-35.nii,True,"(512, 512, 124)","(512, 512, 124)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",124
36,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-36.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-36.nii,True,"(512, 512, 111)","(512, 512, 111)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",111
37,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-37.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-37.nii,True,"(512, 512, 122)","(512, 512, 122)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",122
38,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-38.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-38.nii,True,"(512, 512, 132)","(512, 512, 132)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",132
39,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-39.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-39.nii,True,"(512, 512, 260)","(512, 512, 260)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",260
40,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-40.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-40.nii,True,"(512, 512, 122)","(512, 512, 122)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",122
41,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-41.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-41.nii,True,"(512, 512, 113)","(512, 512, 113)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",113
42,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-42.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-42.nii,True,"(512, 512, 125)","(512, 512, 125)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",125
43,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-43.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-43.nii,True,"(512, 512, 155)","(512, 512, 155)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",155
44,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-44.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-44.nii,True,"(512, 512, 119)","(512, 512, 119)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",119
45,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-45.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-45.nii,True,"(512, 512, 74)","(512, 512, 74)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",74
46,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-46.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-46.nii,True,"(512, 512, 124)","(512, 512, 124)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",124
47,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-47.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-47.nii,True,"(512, 512, 225)","(512, 512, 225)",True,"('R', 'A', 'S')","('R', 'A', 'S')",True,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)",225
48,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-48.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-48.nii,True,"(512, 512, 244)","(512, 512, 244)",True,"('L', 'A', 'S')","('R', 'A', 'S')",False,"(0.9765620231628418, 0.9765620231628418, 2.5)","(1.0, 1.0, 1.0)",244
49,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-49.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-49.nii,True,"(512, 512, 254)","(512, 512, 254)",True,"('L', 'A', 'S')","('R', 'A', 'S')",False,"(0.955078125, 0.955078125, 2.5)","(1.0, 1.0, 1.0)",254
50,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-50.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-50.nii,True,"(512, 512, 240)","(512, 512, 240)",True,"('L', 'A', 'S')","('R', 'A', 'S')",False,"(0.90625, 0.90625, 2.5)","(1.0, 1.0, 1.0)",240
51,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-51.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-51.nii,True,"(512, 512, 227)","(512, 512, 227)",True,"('L', 'A', 'S')","('R', 'A', 'S')",False,"(0.90234375, 0.90234375, 3.0)","(1.0, 1.0, 1.0)",227
52,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-52.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-52.nii,True,"(512, 512, 237)","(512, 512, 237)",True,"('L', 'A', 'S')","('R', 'A', 'S')",False,"(0.8359379768371582, 0.8359379768371582, 2.5)","(1.0, 1.0, 1.0)",237
53,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-53.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-53.nii,True,"(512, 512, 105)","(512, 512, 105)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.8500000238418579, 0.8500000238418579, 4.0)","(0.8500000238418579, 0.8500000238418579, 4.0)",105
54,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-54.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-54.nii,True,"(512, 512, 96)","(512, 512, 96)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.828125, 0.828125, 5.0)","(0.828125, 0.828125, 5.0)",96
55,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-55.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-55.nii,True,"(512, 512, 192)","(512, 512, 192)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.6660159826278687, 0.6660159826278687, 2.5)","(0.6660159826278687, 0.6660159826278687, 2.5)",192
56,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-56.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-56.nii,True,"(512, 512, 239)","(512, 512, 239)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.8027340173721313, 0.8027340173721313, 2.0)","(0.8027340173721313, 0.8027340173721313, 2.0)",239
57,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-57.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-57.nii,True,"(512, 512, 366)","(512, 512, 366)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.703125, 0.703125, 1.25)","(0.703125, 0.703125, 1.25)",366
58,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-58.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-58.nii,True,"(512, 512, 212)","(512, 512, 212)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.6835939884185791, 0.6835939884185791, 2.0)","(0.6835939884185791, 0.6835939884185791, 2.0)",212
59,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-59.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-59.nii,True,"(512, 512, 216)","(512, 512, 216)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.6835939884185791, 0.6835939884185791, 2.0)","(0.6835939884185791, 0.6835939884185791, 2.0)",216
60,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-60.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-60.nii,True,"(512, 512, 244)","(512, 512, 244)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.7988280057907104, 0.7988280057907104, 2.0)","(0.7988280057907104, 0.7988280057907104, 2.0)",244
61,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-61.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-61.nii,True,"(512, 512, 193)","(512, 512, 193)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.7578120231628418, 0.7578120231628418, 2.5)","(0.7578120231628418, 0.7578120231628418, 2.5)",193
62,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-62.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-62.nii,True,"(512, 512, 188)","(512, 512, 188)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.6445310115814209, 0.6445310115814209, 2.0)","(0.6445310115814209, 0.6445310115814209, 2.0)",188
63,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-63.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-63.nii,True,"(512, 512, 104)","(512, 512, 104)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.7402340173721313, 0.7402340173721313, 5.0)","(0.7402340173721313, 0.7402340173721313, 5.0)",104
64,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-64.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-64.nii,True,"(512, 512, 230)","(512, 512, 230)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.7773439884185791, 0.7773439884185791, 2.0)","(0.7773439884185791, 0.7773439884185791, 2.0)",230
65,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\volumes\volume-65.nii,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver\01_raw_authoritative\segmentations\segmentation-65.nii,True,"(512, 512, 513)","(512, 512, 513)",True,"('L', 'P', 'S')","('L', 'P', 'S')",True,"(0.625, 0.625, 0.7989500164985657)","(0.625, 0.625, 0.7989500164985657)",513
