volume_id,slice_index,component_count,tiny_components_lt_10px,smallest_component_pixels,largest_component_pixels
16,430,6,4,1,1666
16,431,3,1,1,1638
16,432,6,4,1,1619
16,433,3,1,1,1618
16,434,7,4,1,1477
16,436,4,1,3,1330
16,437,3,1,1,1230
16,438,3,1,1,1140
16,439,6,4,1,1040
16,440,5,3,1,956
16,442,4,1,5,772
16,443,5,4,2,674
16,448,6,3,1,147
16,449,4,3,2,42
17,371,1,1,1,1
17,372,2,1,1,25
17,373,2,1,1,48
17,374,4,3,2,57
17,375,3,1,2,63
17,376,3,1,4,73
17,380,3,1,1,83
17,381,4,2,1,89
17,382,4,2,1,102
17,383,4,1,1,103
17,390,3,1,4,175
17,391,3,1,4,182
17,393,4,2,2,188
17,394,3,1,1,191
17,395,3,1,1,189
17,401,4,2,1,165
17,409,3,2,5,181
17,410,2,1,1,180
17,418,2,1,1,96
17,422,2,1,3,27
18,396,1,1,3,3
18,397,1,1,5,5
18,398,2,2,2,7
18,406,2,1,8,21
18,407,3,2,1,17
18,408,3,2,2,18
18,409,3,2,2,11
18,410,4,3,1,10
18,411,2,1,2,15
18,414,2,1,8,52
18,415,3,1,1,53
18,423,3,1,1,84
18,427,3,1,3,70
18,430,2,1,3,70
18,433,3,1,1,29
18,434,2,1,9,26
18,435,2,1,2,23
18,436,2,1,1,16
18,438,1,1,5,5
19,423,1,1,3,3
19,424,6,5,1,15
19,425,4,2,2,38
19,426,3,2,2,98
19,427,3,2,4,219
19,429,4,1,1,86
19,430,4,1,3,84
19,431,4,1,9,77
19,433,6,2,1,74
19,434,6,3,1,71
19,436,7,3,1,65
19,437,4,2,1,100
19,438,3,1,1,125
19,440,3,1,1,112
19,441,3,1,1,110
19,442,3,1,1,105
19,445,4,2,1,104
19,446,4,2,1,104
19,447,4,3,4,94
19,448,2,1,4,93
19,449,3,2,2,85
19,450,3,2,6,78
19,451,4,2,1,83
19,452,4,2,5,71
19,453,4,2,1,43
19,458,3,1,1,23
19,459,3,2,1,12
19,460,1,1,9,9
19,461,1,1,1,1
19,475,1,1,1,1
19,476,1,1,3,3
19,477,1,1,8,8
19,480,1,1,8,8
19,481,1,1,6,6
19,482,1,1,2,2
19,483,1,1,2,2
20,470,1,1,1,1
20,471,2,2,4,6
20,474,3,2,1,29
20,475,2,1,2,40
20,476,2,1,2,37
20,477,2,1,3,40
20,478,2,1,2,26
20,479,3,3,1,6
20,480,1,1,1,1
20,481,1,1,1,1
20,482,2,2,1,1
20,483,1,1,2,2
20,486,2,1,1,32
20,490,2,2,7,8
20,491,1,1,4,4
21,332,1,1,4,4
21,352,2,1,1,122
21,353,2,1,1,115
21,354,2,1,6,98
21,355,3,1,1,79
21,356,2,1,2,106
21,357,4,2,2,61
21,358,3,1,5,63
21,359,5,4,1,75
21,360,2,1,1,76
21,364,3,2,2,32
21,365,2,1,1,18
21,366,2,2,3,5
21,368,2,1,6,34
21,378,2,1,3,206
21,387,3,1,1,145
21,388,4,1,3,165
21,390,3,1,1,162
21,391,3,1,1,168
21,393,3,1,3,168
21,394,3,1,2,112
21,396,2,1,9,64
21,397,2,1,2,48
21,398,3,2,1,26
21,399,2,1,1,13
22,128,3,1,1,156
22,137,6,4,1,17
23,322,1,1,6,6
23,324,2,1,2,60
23,327,3,2,2,177
23,344,2,1,2,459
23,346,4,3,2,290
23,347,3,2,2,261
23,349,2,1,1,135
23,351,3,2,1,23
23,352,2,2,2,8
23,353,1,1,1,1
24,200,2,1,2,62
24,202,3,3,2,4
25,517,1,1,3,3
25,518,1,1,9,9
25,523,3,2,1,11
25,524,1,1,4,4
25,525,1,1,5,5
25,526,1,1,2,2
25,527,1,1,1,1
26,310,2,1,2,277
26,353,2,1,5,49
26,356,2,1,7,82
26,357,2,1,2,92
26,360,2,1,2,108
26,365,2,1,9,126
26,366,2,1,6,134
26,367,2,1,3,152
26,374,4,3,1,152
26,379,2,1,5,97
26,392,1,1,7,7
26,393,1,1,7,7
26,394,1,1,5,5
27,380,1,1,2,2
27,381,1,1,4,4
27,388,2,1,3,131
27,389,3,2,4,160
27,390,2,1,9,194
27,392,3,1,1,188
27,395,3,1,3,189
27,396,3,1,7,180
27,399,3,1,2,158
27,400,4,2,2,175
27,401,9,7,1,208
27,406,4,2,2,356
27,408,3,1,2,455
27,416,5,1,2,378
27,418,4,1,4,364
27,419,4,2,4,350
27,420,3,1,4,333
27,421,3,1,3,330
27,422,5,3,1,333
27,423,6,4,1,333
27,424,8,6,1,348
27,425,5,2,1,415
27,426,6,2,1,455
27,427,4,1,2,527
27,428,3,1,1,707
27,430,3,1,2,691
27,431,4,1,2,687
27,432,4,2,2,692
27,433,3,1,5,705
27,434,3,1,7,684
27,435,4,1,8,613
27,436,3,1,4,595
27,439,5,1,1,470
27,441,4,2,2,352
27,442,4,2,4,300
27,443,5,2,1,198
27,445,5,2,1,165
27,446,5,1,1,151
27,447,5,1,3,147
27,448,4,1,9,132
27,449,4,1,5,126
27,450,4,1,2,107
27,453,3,1,1,107
27,454,4,2,3,114
27,455,3,1,4,120
27,456,3,1,3,129
27,457,3,1,1,141
27,458,4,2,1,148
27,459,4,2,3,158
27,460,4,2,1,160
27,462,3,1,1,155
27,463,3,1,1,156
27,464,4,2,1,154
27,465,4,2,3,156
27,466,4,1,4,148
27,467,4,1,7,146
27,468,5,2,2,133
27,469,6,2,1,128
27,474,4,1,1,123
27,475,5,2,1,127
27,478,5,2,1,211
27,479,7,5,1,180
27,486,2,1,4,266
27,497,2,1,1,150
27,499,4,2,1,50
27,500,4,1,3,27
27,501,4,2,7,21
27,502,4,2,3,24
27,503,3,1,4,32
27,504,2,1,3,39
27,516,2,2,2,3
27,536,2,2,1,2
27,537,3,3,1,2
27,538,2,2,2,5
27,539,3,3,4,8
27,540,2,2,4,4
27,541,3,2,3,10
27,542,1,1,1,1
31,29,1,1,5,5
31,30,1,1,4,4
31,31,1,1,1,1
31,38,1,1,2,2
31,39,1,1,5,5
31,43,2,1,5,22
31,45,2,1,2,29
31,50,3,1,4,35
31,51,3,1,4,46
31,53,2,1,3,72
31,59,2,1,9,15
31,68,1,1,1,1
31,69,1,1,4,4
31,70,1,1,5,5
31,71,1,1,1,1
33,54,2,1,8,626
33,74,4,1,2,1066
33,75,4,1,1,1114
33,96,9,1,6,962
33,102,7,1,1,1069
33,104,5,1,2,2101
33,106,7,1,4,990
33,107,7,2,2,931
33,108,10,2,1,850
33,109,11,2,1,782
33,111,8,1,8,809
33,112,9,1,6,851
33,114,6,2,1,730
33,115,7,1,7,613
33,117,8,1,1,548
33,119,9,2,1,435
33,120,9,2,1,323
33,123,4,1,6,105
33,124,5,3,1,42
35,44,1,1,6,6
36,32,2,1,1,521
37,54,1,1,4,4
37,61,1,1,8,8
37,69,1,1,4,4
37,81,1,1,4,4
37,84,1,1,9,9
37,106,2,1,4,93
37,107,2,1,9,80
39,34,2,1,1,1557
39,42,2,1,1,1908
39,43,2,1,1,1924
39,48,2,1,2,1963
39,49,2,1,1,1966
39,64,2,1,1,1450
39,67,2,1,1,1169
39,69,3,2,1,1076
39,73,2,1,1,656
40,70,5,1,8,121
40,71,7,1,8,138
40,92,4,1,7,353
40,95,5,1,8,376
42,105,2,1,8,75
42,106,2,1,9,91
42,107,2,1,4,65
43,52,1,1,1,1
46,42,3,1,2,191
46,43,6,1,6,93
46,46,6,1,6,142
46,47,7,2,1,390
46,50,7,1,8,461
46,53,6,1,7,148
46,54,6,1,4,62
46,55,6,1,7,53
46,56,6,1,8,51
46,57,6,3,1,46
46,58,6,1,9,67
46,59,8,1,5,92
46,60,9,3,8,73
46,65,7,2,3,204
49,133,1,1,9,9
49,149,3,1,8,144
49,159,1,1,6,6
49,161,2,1,6,15
49,163,2,1,6,31
56,136,1,1,2,2
56,175,1,1,2,2
56,216,2,1,3,176
58,168,2,1,7,29
58,171,1,1,3,3
58,184,2,1,8,22
58,185,2,1,7,12
58,186,1,1,9,9
60,184,1,1,7,7
62,111,3,2,5,21
62,120,1,1,8,8
63,71,1,1,5,5
63,89,1,1,5,5
66,78,4,1,8,70
66,80,1,1,3,3
67,129,1,1,8,8
69,208,1,1,6,6
70,256,1,1,9,9
72,74,2,1,7,303
78,149,2,1,8,10
78,152,1,1,8,8
78,153,1,1,6,6
78,158,3,2,8,14
78,159,1,1,7,7
78,164,2,1,7,184
78,168,2,1,8,176
78,169,3,2,4,142
78,175,1,1,6,6
78,178,1,1,5,5
79,122,3,1,8,98
83,569,1,1,5,5
83,570,1,1,6,6
83,571,1,1,6,6
83,572,1,1,6,6
83,573,1,1,5,5
84,420,2,2,1,2
84,421,2,2,6,8
84,423,3,1,2,18
84,427,2,1,4,164
84,474,1,1,1,1
84,495,2,1,6,182
84,496,2,1,6,160
84,497,3,2,2,158
84,498,4,2,2,185
84,499,3,1,8,199
84,501,3,1,1,267
84,502,3,1,3,263
84,504,4,2,1,312
84,505,4,1,1,297
84,516,4,1,1,295
84,517,3,1,6,338
84,532,4,1,1,655
84,533,7,4,3,688
84,536,6,3,1,834
84,537,9,5,1,800
84,538,7,1,1,815
84,539,5,1,1,895
84,540,5,1,1,927
84,542,7,3,1,955
84,543,8,4,1,1008
84,544,7,4,1,1041
84,546,5,2,1,1100
84,547,4,1,2,1130
84,548,4,1,3,1159
84,549,4,1,8,1182
84,552,5,1,7,1145
84,557,5,1,1,1116
84,558,5,1,1,1123
84,560,5,1,1,1137
84,565,5,1,1,1145
84,566,5,1,9,1145
84,567,6,1,1,1114
84,568,6,1,2,1091
84,570,9,4,1,1043
84,571,8,2,1,836
84,572,7,2,4,935
84,573,8,2,1,742
84,574,8,2,1,707
84,575,11,5,1,685
84,576,7,2,1,650
84,577,7,2,1,615
84,579,6,1,1,568
84,582,7,2,1,485
84,583,9,4,1,451
84,585,13,7,1,337
84,586,8,2,1,323
84,587,7,1,1,316
84,588,5,1,8,304
84,589,6,1,1,291
84,590,5,1,1,285
84,594,5,1,1,266
84,595,4,1,1,257
84,606,3,2,1,165
84,617,2,1,4,64
84,618,1,1,5,5
84,625,1,1,3,3
84,626,1,1,1,1
84,627,1,1,6,6
84,628,1,1,8,8
84,643,2,2,1,4
86,379,1,1,4,4
86,380,1,1,4,4
86,381,1,1,4,4
86,382,1,1,8,8
86,383,1,1,7,7
86,384,1,1,5,5
86,385,1,1,7,7
86,386,1,1,3,3
86,387,1,1,3,3
86,505,1,1,5,5
86,506,1,1,3,3
88,401,1,1,7,7
88,402,1,1,8,8
88,403,1,1,8,8
88,404,1,1,8,8
88,412,1,1,4,4
88,413,2,2,6,8
88,414,2,1,6,13
88,416,2,1,5,59
88,420,3,1,5,186
88,424,4,1,1,217
88,434,2,1,7,837
88,435,2,1,7,882
88,438,2,1,8,1224
88,461,3,1,9,1195
88,465,4,1,8,1095
88,479,5,1,9,253
88,480,4,1,9,213
88,481,3,1,8,179
88,482,2,1,7,136
88,491,1,1,3,3
88,507,1,1,7,7
88,508,1,1,6,6
88,509,1,1,5,5
88,510,1,1,4,4
88,511,1,1,6,6
88,512,1,1,6,6
88,513,1,1,5,5
88,514,1,1,6,6
88,515,1,1,2,2
88,516,1,1,1,1
90,311,1,1,6,6
90,312,1,1,9,9
90,353,4,1,9,368
90,354,4,1,6,370
90,356,4,1,2,363
90,357,3,2,6,362
90,361,3,1,9,317
90,362,3,1,4,351
90,366,3,1,9,351
90,367,3,1,8,371
90,368,3,1,7,373
90,374,2,1,9,391
90,375,2,1,9,381
90,398,1,1,1,1
90,399,3,3,1,1
90,400,3,3,1,7
90,407,3,1,8,47
90,416,3,1,8,181
90,417,3,1,4,183
90,418,3,1,3,180
90,478,3,2,1,68
92,459,3,3,1,8
92,469,1,1,8,8
92,473,1,1,9,9
92,490,1,1,7,7
92,491,1,1,6,6
92,495,1,1,9,9
92,496,1,1,9,9
92,508,2,1,4,13
92,509,2,1,5,11
92,510,3,2,1,10
92,511,3,3,3,8
92,512,3,3,3,4
92,513,2,2,3,6
92,514,1,1,3,3
92,515,1,1,2,2
92,517,1,1,4,4
92,518,1,1,3,3
92,519,2,2,4,5
92,520,2,2,5,7
92,521,2,2,3,7
92,522,1,1,3,3
93,297,1,1,8,8
93,298,1,1,8,8
93,301,2,2,4,9
93,302,1,1,8,8
93,303,1,1,9,9
93,308,3,1,7,39
93,309,3,1,7,47
93,339,6,1,7,215
93,340,4,1,8,214
93,383,6,1,2,127
93,384,6,2,1,150
93,421,6,1,1,500
93,423,5,1,3,464
93,435,6,1,9,456
93,437,9,2,1,460
93,438,10,3,1,458
93,439,8,1,1,453
93,440,8,1,1,470
93,441,9,1,6,471
93,448,5,1,1,553
93,461,4,1,9,33
93,474,3,1,3,30
94,463,1,1,5,5
94,464,1,1,8,8
94,478,1,1,7,7
94,479,1,1,2,2
94,505,1,1,1,1
94,506,1,1,3,3
94,507,1,1,8,8
94,547,2,1,5,142
94,568,5,1,5,104
94,569,5,1,4,102
94,570,5,1,7,101
94,571,4,1,9,102
94,573,5,1,8,118
94,578,4,1,8,154
94,579,5,1,6,162
94,591,4,1,7,95
94,592,4,1,7,102
95,497,1,1,1,1
95,500,3,3,1,9
95,507,5,4,1,82
96,396,2,2,1,3
96,397,1,1,9,9
96,400,2,1,7,12
96,402,2,1,8,17
96,403,2,1,7,21
96,404,2,1,5,23
96,405,2,1,2,26
96,406,2,1,1,19
96,415,2,1,3,23
96,416,2,1,5,27
96,417,2,1,5,16
96,418,4,3,1,22
96,419,4,3,1,25
96,420,4,2,1,30
96,421,3,1,1,29
96,422,3,1,8,31
96,424,4,1,1,38
96,428,3,1,8,41
96,433,4,2,1,32
96,434,4,3,1,32
96,435,3,2,1,35
96,436,3,2,1,20
96,437,2,1,2,15
96,439,1,1,9,9
96,440,2,2,1,4
96,441,1,1,5,5
96,442,1,1,4,4
96,449,1,1,3,3
96,450,1,1,4,4
96,451,1,1,6,6
96,452,1,1,4,4
96,453,1,1,2,2
96,454,1,1,1,1
96,456,2,2,1,2
96,458,3,2,1,18
96,460,2,1,1,36
96,468,4,3,1,72
96,469,4,3,1,59
96,470,5,3,1,48
96,472,3,1,1,38
96,476,5,4,1,35
96,477,5,4,1,35
96,481,2,1,1,19
96,482,1,1,7,7
96,486,1,1,1,1
96,487,3,3,1,2
96,488,3,2,1,10
96,489,2,2,6,7
96,490,3,2,3,10
96,491,2,1,7,20
96,492,2,1,7,26
96,493,2,1,8,29
96,494,2,1,3,33
96,495,2,1,2,37
96,496,2,1,1,43
96,497,2,1,1,47
96,505,2,2,1,7
96,506,1,1,2,2
96,507,2,2,1,1
96,508,2,1,1,12
96,522,2,2,1,3
96,523,1,1,2,2
96,527,1,1,1,1
96,528,2,2,1,2
96,529,2,2,4,6
96,530,2,1,6,10
96,531,3,1,1,16
96,539,4,4,1,9
96,540,3,3,1,7
96,541,2,2,1,5
96,542,1,1,1,1
96,563,1,1,1,1
96,564,3,3,1,2
96,565,4,4,1,7
96,566,3,2,7,12
96,568,4,2,1,28
96,569,5,3,1,31
96,570,4,1,1,35
96,574,5,2,1,51
96,575,5,3,1,49
96,576,5,4,1,58
96,577,4,3,1,62
96,582,2,1,2,62
96,583,3,2,1,58
96,584,3,2,3,48
96,585,3,1,7,49
96,586,4,1,1,43
96,587,5,2,1,34
96,588,5,2,3,23
96,589,5,1,5,29
96,590,5,1,9,33
96,591,5,1,9,48
96,592,5,2,4,68
96,593,4,2,5,71
96,594,4,2,5,80
96,595,4,2,5,113
96,609,2,1,5,122
96,610,2,1,4,125
96,617,2,1,1,81
96,618,3,2,1,61
96,619,3,2,4,48
96,624,3,1,1,22
96,625,3,1,1,20
96,626,3,1,4,25
96,627,4,3,1,19
96,628,2,2,4,5
96,629,3,3,1,3
96,630,1,1,3,3
96,631,1,1,2,2
96,633,1,1,2,2
96,634,1,1,2,2
96,635,1,1,3,3
96,636,1,1,7,7
96,637,1,1,8,8
96,638,1,1,9,9
96,639,1,1,5,5
97,492,2,1,8,339
97,499,4,1,5,328
97,508,5,1,5,172
97,512,4,2,3,267
97,513,3,1,3,260
97,514,3,1,6,261
97,515,3,1,4,263
97,516,3,1,2,252
97,517,3,1,2,246
97,520,4,1,3,252
97,521,4,1,9,229
97,524,6,2,1,235
97,525,5,1,6,237
97,526,5,1,7,288
97,527,6,1,8,310
97,529,6,1,8,351
97,531,6,1,9,396
97,544,5,1,9,750
97,549,6,1,4,711
97,551,7,1,4,692
97,564,7,1,7,702
97,569,8,1,8,591
97,572,8,1,1,613
97,578,8,1,6,547
97,579,7,1,2,878
97,580,6,1,6,886
97,581,6,1,3,915
97,587,7,1,9,899
97,594,7,1,3,560
97,595,7,1,7,549
97,596,7,1,8,529
97,602,10,4,1,409
97,603,7,1,9,445
97,609,6,1,7,433
97,610,7,2,3,418
97,611,6,1,7,400
97,612,5,1,6,388
97,628,2,1,4,18
97,629,1,1,5,5
97,630,1,1,1,1
97,631,1,1,2,2
98,485,1,1,1,1
98,486,2,2,1,1
98,487,2,2,1,6
98,488,2,1,1,11
98,489,3,2,1,13
98,494,1,1,6,6
98,495,1,1,1,1
98,507,3,2,1,50
98,508,4,2,1,48
98,509,7,5,1,46
98,510,11,5,1,45
98,511,10,2,1,87
98,512,8,2,1,121
98,513,11,6,1,147
98,514,9,2,7,172
98,515,8,2,1,193
98,517,9,1,1,220
98,519,8,2,2,239
98,520,9,3,2,310
98,521,11,5,1,362
98,522,7,3,4,390
98,523,6,2,5,407
98,524,8,3,3,405
98,525,7,1,1,417
98,528,6,1,1,456
98,529,6,1,6,475
98,531,5,1,7,512
98,532,6,1,5,503
98,533,7,1,2,507
98,534,6,1,1,541
98,536,6,2,1,562
98,537,5,1,1,561
98,538,7,3,1,554
98,539,5,1,9,563
98,540,8,5,1,555
98,543,4,1,6,570
98,545,5,1,1,731
98,546,7,3,1,765
98,547,7,3,1,804
98,548,7,3,1,840
98,549,7,3,1,877
98,550,7,3,1,920
98,551,6,2,1,967
98,553,6,1,1,1055
98,557,7,2,1,1203
98,558,9,4,1,1224
98,559,7,1,3,1232
98,560,8,2,1,1254
98,561,8,1,3,1283
98,562,10,2,1,1308
98,563,9,2,1,1510
98,564,8,2,8,1537
98,565,10,4,1,1555
98,566,7,1,5,1582
98,567,8,2,3,1610
98,571,7,3,1,1661
98,572,6,2,1,1656
98,573,7,3,1,1649
98,574,9,5,1,1648
98,575,7,3,1,1639
98,576,6,3,1,1634
98,577,6,3,3,1632
98,578,6,2,1,1625
98,579,6,3,1,1620
98,580,4,1,2,1612
98,581,4,1,1,1616
98,583,4,1,3,1607
98,584,3,1,6,1592
98,585,3,1,3,1605
98,594,3,1,1,1555
98,603,5,3,2,1321
98,624,3,2,1,266
99,420,1,1,9,9
99,436,1,1,3,3
99,473,1,1,8,8
99,474,1,1,8,8
99,488,1,1,1,1
99,516,1,1,6,6
99,520,1,1,9,9
99,521,2,2,5,6
99,522,1,1,6,6
99,523,1,1,2,2
99,524,1,1,5,5
99,525,2,2,3,5
99,526,2,2,3,4
99,540,2,1,8,44
99,545,3,1,7,64
99,546,3,2,2,68
99,548,3,1,2,79
99,550,4,2,1,77
99,555,3,1,9,38
99,556,2,1,4,28
99,558,3,1,6,14
99,559,2,1,6,18
99,561,2,1,6,28
99,562,2,1,4,32
100,406,1,1,4,4
100,407,1,1,9,9
100,412,1,1,6,6
100,413,1,1,3,3
100,420,1,1,1,1
100,482,2,1,1,2033
100,508,2,1,7,2108
100,536,4,1,9,1433
100,537,4,1,9,1450
100,541,4,2,1,1652
100,542,3,1,4,1753
100,543,3,1,3,1753
100,544,3,1,4,1801
100,545,3,1,2,1818
100,546,3,2,1,1868
100,547,3,2,3,1918
100,548,2,1,7,1916
100,549,2,1,2,1942
100,554,2,1,4,2219
100,555,2,1,5,2248
100,560,3,1,5,2512
100,561,4,2,4,2515
100,562,4,1,9,2560
100,563,4,1,7,2566
100,570,2,1,9,2665
100,571,2,1,8,2686
100,576,2,1,4,2614
100,577,2,1,7,2657
100,598,3,1,8,2298
100,599,4,2,5,2289
100,600,4,1,3,2280
100,601,4,1,3,2255
100,602,4,1,3,2248
100,603,3,1,1,2225
100,636,3,1,7,105
100,637,3,2,5,80
