source_patient_id,internal_patient_id,ct_relative_path,liver_relative_path,tumour_relative_path,shape_xyz,ct_source_voxels,ct_normalized_voxels,ct_exact_parity,liver_source_voxels,liver_normalized_voxels,liver_exact_parity,tumour_source_voxels,tumour_normalized_voxels,tumour_exact_parity,ct_finite,ct_sha256,liver_sha256,tumour_sha256
3Dircadb1.11,ircadb_11,outputs\normalized\ircadb_11\ct_hu.nii.gz,outputs\normalized\ircadb_11\liver_mask.nii.gz,outputs\normalized\ircadb_11\tumour_mask.nii.gz,512x512x132,34603008,34603008,True,1692716,1692716,True,0,0,True,True,00c9e9da90995cd21c32c87c2725b7972c5b2ad49bf01005242af9545c4edbd6,ba0bf18c67b55afaa6a0a23f3f766d7a7b0271f58ee742930aa4346971ecbe2c,4cd208870268f4408626230b1fcca22913ad26f981b5581f1ea38bae94695727
3Dircadb1.12,ircadb_12,outputs\normalized\ircadb_12\ct_hu.nii.gz,outputs\normalized\ircadb_12\liver_mask.nii.gz,outputs\normalized\ircadb_12\tumour_mask.nii.gz,512x512x260,68157440,68157440,True,3341433,3341433,True,348986,348986,True,True,cf79488a5e7c3ee4a3bd1d2008d91213cd7a65a44ff4e6c7d155ad0cbe41286d,16fbe9b6d835c1d4c7f6919408136e1232a121760b19ecb6812e57ae8999f3f8,6502917db1c0ceee3255cf5032d7e091b9a69bad58e82c7fc40481e6c97a7c11
3Dircadb1.13,ircadb_13,outputs\normalized\ircadb_13\ct_hu.nii.gz,outputs\normalized\ircadb_13\liver_mask.nii.gz,outputs\normalized\ircadb_13\tumour_mask.nii.gz,512x512x122,31981568,31981568,True,2063109,2063109,True,122480,122480,True,True,c758d10286f3b403c1c3f44d042f3391bb9eeff5c2682cd1212fa113d38c7143,352eaa8383b2745f50de20999cbca2112a150a84e9efe90a4001d3b44788db3c,f91e45234bcef46c3a2820182c1683bdc6fe3bc9fb9ed72bfe5c9d5b438d2bde
3Dircadb1.14,ircadb_14,outputs\normalized\ircadb_14\ct_hu.nii.gz,outputs\normalized\ircadb_14\liver_mask.nii.gz,outputs\normalized\ircadb_14\tumour_mask.nii.gz,512x512x113,29622272,29622272,True,1633641,1633641,True,0,0,True,True,d2dc2a33678ab745523d00c3747f9a26c914bf06ac54942645a101b1e25a895b,80dc27b789132a0bb512b4d0f1a4ddb27e12cfbcf6380b804edc374c289b721c,ab1cd17db724507861239cb3d9a80dfe0946e805a2f0b86a392c11b85fdd5246
3Dircadb1.15,ircadb_15,outputs\normalized\ircadb_15\ct_hu.nii.gz,outputs\normalized\ircadb_15\liver_mask.nii.gz,outputs\normalized\ircadb_15\tumour_mask.nii.gz,512x512x125,32768000,32768000,True,1389572,1389572,True,1638,1638,True,True,4f02a0fd417f70cfe700803e51fb8ab7e5096c8bb47539823a3f661663df16b7,991424c5c14d8f95c72d348690290a2f7b1d9bb3a009bf01701cf6c4a6ae927d,5f96889e4dd3d14b4ff65793fa087435c9f2cbf6efa1cd616d7c626cb06b03a9
3Dircadb1.16,ircadb_16,outputs\normalized\ircadb_16\ct_hu.nii.gz,outputs\normalized\ircadb_16\liver_mask.nii.gz,outputs\normalized\ircadb_16\tumour_mask.nii.gz,512x512x155,40632320,40632320,True,2717185,2717185,True,7337,7337,True,True,e1b9b54df859fb31d8377d3b67c349331aaab80b9ece90ca620c08e3a809faac,f6fa3edb9ca113462865a24d71fd7dc64b224c13d1413cec10eed9dff072a5a8,032ca5a3eebae1b4b8bbcb16effa3f174440624656ff8389c9ba4d827ed32841
3Dircadb1.17,ircadb_17,outputs\normalized\ircadb_17\ct_hu.nii.gz,outputs\normalized\ircadb_17\liver_mask.nii.gz,outputs\normalized\ircadb_17\tumour_mask.nii.gz,512x512x119,31195136,31195136,True,2106497,2106497,True,185990,185990,True,True,5e7102aa5e1f1d1345f5df34e40eb12faffecaa99d61e4b2c7b3622e3f8d8993,d2cddaea7f4ab931743701514cf8a9839ad07a467e746076e73913b1f68f8e12,939337b38656c23907f57fd2d7a43ed8014f65a9ec6b4c152a1e7c7141a10ba8
3Dircadb1.18,ircadb_18,outputs\normalized\ircadb_18\ct_hu.nii.gz,outputs\normalized\ircadb_18\liver_mask.nii.gz,outputs\normalized\ircadb_18\tumour_mask.nii.gz,512x512x74,19398656,19398656,True,1220564,1220564,True,4539,4539,True,True,ab9b80f370fdf186ba99654b74b65a069ce74cf7f1eb579e33d82c61f3fdc13f,030a1492e93952a4ca39a7c760e11ce976fbde0ea9168b91b0a9a0efcb990d7e,d4c3d3c4f848bf6140a00d64c3f0467ebba2933c3589f560ead99d6bf4f9aa16
3Dircadb1.19,ircadb_19,outputs\normalized\ircadb_19\ct_hu.nii.gz,outputs\normalized\ircadb_19\liver_mask.nii.gz,outputs\normalized\ircadb_19\tumour_mask.nii.gz,512x512x124,32505856,32505856,True,583208,583208,True,41416,41416,True,True,8feb5c2afb0371f59f49e295a56905b144d4832dbbe9e32f0346f0d60fb41fc9,68995e8e51e3d835f6114296db016be64165f8420dbd0429fd347623bfed052a,8ea57189e30f994d02049dd3b25adfc52aa2a21a1ca80aec76fb6621be0f14e7
3Dircadb1.20,ircadb_20,outputs\normalized\ircadb_20\ct_hu.nii.gz,outputs\normalized\ircadb_20\liver_mask.nii.gz,outputs\normalized\ircadb_20\tumour_mask.nii.gz,512x512x225,58982400,58982400,True,1359697,1359697,True,0,0,True,True,a12e09e5070635eeec60bd719f7a3741af7893abdb6c4eab8e653619d5d01539,8238fe2de581f61ccdc8f1ac4202e27f2d45c1c227dc54e4d741d1865d4c4d14,1d7475e8bb1385456d29521c9b35d3d172d567a2ba21f96a9601a0ae5d55d893
