sample_id,volume_id,slice_index,true_pixels,predicted_pixels,intersection_pixels,dice,mean_probability,max_probability
v104_s0039,104,39,0,0,0,1.0,5.701846021111123e-06,0.12803903222084045
v104_s0040,104,40,0,0,0,1.0,8.979714039014652e-06,0.22236284613609314
v104_s0041,104,41,0,0,0,1.0,3.9572005334775895e-06,0.05560361221432686
v104_s0042,104,42,0,0,0,1.0,6.095536718930816e-06,0.1553162932395935
v104_s0043,104,43,0,0,0,1.0,4.415887360664783e-06,0.03686525300145149
v104_s0044,104,44,0,0,0,1.0,4.2834935811697505e-06,0.011902290396392345
v104_s0045,104,45,0,0,0,1.0,9.71309873420978e-06,0.16302567720413208
v104_s0046,104,46,0,0,0,1.0,1.2806812264898326e-05,0.07459552586078644
v104_s0047,104,47,0,0,0,1.0,4.0250265556096565e-06,0.014643358998000622
v104_s0048,104,48,0,0,0,1.0,2.1435571397887543e-06,0.0032678747083991766
v104_s0049,104,49,0,0,0,1.0,3.4314973618165823e-06,0.02046477049589157
v104_s0050,104,50,0,0,0,1.0,2.4181912522180937e-05,0.4451398551464081
v104_s0051,104,51,0,1,0,9.99999000001e-07,3.351047053001821e-05,0.5989511013031006
v104_s0052,104,52,0,0,0,1.0,5.8182959037367254e-06,0.08406619727611542
v104_s0053,104,53,0,0,0,1.0,2.4042856239248067e-06,0.008783873170614243
v104_s0054,104,54,0,0,0,1.0,2.3165050606621662e-06,0.003111266065388918
v104_s0055,104,55,0,0,0,1.0,3.3329633879475296e-06,0.017769483849406242
v104_s0056,104,56,0,0,0,1.0,2.000347649300238e-06,0.004120929632335901
v104_s0057,104,57,0,0,0,1.0,1.7018263633872266e-06,0.00909180473536253
v104_s0058,104,58,0,0,0,1.0,1.5399418771266937e-06,0.003208603709936142
v104_s0059,104,59,0,0,0,1.0,1.345218606729759e-06,0.003204872366040945
v104_s0060,104,60,0,0,0,1.0,1.437294258721522e-06,0.002213340951129794
v104_s0061,104,61,0,0,0,1.0,1.1840985507660662e-06,0.001416719751432538
v104_s0062,104,62,0,0,0,1.0,1.3088193782095914e-06,0.00447076465934515
v104_s0063,104,63,0,0,0,1.0,2.4754176592978183e-06,0.01836194097995758
v104_s0064,104,64,0,0,0,1.0,2.32051866078109e-06,0.003988686483353376
v104_s0065,104,65,0,0,0,1.0,2.7209871404920705e-06,0.015298279002308846
v104_s0066,104,66,0,0,0,1.0,2.067881723633036e-06,0.007566172629594803
v104_s0067,104,67,0,0,0,1.0,1.3637582924275193e-05,0.1236923336982727
v104_s0068,104,68,0,0,0,1.0,2.296272668900201e-06,0.011890592984855175
v104_s0069,104,69,0,0,0,1.0,2.200236849603243e-06,0.012668497860431671
v104_s0070,104,70,0,0,0,1.0,2.240255071228603e-06,0.026757551357150078
v104_s0071,104,71,0,0,0,1.0,1.7012367834468023e-06,0.0016069515841081738
v104_s0072,104,72,0,0,0,1.0,1.704290411908005e-06,0.002094790106639266
v104_s0073,104,73,0,0,0,1.0,1.5241546407196438e-06,0.0013236815575510263
v104_s0074,104,74,0,0,0,1.0,1.6565343230467988e-06,0.0013451934792101383
v104_s0075,104,75,0,0,0,1.0,2.904806706283125e-06,0.004068531561642885
v104_s0076,104,76,0,0,0,1.0,3.4078761927958112e-06,0.010201636701822281
v104_s0077,104,77,0,0,0,1.0,6.041763299435843e-06,0.05823564529418945
v104_s0078,104,78,0,0,0,1.0,3.935325821657898e-06,0.011541127227246761
v104_s0079,104,79,0,0,0,1.0,4.750908374262508e-06,0.06611058861017227
v104_s0080,104,80,0,0,0,1.0,9.355602742289193e-06,0.02819562703371048
v104_s0081,104,81,0,0,0,1.0,6.425229912565555e-06,0.02314779907464981
v104_s0082,104,82,0,0,0,1.0,6.22861352894688e-06,0.038338303565979004
v104_s0083,104,83,0,0,0,1.0,3.204949962309911e-06,0.015614750795066357
v104_s0084,104,84,0,0,0,1.0,1.0361773092881776e-05,0.14640428125858307
v104_s0085,104,85,0,0,0,1.0,2.4881759600248188e-05,0.4396604001522064
v104_s0086,104,86,0,0,0,1.0,5.840820449520834e-06,0.04681858420372009
v104_s0087,104,87,0,0,0,1.0,2.941454113170039e-06,0.005423189140856266
v104_s0088,104,88,0,0,0,1.0,2.7691296509146923e-06,0.00819607637822628
v104_s0089,104,89,0,0,0,1.0,3.808848077824223e-06,0.02079380303621292
v104_s0090,104,90,0,0,0,1.0,3.81692370865494e-06,0.028786946088075638
v104_s0091,104,91,0,0,0,1.0,3.38713016390102e-06,0.02780289016664028
v104_s0092,104,92,0,0,0,1.0,4.464462563191773e-06,0.07398323714733124
v104_s0093,104,93,0,0,0,1.0,3.1449867492483463e-06,0.026188552379608154
v104_s0094,104,94,0,0,0,1.0,2.1406717678473797e-06,0.010709760710597038
v104_s0095,104,95,0,0,0,1.0,1.6023782336560544e-06,0.004265632946044207
v104_s0096,104,96,0,0,0,1.0,1.8386795090918895e-06,0.0018512450624257326
v104_s0097,104,97,0,0,0,1.0,1.8324358279642183e-06,0.005520954262465239
v104_s0098,104,98,0,0,0,1.0,4.1288362808700185e-06,0.08878058940172195
v104_s0099,104,99,0,0,0,1.0,2.4669668619026197e-06,0.007558607496321201
v104_s0100,104,100,0,0,0,1.0,4.273611466487637e-06,0.07087455689907074
v104_s0101,104,101,0,0,0,1.0,3.2514085432922e-06,0.07816439867019653
v104_s0102,104,102,0,0,0,1.0,5.94833090872271e-06,0.13707152009010315
v104_s0103,104,103,0,0,0,1.0,1.7083128796002711e-06,0.00939797330647707
v104_s0104,104,104,0,0,0,1.0,1.2550815426948247e-06,0.0010776144918054342
v104_s0105,104,105,0,0,0,1.0,1.4189970443112543e-06,0.007512048818171024
v104_s0106,104,106,0,1,0,9.99999000001e-07,5.078945468994789e-05,0.7780498266220093
v104_s0107,104,107,0,0,0,1.0,1.4432916941586882e-06,0.003942941781133413
v104_s0108,104,108,0,0,0,1.0,1.0922987030426157e-06,0.0009326044237241149
v104_s0109,104,109,0,0,0,1.0,9.759875183590339e-07,0.0012898299610242248
v104_s0110,104,110,0,0,0,1.0,1.0950270734610967e-06,0.0022427174262702465
v104_s0111,104,111,0,0,0,1.0,1.198297240989632e-06,0.002163682598620653
v104_s0112,104,112,0,0,0,1.0,1.5631444512109738e-06,0.006367479916661978
v104_s0113,104,113,0,0,0,1.0,5.392965704231756e-06,0.17802032828330994
v104_s0114,104,114,0,0,0,1.0,1.849343789217528e-06,0.015692200511693954
v104_s0115,104,115,0,0,0,1.0,1.35396817313449e-06,0.0030242903158068657
v104_s0116,104,116,0,0,0,1.0,1.0421970273455372e-06,0.001791741349734366
v104_s0117,104,117,0,0,0,1.0,1.1391712178010494e-06,0.0018048157216981053
v104_s0118,104,118,0,0,0,1.0,1.3839410257787677e-06,0.004698575008660555
v104_s0119,104,119,0,0,0,1.0,2.184826598750078e-06,0.003632240230217576
v104_s0120,104,120,0,0,0,1.0,2.732056145759998e-06,0.01004104409366846
v104_s0121,104,121,0,0,0,1.0,5.2735963436134625e-06,0.040792468935251236
v104_s0122,104,122,0,0,0,1.0,1.070511416401132e-06,0.0018974997801706195
v104_s0123,104,123,0,0,0,1.0,1.1558955748114386e-06,0.0021134766284376383
v104_s0124,104,124,0,0,0,1.0,1.29613886201696e-06,0.0039846934378147125
v104_s0125,104,125,0,6,0,1.666666388888935e-07,8.999472629511729e-05,0.7466741800308228
v104_s0126,104,126,0,5,0,1.99999960000008e-07,0.00011423149408074096,0.8652464747428894
v104_s0127,104,127,0,0,0,1.0,2.587778226370574e-06,0.004519390873610973
v104_s0128,104,128,0,0,0,1.0,3.589255584302009e-06,0.08302294462919235
v104_s0129,104,129,0,0,0,1.0,6.095465323596727e-06,0.18967337906360626
v104_s0130,104,130,0,0,0,1.0,1.582110826348071e-06,0.006314852274954319
v104_s0131,104,131,0,0,0,1.0,1.7805189145292388e-06,0.01450436282902956
v104_s0132,104,132,0,0,0,1.0,1.7943975763046183e-06,0.011601516976952553
v104_s0133,104,133,0,0,0,1.0,1.6331609913322609e-06,0.0020346688106656075
v104_s0134,104,134,0,0,0,1.0,1.486598989686172e-06,0.001560797798447311
v104_s0135,104,135,0,0,0,1.0,1.1508473107824102e-05,0.10089392960071564
v104_s0136,104,136,0,0,0,1.0,3.3654314393061213e-06,0.012478266842663288
v104_s0137,104,137,0,0,0,1.0,3.7244590203044936e-06,0.018661679700016975
v104_s0138,104,138,0,0,0,1.0,2.0646120901801623e-05,0.10347780585289001
v104_s0139,104,139,0,0,0,1.0,4.188207094557583e-05,0.23270651698112488
v104_s0140,104,140,0,0,0,1.0,4.974305284122238e-06,0.034463416785001755
v104_s0141,104,141,0,0,0,1.0,6.317860425042454e-06,0.0564752034842968
v104_s0142,104,142,0,0,0,1.0,2.600596872071037e-06,0.01516907662153244
v104_s0143,104,143,0,0,0,1.0,4.4715311560139526e-06,0.03915936127305031
v104_s0144,104,144,0,0,0,1.0,1.2555035027617123e-05,0.17078782618045807
v104_s0145,104,145,0,0,0,1.0,2.0728768504341133e-05,0.2963104844093323
v104_s0146,104,146,0,0,0,1.0,3.5538851079763845e-05,0.36787647008895874
v104_s0147,104,147,0,0,0,1.0,9.963582670025062e-06,0.10126572847366333
v104_s0148,104,148,0,0,0,1.0,4.1653729567769915e-06,0.0281705092638731
v104_s0149,104,149,0,0,0,1.0,1.3529079296858981e-06,0.0024712486192584038
v104_s0150,104,150,0,0,0,1.0,1.0616129202389857e-06,0.0020033924374729395
v104_s0151,104,151,0,0,0,1.0,1.3083085832477082e-06,0.0033034393563866615
v104_s0152,104,152,0,0,0,1.0,1.7559597154104267e-06,0.003951814956963062
v104_s0153,104,153,0,0,0,1.0,2.10700954994536e-06,0.013138528913259506
v104_s0154,104,154,0,0,0,1.0,1.634350155654829e-06,0.00770682655274868
v104_s0155,104,155,0,0,0,1.0,2.540000423323363e-06,0.030605435371398926
v104_s0156,104,156,0,0,0,1.0,1.1606177849898813e-06,0.0016575504560023546
v104_s0157,104,157,0,0,0,1.0,2.4694290914339945e-06,0.04405995458364487
v104_s0158,104,158,0,0,0,1.0,1.018681246023334e-06,0.0015025394968688488
v104_s0159,104,159,0,0,0,1.0,1.367944150842959e-06,0.005589668173342943
v104_s0160,104,160,0,0,0,1.0,9.721296009956859e-06,0.1950412392616272
v104_s0161,104,161,0,0,0,1.0,1.9352673916728236e-06,0.02034456469118595
v104_s0162,104,162,0,0,0,1.0,1.9646263353934046e-06,0.018316587433218956
v104_s0163,104,163,0,2,0,4.99999750000125e-07,3.175090387230739e-05,0.5910066366195679
v104_s0164,104,164,0,0,0,1.0,4.273431841284037e-06,0.04313282668590546
v104_s0165,104,165,0,0,0,1.0,3.277143605373567e-06,0.012056016363203526
v104_s0166,104,166,0,0,0,1.0,2.4486653273925185e-06,0.011049982160329819
v104_s0167,104,167,0,0,0,1.0,2.5620156520744786e-06,0.021286582574248314
v104_s0168,104,168,0,0,0,1.0,1.549374928799807e-06,0.0033672030549496412
v104_s0169,104,169,0,0,0,1.0,1.176649334411195e-06,0.0017460320377722383
v104_s0170,104,170,0,0,0,1.0,1.9296635400678497e-06,0.013293212279677391
v104_s0171,104,171,0,0,0,1.0,1.578358592269069e-06,0.0028404060285538435
v104_s0172,104,172,0,0,0,1.0,2.9031652957201004e-06,0.016544632613658905
v104_s0173,104,173,0,0,0,1.0,2.68621124632773e-06,0.007609163876622915
v104_s0174,104,174,0,0,0,1.0,2.367908564337995e-06,0.008692984469234943
v104_s0175,104,175,0,0,0,1.0,1.9938265722885262e-06,0.008643556386232376
v104_s0176,104,176,0,0,0,1.0,2.667669832590036e-06,0.02104830928146839
v104_s0177,104,177,0,0,0,1.0,1.2881581596957403e-06,0.0017174138920381665
v104_s0178,104,178,0,0,0,1.0,1.4701940926897805e-06,0.0023259161971509457
v104_s0179,104,179,0,0,0,1.0,1.2048274129483616e-06,0.0013128388673067093
v104_s0180,104,180,0,0,0,1.0,1.2491968846006785e-06,0.0013779846485704184
v104_s0181,104,181,0,0,0,1.0,1.1235226793360198e-06,0.0013048615073785186
v104_s0182,104,182,0,0,0,1.0,1.1542314268808695e-06,0.002097159856930375
v104_s0183,104,183,0,0,0,1.0,1.2266162912055734e-06,0.0015515427803620696
v104_s0184,104,184,0,0,0,1.0,2.4823646072036354e-06,0.019333261996507645
v104_s0185,104,185,0,0,0,1.0,1.8646397847987828e-06,0.014460437931120396
v104_s0186,104,186,0,0,0,1.0,1.0273208772559883e-06,0.0016026573721319437
v104_s0187,104,187,0,0,0,1.0,9.982966275856597e-07,0.0014152404619380832
v104_s0188,104,188,0,0,0,1.0,1.340908511338057e-06,0.0025215824134647846
v104_s0189,104,189,0,0,0,1.0,1.3108551684126724e-06,0.0015047852648422122
v104_s0190,104,190,0,0,0,1.0,1.0417827525088796e-06,0.0016449128743261099
v104_s0191,104,191,0,0,0,1.0,3.0669539228256326e-06,0.07087734341621399
v104_s0192,104,192,0,0,0,1.0,9.799412055144785e-07,0.0014641386223956943
v104_s0193,104,193,0,0,0,1.0,9.580465984981856e-07,0.0011654632398858666
v104_s0194,104,194,0,0,0,1.0,9.770626547833672e-07,0.0015759404050186276
v104_s0195,104,195,0,0,0,1.0,9.705100865176064e-07,0.0015784634742885828
v104_s0196,104,196,0,0,0,1.0,1.021700427372707e-06,0.001143579720519483
v104_s0197,104,197,0,0,0,1.0,1.8755714563667425e-06,0.002254675142467022
v104_s0198,104,198,0,0,0,1.0,1.8366113181400578e-06,0.0017763815121725202
v104_s0199,104,199,0,0,0,1.0,1.6927023125390406e-06,0.0030950296204537153
v104_s0200,104,200,0,0,0,1.0,1.1443839866842609e-06,0.001889847218990326
v104_s0201,104,201,0,0,0,1.0,1.1336775287418277e-06,0.0016722071450203657
v104_s0202,104,202,0,0,0,1.0,1.0828052836586721e-06,0.0014965016162022948
v104_s0203,104,203,0,0,0,1.0,1.2336902273091255e-06,0.0014028976438567042
v104_s0204,104,204,0,0,0,1.0,1.1493602869450115e-06,0.0015392994973808527
v104_s0205,104,205,0,0,0,1.0,1.097617769119097e-06,0.001291564665734768
v104_s0206,104,206,0,0,0,1.0,1.1137785804749e-06,0.0011468918528407812
v104_s0207,104,207,0,0,0,1.0,9.31762201616948e-07,0.0009091781685128808
v104_s0208,104,208,0,0,0,1.0,9.851443110164837e-07,0.0009728905279189348
v104_s0209,104,209,0,0,0,1.0,1.028029146254994e-06,0.0011886112624779344
v104_s0210,104,210,0,0,0,1.0,9.91595015875646e-07,0.0014752376591786742
v104_s0211,104,211,0,0,0,1.0,1.0924749176410842e-06,0.0014021263923496008
v104_s0212,104,212,0,0,0,1.0,1.3189487617637496e-06,0.00127222400624305
v104_s0213,104,213,0,0,0,1.0,3.4751021757983835e-06,0.03231790289282799
v104_s0214,104,214,0,0,0,1.0,3.4571439755382016e-06,0.027791660279035568
v104_s0215,104,215,0,0,0,1.0,1.0970090897899354e-06,0.0017222983296960592
v104_s0216,104,216,0,0,0,1.0,1.1522879503900185e-06,0.001693606493063271
v104_s0217,104,217,0,0,0,1.0,1.1937713679799344e-06,0.0017034197226166725
v104_s0218,104,218,0,0,0,1.0,1.1758363598346477e-06,0.001799176330678165
v104_s0219,104,219,0,9,0,1.1111109876543348e-07,0.00015187800454441458,0.9889717698097229
v104_s0220,104,220,0,0,0,1.0,2.6985339900420513e-06,0.013433219864964485
v104_s0221,104,221,0,0,0,1.0,1.3667133771377848e-06,0.0019299861742183566
v104_s0222,104,222,0,0,0,1.0,1.4330335034173913e-06,0.0036507935728877783
v104_s0223,104,223,0,0,0,1.0,1.8445512068865355e-06,0.0019375060219317675
v104_s0224,104,224,0,0,0,1.0,1.996823357330868e-06,0.0023267061915248632
v104_s0225,104,225,0,0,0,1.0,1.6675419374223566e-06,0.0015500166919082403
v104_s0226,104,226,0,0,0,1.0,1.350926140730735e-06,0.0020160432904958725
v104_s0227,104,227,0,0,0,1.0,1.3684175428352319e-06,0.003309022169560194
v104_s0228,104,228,0,0,0,1.0,1.2925831924803788e-06,0.0023051765747368336
v104_s0229,104,229,0,0,0,1.0,1.0430087513668695e-06,0.0023163477890193462
v104_s0230,104,230,0,0,0,1.0,9.382769690091664e-07,0.0027840659022331238
v104_s0231,104,231,0,0,0,1.0,1.0477904197614407e-06,0.001808424829505384
v104_s0232,104,232,0,0,0,1.0,1.2672351203946164e-06,0.0017008681315928698
v104_s0233,104,233,0,0,0,1.0,1.1647864539554575e-06,0.0020732020493596792
v104_s0234,104,234,0,0,0,1.0,1.1703442623911542e-06,0.0021276199258863926
v104_s0235,104,235,0,0,0,1.0,1.1334104783600196e-06,0.0017528230091556907
v104_s0236,104,236,0,0,0,1.0,9.573218449077103e-07,0.0014111759373918176
v104_s0237,104,237,0,0,0,1.0,1.2889342997368658e-06,0.004595983773469925
v104_s0238,104,238,0,0,0,1.0,8.513732154824538e-07,0.0020061468239873648
v104_s0239,104,239,0,0,0,1.0,9.190001719616703e-07,0.0019315399695187807
v104_s0240,104,240,0,0,0,1.0,8.931618253882334e-07,0.0015313851181417704
v104_s0241,104,241,0,0,0,1.0,1.057075678545516e-06,0.0030139435548335314
v104_s0242,104,242,0,0,0,1.0,9.977064792110468e-07,0.0011852940078824759
v104_s0243,104,243,0,0,0,1.0,1.0240468100164435e-06,0.0018310872837901115
v104_s0244,104,244,0,0,0,1.0,1.115838927034929e-06,0.0024222279898822308
v104_s0245,104,245,0,0,0,1.0,8.388594778807601e-07,0.0016373979160562158
v104_s0246,104,246,0,0,0,1.0,8.283560646304977e-07,0.0012960154563188553
v104_s0247,104,247,0,0,0,1.0,7.787820095472853e-07,0.0013470986159518361
v104_s0248,104,248,0,0,0,1.0,1.3767503332928754e-06,0.007300918456166983
v104_s0249,104,249,0,0,0,1.0,1.4364820799528388e-06,0.0070291305892169476
v104_s0250,104,250,0,0,0,1.0,1.4182262475515017e-06,0.0027789566665887833
v104_s0251,104,251,0,0,0,1.0,8.770201702645863e-07,0.0013940618373453617
v104_s0252,104,252,0,0,0,1.0,9.785005659068702e-07,0.001240963814780116
v104_s0253,104,253,0,0,0,1.0,1.078509967555874e-06,0.005288078915327787
v104_s0254,104,254,0,0,0,1.0,8.934099469115608e-07,0.0032228336203843355
v104_s0255,104,255,0,0,0,1.0,9.512492624708102e-07,0.0035746509674936533
v104_s0256,104,256,0,0,0,1.0,8.371929425265989e-07,0.0012144928332418203
v104_s0257,104,257,0,0,0,1.0,1.0277151432092069e-06,0.0019591536838561296
v104_s0258,104,258,0,0,0,1.0,1.3107663789924118e-06,0.008113997988402843
v104_s0259,104,259,0,0,0,1.0,8.032313871808583e-07,0.0011882541002705693
v104_s0260,104,260,0,0,0,1.0,8.178916459655738e-07,0.0010961545631289482
v104_s0261,104,261,0,0,0,1.0,9.615163207854494e-07,0.0029950521420687437
v104_s0262,104,262,0,0,0,1.0,9.683271855465136e-07,0.0011586793698370457
v104_s0263,104,263,0,0,0,1.0,1.1677418569888687e-06,0.01090626697987318
v104_s0264,104,264,0,0,0,1.0,9.528321811558271e-07,0.006312850397080183
v104_s0265,104,265,0,0,0,1.0,8.756148872635094e-07,0.0016076932661235332
v104_s0266,104,266,0,0,0,1.0,7.257698371176957e-07,0.0012400109553709626
v104_s0267,104,267,0,0,0,1.0,6.096363449614728e-07,0.0016730264760553837
v104_s0268,104,268,0,0,0,1.0,6.694108378724195e-07,0.001787429442629218
v104_s0269,104,269,0,0,0,1.0,7.397708827738825e-07,0.001244017737917602
v104_s0270,104,270,0,0,0,1.0,6.842366246928577e-07,0.0012426694156602025
v104_s0271,104,271,0,0,0,1.0,7.114753088899306e-07,0.0012550725368782878
v104_s0272,104,272,0,0,0,1.0,7.049441137496615e-07,0.0015302792889997363
v104_s0273,104,273,0,0,0,1.0,6.062651891625137e-07,0.0011005260748788714
v104_s0274,104,274,0,0,0,1.0,6.092156468184839e-07,0.0010304059833288193
v104_s0275,104,275,0,0,0,1.0,6.308528099907562e-07,0.0009577953023836017
v104_s0276,104,276,0,0,0,1.0,6.845521056675352e-07,0.0009109253296628594
v104_s0277,104,277,0,0,0,1.0,6.714536766594392e-07,0.0008426250424236059
v104_s0278,104,278,0,0,0,1.0,6.564107479789527e-07,0.0008897700463421643
v104_s0279,104,279,0,0,0,1.0,5.975064141239272e-07,0.0010162474354729056
v104_s0280,104,280,0,0,0,1.0,6.480646561612957e-07,0.0009959101444110274
v104_s0281,104,281,0,0,0,1.0,6.699792720610276e-07,0.0010638260282576084
v104_s0282,104,282,27,0,0,3.703703566529497e-08,6.534967269544723e-07,0.0011675150599330664
v104_s0283,104,283,34,0,0,2.9411763840830475e-08,7.272370794453309e-07,0.0011000417871400714
v104_s0284,104,284,48,0,0,2.0833332899305566e-08,7.54280051751266e-07,0.0013302996521815658
v104_s0285,104,285,68,0,0,1.4705882136678204e-08,6.801736844863626e-07,0.0013401027536019683
v104_s0286,104,286,69,0,0,1.4492753413148501e-08,6.612486913581961e-07,0.0016002129996195436
v104_s0287,104,287,76,0,0,1.3157894563711913e-08,9.79788296717743e-07,0.00215121335349977
v104_s0288,104,288,79,0,0,1.2658227687870536e-08,5.2103441703366116e-06,0.07318565994501114
v104_s0289,104,289,87,14,0,9.900990000980297e-09,0.00020976021187379956,0.9999101161956787
v104_s0290,104,290,96,16,0,8.928571348852042e-09,0.00024167689844034612,0.9999912977218628
v104_s0291,104,291,93,14,0,9.345794305179493e-09,0.00021694779570680112,0.9999586343765259
v104_s0292,104,292,74,13,0,1.149425274144537e-08,0.00018581414769869298,0.9999277591705322
v104_s0293,104,293,74,13,0,1.149425274144537e-08,0.00020596796821337193,0.9999992847442627
v104_s0294,104,294,79,14,0,1.075268805642271e-08,0.00020941562252119184,0.9999994039535522
v104_s0295,104,295,83,16,0,1.0101009998979696e-08,0.0002395292540313676,0.9999996423721313
v104_s0296,104,296,98,14,0,8.928571348852042e-09,0.00021864924929104745,0.9999988079071045
v104_s0297,104,297,135,11,0,6.849315021580034e-09,0.00016542883531656116,0.9999450445175171
v104_s0298,104,298,180,0,0,5.555555524691358e-09,1.7437503174733138e-06,0.020372817292809486
v104_s0299,104,299,167,0,0,5.9880239162393775e-09,8.021477810871147e-07,0.0019301037536934018
v104_s0300,104,300,155,0,0,6.451612861602497e-09,6.633060252170253e-07,0.00145097472704947
v104_s0301,104,301,165,0,0,6.060606023875115e-09,6.02838326813071e-07,0.0015202282229438424
v104_s0302,104,302,159,0,0,6.2893081365452314e-09,1.1176786074429401e-06,0.006257400847971439
v104_s0303,104,303,135,0,0,7.407407352537723e-09,6.148529337224318e-06,0.06877193599939346
v104_s0304,104,304,120,0,0,8.333333263888889e-09,5.938325557508506e-06,0.08465636521577835
v104_s0305,104,305,130,0,0,7.692307633136095e-09,2.4349983505089767e-06,0.018861548975110054
v104_s0306,104,306,106,0,0,9.4339621751513e-09,1.0811963875312358e-06,0.011866359040141106
v104_s0307,104,307,100,0,0,9.9999999e-09,2.4917555947467918e-06,0.04036465287208557
v104_s0308,104,308,97,0,0,1.0309278244234245e-08,7.354805347858928e-06,0.17425240576267242
v104_s0309,104,309,105,0,0,9.523809433106576e-09,7.366268619080074e-06,0.1232990175485611
v104_s0310,104,310,121,0,0,8.26446274161601e-09,2.1298194496921496e-06,0.02400556206703186
v104_s0311,104,311,148,0,0,6.756756711102995e-09,1.855881578194385e-06,0.015313766896724701
v104_s0312,104,312,203,1,0,4.901960760284506e-09,4.240238922648132e-05,0.5549154877662659
v104_s0313,104,313,313,0,0,3.1948881687064275e-09,3.222643135813996e-05,0.39372894167900085
v104_s0314,104,314,338,0,0,2.95857987290361e-09,2.4898913579818327e-06,0.028654731810092926
v104_s0315,104,315,388,0,0,2.5773195809862898e-09,2.1221690076345112e-06,0.017367232590913773
v104_s0316,104,316,471,0,0,2.1231422460230526e-09,2.9903317226853687e-06,0.07234826683998108
v104_s0317,104,317,506,0,0,1.9762845810745364e-09,1.0631619034029427e-06,0.00299790408462286
v104_s0318,104,318,520,0,0,1.9230769193786983e-09,9.842519830272067e-07,0.003155258484184742
v104_s0319,104,319,594,0,0,1.6835016806675055e-09,1.0986772167598247e-06,0.004442695993930101
v104_s0320,104,320,631,0,0,1.5847860513711789e-09,2.175296231143875e-06,0.021182943135499954
v104_s0321,104,321,665,2,0,1.499250372564842e-09,5.6775570556055754e-05,0.7368163466453552
v104_s0322,104,322,705,4,0,1.4104372335536852e-09,7.803167682141066e-05,0.9415274858474731
