model,volume_id,slice_index,sample_id,truth_pixels,predicted_pixels,detected,max_probability,max_truth_probability
control,104,83,v104_s0083,0,0,False,0.0,
control,104,84,v104_s0084,0,0,False,0.0,
control,104,85,v104_s0085,0,0,False,0.0,
control,104,86,v104_s0086,0,0,False,0.0,
control,104,87,v104_s0087,0,0,False,0.0,
control,104,88,v104_s0088,0,0,False,0.0,
control,104,89,v104_s0089,0,0,False,0.0,
control,104,90,v104_s0090,0,0,False,0.0,
control,104,91,v104_s0091,0,0,False,0.0,
control,104,92,v104_s0092,0,0,False,0.0,
control,104,93,v104_s0093,0,0,False,0.0,
control,104,94,v104_s0094,0,0,False,0.0,
control,104,95,v104_s0095,0,0,False,0.0,
control,104,96,v104_s0096,0,0,False,0.0,
control,104,97,v104_s0097,0,0,False,0.0,
control,104,98,v104_s0098,0,0,False,0.0,
control,104,99,v104_s0099,0,0,False,0.0,
control,104,100,v104_s0100,0,0,False,0.0,
control,104,101,v104_s0101,0,0,False,0.0,
control,104,102,v104_s0102,0,0,False,0.0,
control,104,103,v104_s0103,0,0,False,0.0,
control,104,104,v104_s0104,0,0,False,0.0,
control,104,105,v104_s0105,0,0,False,0.0,
control,104,106,v104_s0106,0,0,False,0.0,
control,104,107,v104_s0107,0,0,False,0.0,
control,104,108,v104_s0108,0,0,False,0.0,
control,104,109,v104_s0109,0,0,False,0.0,
control,104,110,v104_s0110,0,0,False,0.0,
control,104,111,v104_s0111,0,0,False,0.0,
control,104,112,v104_s0112,0,0,False,0.0,
control,104,113,v104_s0113,0,0,False,0.0,
control,104,114,v104_s0114,0,0,False,0.0,
control,104,115,v104_s0115,0,0,False,0.0,
control,104,116,v104_s0116,0,0,False,0.0,
control,104,117,v104_s0117,0,0,False,0.0,
control,104,118,v104_s0118,0,0,False,0.0,
control,104,119,v104_s0119,0,0,False,0.0,
control,104,120,v104_s0120,0,0,False,0.0,
control,104,121,v104_s0121,0,0,False,0.0,
control,104,122,v104_s0122,0,0,False,0.0,
control,104,123,v104_s0123,0,0,False,0.0,
control,104,124,v104_s0124,0,0,False,0.0,
control,104,125,v104_s0125,0,0,False,0.0,
control,104,126,v104_s0126,0,0,False,0.0,
control,104,127,v104_s0127,0,0,False,0.0,
control,104,128,v104_s0128,0,0,False,0.0,
control,104,129,v104_s0129,0,0,False,0.0,
control,104,130,v104_s0130,0,0,False,0.0,
control,104,131,v104_s0131,0,0,False,0.0,
control,104,132,v104_s0132,0,0,False,0.0,
control,104,133,v104_s0133,0,0,False,0.0,
control,104,134,v104_s0134,0,0,False,0.0,
control,104,135,v104_s0135,0,0,False,0.0,
control,104,136,v104_s0136,0,0,False,0.0,
control,104,137,v104_s0137,0,0,False,0.0,
control,104,138,v104_s0138,0,0,False,0.0,
control,104,139,v104_s0139,0,0,False,0.0,
control,104,140,v104_s0140,0,0,False,0.0,
control,104,141,v104_s0141,0,0,False,0.0,
control,104,142,v104_s0142,0,0,False,0.0,
control,104,143,v104_s0143,0,0,False,0.0,
control,104,144,v104_s0144,0,0,False,0.0,
control,104,145,v104_s0145,0,0,False,0.0,
control,104,146,v104_s0146,0,0,False,0.0,
control,104,147,v104_s0147,0,0,False,0.0,
control,104,148,v104_s0148,0,0,False,0.0,
control,104,149,v104_s0149,0,0,False,0.0,
control,104,150,v104_s0150,0,0,False,0.0,
control,104,151,v104_s0151,0,0,False,0.0,
control,104,152,v104_s0152,0,0,False,0.0,
control,104,153,v104_s0153,0,0,False,0.0,
control,104,154,v104_s0154,0,0,False,0.0,
control,104,155,v104_s0155,0,0,False,0.0,
control,104,156,v104_s0156,0,0,False,0.0,
control,104,157,v104_s0157,0,0,False,0.0,
control,104,158,v104_s0158,0,0,False,0.0,
control,104,159,v104_s0159,0,0,False,0.0,
control,104,160,v104_s0160,0,0,False,0.0,
control,104,161,v104_s0161,0,0,False,0.0,
control,104,162,v104_s0162,0,0,False,0.0,
control,104,163,v104_s0163,0,0,False,0.0,
control,104,164,v104_s0164,0,0,False,0.0,
control,104,165,v104_s0165,0,0,False,0.0,
control,104,166,v104_s0166,0,0,False,0.0,
control,104,167,v104_s0167,0,0,False,0.0,
control,104,168,v104_s0168,0,0,False,0.0,
control,104,169,v104_s0169,0,0,False,0.0,
control,104,170,v104_s0170,0,0,False,0.0,
control,104,171,v104_s0171,0,0,False,0.0,
control,104,172,v104_s0172,0,0,False,0.0,
control,104,173,v104_s0173,0,0,False,0.0,
control,104,174,v104_s0174,0,0,False,0.0,
control,104,175,v104_s0175,0,0,False,0.0,
control,104,176,v104_s0176,0,0,False,0.0,
control,104,177,v104_s0177,0,0,False,0.0,
control,104,178,v104_s0178,0,0,False,0.0,
control,104,179,v104_s0179,0,0,False,0.0,
control,104,180,v104_s0180,0,0,False,0.0,
control,104,181,v104_s0181,0,0,False,0.0,
control,104,182,v104_s0182,0,0,False,0.0,
control,104,183,v104_s0183,0,0,False,0.0,
control,104,184,v104_s0184,0,0,False,0.0,
control,104,185,v104_s0185,0,0,False,0.0,
control,104,186,v104_s0186,0,0,False,0.0,
control,104,187,v104_s0187,0,0,False,0.0,
control,104,188,v104_s0188,0,0,False,0.0,
control,104,189,v104_s0189,0,0,False,0.0,
control,104,190,v104_s0190,0,0,False,0.0,
control,104,191,v104_s0191,0,0,False,0.0,
control,104,192,v104_s0192,0,0,False,0.0,
control,104,193,v104_s0193,0,0,False,0.0,
control,104,194,v104_s0194,0,0,False,0.0,
control,104,195,v104_s0195,0,0,False,0.0,
control,104,196,v104_s0196,0,0,False,0.0,
control,104,197,v104_s0197,0,0,False,0.0,
control,104,198,v104_s0198,0,0,False,0.0,
control,104,199,v104_s0199,0,0,False,0.0,
control,104,200,v104_s0200,0,0,False,0.0,
control,104,201,v104_s0201,0,0,False,0.0,
control,104,202,v104_s0202,0,0,False,0.0,
control,104,203,v104_s0203,0,0,False,0.0,
control,104,204,v104_s0204,0,0,False,0.0,
control,104,205,v104_s0205,0,0,False,0.0,
control,104,206,v104_s0206,0,0,False,0.0,
control,104,207,v104_s0207,0,0,False,0.0,
control,104,208,v104_s0208,0,0,False,0.0,
control,104,209,v104_s0209,0,0,False,0.0,
control,104,210,v104_s0210,0,0,False,0.0,
control,104,211,v104_s0211,0,0,False,0.0,
control,104,212,v104_s0212,0,0,False,0.0,
control,104,213,v104_s0213,0,0,False,0.0,
control,104,214,v104_s0214,0,0,False,0.0,
control,104,215,v104_s0215,0,0,False,0.0,
control,104,216,v104_s0216,0,0,False,0.0,
control,104,217,v104_s0217,0,0,False,0.0,
control,104,218,v104_s0218,0,0,False,0.0,
control,104,219,v104_s0219,0,0,False,0.0,
control,104,220,v104_s0220,0,0,False,0.0,
control,104,221,v104_s0221,0,0,False,0.0,
control,104,222,v104_s0222,0,0,False,0.0,
control,104,223,v104_s0223,0,0,False,0.0,
control,104,224,v104_s0224,0,0,False,0.0,
control,104,225,v104_s0225,0,0,False,0.0,
control,104,226,v104_s0226,0,0,False,0.0,
control,104,227,v104_s0227,0,0,False,0.0,
control,104,228,v104_s0228,0,0,False,0.0,
control,104,229,v104_s0229,0,0,False,0.0,
control,104,230,v104_s0230,0,0,False,0.0,
control,104,231,v104_s0231,0,0,False,0.0,
control,104,232,v104_s0232,0,0,False,0.0,
control,104,233,v104_s0233,0,0,False,0.0,
control,104,234,v104_s0234,0,0,False,0.0,
control,104,235,v104_s0235,0,0,False,0.0,
control,104,236,v104_s0236,0,0,False,0.0,
control,104,237,v104_s0237,0,0,False,0.0,
control,104,238,v104_s0238,0,0,False,0.0,
control,104,239,v104_s0239,0,0,False,0.0,
control,104,240,v104_s0240,0,0,False,0.0,
control,104,241,v104_s0241,0,0,False,0.0,
control,104,242,v104_s0242,0,0,False,0.0,
control,104,243,v104_s0243,0,0,False,0.0,
control,104,244,v104_s0244,0,0,False,0.0,
control,104,245,v104_s0245,0,0,False,0.0,
control,104,246,v104_s0246,0,0,False,0.0,
control,104,247,v104_s0247,0,0,False,0.0,
control,104,248,v104_s0248,0,0,False,0.0,
control,104,249,v104_s0249,0,0,False,0.0,
control,104,250,v104_s0250,0,0,False,0.0,
control,104,251,v104_s0251,0,0,False,0.0,
control,104,252,v104_s0252,0,0,False,0.0,
control,104,253,v104_s0253,0,0,False,0.0,
control,104,254,v104_s0254,0,0,False,0.0,
control,104,255,v104_s0255,0,0,False,0.0,
control,104,256,v104_s0256,0,0,False,0.0,
control,104,257,v104_s0257,0,0,False,0.0,
control,104,258,v104_s0258,0,0,False,0.0,
control,104,259,v104_s0259,0,0,False,0.0,
control,104,260,v104_s0260,0,0,False,0.0,
control,104,261,v104_s0261,0,0,False,0.0,
control,104,262,v104_s0262,0,0,False,0.0,
control,104,263,v104_s0263,0,0,False,0.0,
control,104,264,v104_s0264,0,0,False,0.0,
control,104,265,v104_s0265,0,0,False,0.0,
control,104,266,v104_s0266,0,0,False,0.0,
control,104,267,v104_s0267,0,0,False,0.0,
control,104,268,v104_s0268,0,0,False,0.0,
control,104,269,v104_s0269,0,0,False,0.0,
control,104,270,v104_s0270,0,0,False,0.0,
control,104,271,v104_s0271,0,0,False,0.0,
control,104,272,v104_s0272,0,0,False,0.0,
control,104,273,v104_s0273,0,0,False,0.0,
control,104,274,v104_s0274,0,0,False,0.0,
control,104,275,v104_s0275,0,0,False,0.0,
control,104,276,v104_s0276,0,0,False,0.0,
control,104,277,v104_s0277,0,0,False,0.0,
control,104,278,v104_s0278,0,0,False,0.0,
control,104,279,v104_s0279,0,0,False,0.0,
control,104,280,v104_s0280,0,0,False,0.0,
control,104,281,v104_s0281,0,0,False,0.0,
control,104,282,v104_s0282,27,0,False,0.0,0.0
control,104,283,v104_s0283,34,0,False,0.0,0.0
control,104,284,v104_s0284,48,0,False,0.0,0.0
control,104,285,v104_s0285,68,0,False,0.0,0.0
control,104,286,v104_s0286,69,0,False,0.0,0.0
control,104,287,v104_s0287,76,0,False,0.0,0.0
control,104,288,v104_s0288,79,0,False,0.0,0.0
control,104,289,v104_s0289,87,0,False,0.0,0.0
control,104,290,v104_s0290,96,0,False,0.0,0.0
control,104,291,v104_s0291,93,0,False,0.0,0.0
control,104,292,v104_s0292,74,0,False,0.0,0.0
control,104,293,v104_s0293,74,0,False,0.0,0.0
control,104,294,v104_s0294,79,0,False,0.0,0.0
control,104,295,v104_s0295,83,0,False,0.0,0.0
control,104,296,v104_s0296,98,0,False,0.0,0.0
control,104,297,v104_s0297,135,0,False,0.0,0.0
control,104,298,v104_s0298,180,0,False,0.0,0.0
control,104,299,v104_s0299,167,0,False,0.0,0.0
control,104,300,v104_s0300,155,0,False,0.0,0.0
control,104,301,v104_s0301,165,0,False,0.0,0.0
control,104,302,v104_s0302,159,0,False,0.0,0.0
control,104,303,v104_s0303,135,0,False,0.0,0.0
control,104,304,v104_s0304,120,0,False,0.0,0.0
control,104,305,v104_s0305,130,0,False,0.0,0.0
control,104,306,v104_s0306,106,0,False,0.0,0.0
control,104,307,v104_s0307,100,0,False,0.0,0.0
control,104,308,v104_s0308,97,0,False,0.0,0.0
control,104,309,v104_s0309,105,0,False,0.0,0.0
control,104,310,v104_s0310,121,0,False,0.0,0.0
control,104,311,v104_s0311,148,0,False,0.0,0.0
control,104,312,v104_s0312,203,0,False,0.0,0.0
control,104,313,v104_s0313,313,0,False,0.0,0.0
control,104,314,v104_s0314,338,0,False,0.0,0.0
control,104,315,v104_s0315,388,18,True,1.0,1.0
control,104,316,v104_s0316,471,0,False,0.0,0.0
control,104,317,v104_s0317,506,0,False,0.0,0.0
control,104,318,v104_s0318,520,0,False,0.0,0.0
control,104,319,v104_s0319,594,113,True,1.0,0.9951171875
control,104,320,v104_s0320,631,66,True,0.99609375,0.99609375
control,104,321,v104_s0321,665,0,False,0.0,0.0
control,104,322,v104_s0322,705,0,False,0.0,0.0
control,104,323,v104_s0323,754,0,False,0.0,0.0
control,104,324,v104_s0324,773,3,True,0.95703125,0.95703125
control,104,325,v104_s0325,814,1,True,0.85888671875,0.85888671875
control,104,326,v104_s0326,837,6,False,0.99072265625,0.0
control,104,327,v104_s0327,854,0,False,0.10137939453125,0.0
control,104,328,v104_s0328,864,0,False,1.9669532775878906e-06,1.9669532775878906e-06
control,104,329,v104_s0329,913,0,False,0.0,0.0
control,104,330,v104_s0330,977,0,False,0.00024044513702392578,0.0
control,104,331,v104_s0331,1006,0,False,0.0,0.0
control,104,332,v104_s0332,1038,0,False,0.0,0.0
control,104,333,v104_s0333,1068,0,False,0.0,0.0
control,104,334,v104_s0334,1046,0,False,0.0,0.0
control,104,335,v104_s0335,1079,0,False,0.0,0.0
control,104,336,v104_s0336,1098,0,False,0.0,0.0
control,104,337,v104_s0337,1125,0,False,0.0,0.0
control,104,338,v104_s0338,1141,0,False,0.0,0.0
control,104,339,v104_s0339,1145,0,False,0.0,0.0
control,104,340,v104_s0340,1145,0,False,0.0,0.0
control,104,341,v104_s0341,1165,0,False,0.0,0.0
control,104,342,v104_s0342,1169,0,False,0.0,0.0
control,104,343,v104_s0343,1179,0,False,0.0,0.0
control,104,344,v104_s0344,1180,0,False,0.0,0.0
control,104,345,v104_s0345,1191,0,False,0.0,0.0
control,104,346,v104_s0346,1207,0,False,0.0,0.0
control,104,347,v104_s0347,1221,0,False,0.0,0.0
control,104,348,v104_s0348,1242,0,False,0.0,0.0
control,104,349,v104_s0349,1227,0,False,0.0,0.0
control,104,350,v104_s0350,1218,44,False,1.0,0.0
control,104,351,v104_s0351,1207,35,False,1.0,0.0
control,104,352,v104_s0352,1226,0,False,0.0,0.0
control,104,353,v104_s0353,1239,0,False,0.0,0.0
control,104,354,v104_s0354,1267,0,False,0.0,0.0
control,104,355,v104_s0355,1273,0,False,2.0265579223632812e-06,0.0
control,104,356,v104_s0356,1230,20,False,1.0,0.0
control,104,357,v104_s0357,1225,0,False,0.0,0.0
control,104,358,v104_s0358,1216,17,False,1.0,0.0
control,104,359,v104_s0359,1214,22,False,1.0,5.960464477539063e-08
control,104,360,v104_s0360,1193,13,False,1.0,0.0
control,104,361,v104_s0361,1155,0,False,0.0,0.0
control,104,362,v104_s0362,1149,0,False,0.0,0.0
control,104,363,v104_s0363,1110,0,False,0.0,0.0
control,104,364,v104_s0364,1089,0,False,0.0,0.0
control,104,365,v104_s0365,1062,0,False,0.0,0.0
control,104,366,v104_s0366,1050,0,False,0.0,0.0
control,104,367,v104_s0367,1037,0,False,0.0,0.0
control,104,368,v104_s0368,988,0,False,0.0,0.0
control,104,369,v104_s0369,975,0,False,0.0,0.0
control,104,370,v104_s0370,960,1,True,0.5400390625,0.5400390625
control,104,371,v104_s0371,892,52,True,0.99951171875,0.99951171875
control,104,372,v104_s0372,867,70,True,0.994140625,0.994140625
control,104,373,v104_s0373,826,199,True,1.0,1.0
control,104,374,v104_s0374,749,224,True,1.0,1.0
control,104,375,v104_s0375,696,194,True,1.0,1.0
control,104,376,v104_s0376,644,258,True,1.0,1.0
control,104,377,v104_s0377,601,238,True,1.0,1.0
control,104,378,v104_s0378,561,166,True,1.0,1.0
control,104,379,v104_s0379,507,253,True,1.0,1.0
control,104,380,v104_s0380,452,281,True,1.0,1.0
control,104,381,v104_s0381,412,184,True,1.0,1.0
control,104,382,v104_s0382,364,259,True,1.0,1.0
control,104,383,v104_s0383,202,252,True,1.0,1.0
control,104,384,v104_s0384,130,214,True,1.0,1.0
control,104,385,v104_s0385,25,146,False,1.0,0.0
control,104,386,v104_s0386,14,170,False,1.0,0.0
control,104,387,v104_s0387,0,153,False,1.0,
control,104,388,v104_s0388,0,21,False,1.0,
control,104,389,v104_s0389,0,15,False,1.0,
control,104,390,v104_s0390,0,20,False,1.0,
control,104,391,v104_s0391,0,0,False,0.0,
control,104,392,v104_s0392,0,0,False,0.0,
control,104,393,v104_s0393,0,0,False,0.0,
control,104,394,v104_s0394,0,0,False,0.0,
control,104,395,v104_s0395,0,0,False,0.0,
control,104,396,v104_s0396,0,0,False,0.0,
control,104,397,v104_s0397,0,14,False,1.0,
control,104,398,v104_s0398,0,0,False,0.0,
control,104,399,v104_s0399,0,0,False,0.0,
control,104,400,v104_s0400,0,0,False,0.0,
control,104,401,v104_s0401,0,0,False,0.0,
control,104,402,v104_s0402,0,0,False,0.0,
control,104,403,v104_s0403,0,0,False,0.0,
control,104,404,v104_s0404,0,0,False,0.0,
control,104,405,v104_s0405,0,0,False,0.0,
control,104,406,v104_s0406,0,18,False,1.0,
control,104,407,v104_s0407,0,20,False,1.0,
control,104,408,v104_s0408,0,0,False,0.0,
control,104,409,v104_s0409,0,0,False,0.0,
control,104,410,v104_s0410,0,38,False,1.0,
control,104,411,v104_s0411,0,48,False,1.0,
control,104,412,v104_s0412,0,28,False,1.0,
control,104,413,v104_s0413,5,12,True,1.0,1.0
control,104,414,v104_s0414,8,17,True,1.0,1.0
control,104,415,v104_s0415,7,16,True,1.0,1.0
control,104,416,v104_s0416,6,8,True,1.0,1.0
control,104,417,v104_s0417,2,0,False,0.0,0.0
control,104,418,v104_s0418,0,0,False,0.0,
control,104,419,v104_s0419,0,16,False,1.0,
control,104,420,v104_s0420,0,0,False,0.0,
control,104,421,v104_s0421,0,0,False,0.0,
control,104,422,v104_s0422,0,0,False,0.0,
control,104,423,v104_s0423,2,0,False,0.0,0.0
control,104,424,v104_s0424,3,0,False,0.0,0.0
control,104,425,v104_s0425,5,0,False,1.0609626770019531e-05,3.2782554626464844e-06
control,104,426,v104_s0426,8,20,True,1.0,1.0
control,104,427,v104_s0427,10,22,True,1.0,1.0
control,104,428,v104_s0428,12,18,True,1.0,1.0
control,104,429,v104_s0429,13,19,True,1.0,1.0
control,104,430,v104_s0430,10,20,True,1.0,1.0
control,104,431,v104_s0431,5,14,True,1.0,1.0
control,104,432,v104_s0432,3,14,True,1.0,1.0
control,104,433,v104_s0433,4,10,True,1.0,1.0
control,104,434,v104_s0434,4,11,False,1.0,0.0
control,104,435,v104_s0435,0,0,False,5.960464477539063e-08,
control,104,436,v104_s0436,0,24,False,1.0,
control,104,437,v104_s0437,0,0,False,0.0,
control,104,438,v104_s0438,0,0,False,0.0,
control,104,439,v104_s0439,0,32,False,1.0,
control,104,440,v104_s0440,0,0,False,0.0,
control,104,441,v104_s0441,0,9,False,0.99951171875,
control,104,442,v104_s0442,0,22,False,1.0,
control,104,443,v104_s0443,0,0,False,0.0,
control,104,444,v104_s0444,0,0,False,0.0,
control,104,445,v104_s0445,0,0,False,0.0,
control,104,446,v104_s0446,0,0,False,0.0,
control,104,447,v104_s0447,0,2,False,0.80517578125,
control,104,448,v104_s0448,0,67,False,1.0,
control,104,449,v104_s0449,0,40,False,1.0,
control,104,450,v104_s0450,0,0,False,0.0,
control,104,451,v104_s0451,0,0,False,0.0,
control,104,452,v104_s0452,0,0,False,0.0075531005859375,
control,104,453,v104_s0453,0,0,False,0.0,
control,104,454,v104_s0454,0,0,False,0.0,
control,104,455,v104_s0455,0,32,False,1.0,
control,104,456,v104_s0456,0,0,False,0.0,
control,104,457,v104_s0457,0,0,False,0.0,
control,104,458,v104_s0458,0,0,False,0.0,
control,104,459,v104_s0459,0,0,False,0.0,
control,104,460,v104_s0460,0,23,False,1.0,
control,104,461,v104_s0461,0,0,False,0.03228759765625,
control,104,462,v104_s0462,0,18,False,1.0,
control,104,463,v104_s0463,0,56,False,1.0,
control,104,464,v104_s0464,0,0,False,0.0,
control,104,465,v104_s0465,0,0,False,0.0,
control,104,466,v104_s0466,0,0,False,0.0,
control,104,467,v104_s0467,0,0,False,0.0,
control,104,468,v104_s0468,0,0,False,0.0,
control,104,469,v104_s0469,0,0,False,0.0,
control,104,470,v104_s0470,0,0,False,0.0,
control,104,471,v104_s0471,0,0,False,0.0,
control,104,472,v104_s0472,0,0,False,0.0,
control,104,473,v104_s0473,0,0,False,0.0,
control,104,474,v104_s0474,0,0,False,0.0,
control,104,475,v104_s0475,0,0,False,0.0,
control,104,476,v104_s0476,0,0,False,0.0,
control,104,477,v104_s0477,0,0,False,0.0,
control,104,478,v104_s0478,0,0,False,0.0,
control,104,479,v104_s0479,0,0,False,0.0,
control,104,480,v104_s0480,0,0,False,0.0,
control,104,481,v104_s0481,0,0,False,0.0,
control,104,482,v104_s0482,0,0,False,0.0,
control,104,483,v104_s0483,0,0,False,0.0,
control,104,484,v104_s0484,0,0,False,0.0,
control,104,485,v104_s0485,0,0,False,0.0,
control,104,486,v104_s0486,0,0,False,0.0,
control,104,487,v104_s0487,0,0,False,0.0,
control,104,488,v104_s0488,0,0,False,0.0,
control,104,489,v104_s0489,0,0,False,0.0,
control,104,490,v104_s0490,0,0,False,0.0,
control,104,491,v104_s0491,0,0,False,0.0,
control,104,492,v104_s0492,0,0,False,0.0,
control,104,493,v104_s0493,0,0,False,0.0,
control,104,494,v104_s0494,0,0,False,0.0,
control,104,495,v104_s0495,0,0,False,0.0,
control,104,496,v104_s0496,0,0,False,0.0,
control,104,497,v104_s0497,0,0,False,0.0,
control,104,498,v104_s0498,0,0,False,0.0,
control,104,499,v104_s0499,0,0,False,0.0,
control,104,500,v104_s0500,0,0,False,0.0,
control,104,501,v104_s0501,0,0,False,0.0,
control,104,502,v104_s0502,0,0,False,0.0,
control,104,503,v104_s0503,0,0,False,0.0,
control,104,504,v104_s0504,0,0,False,0.0,
control,104,505,v104_s0505,0,0,False,0.0,
control,104,506,v104_s0506,0,0,False,0.0,
control,104,507,v104_s0507,0,0,False,0.0,
control,104,508,v104_s0508,0,0,False,0.0,
control,104,509,v104_s0509,0,0,False,0.0,
control,104,510,v104_s0510,0,0,False,0.0,
control,104,511,v104_s0511,0,0,False,0.0,
control,104,512,v104_s0512,0,0,False,0.0,
control,104,513,v104_s0513,0,0,False,0.0,
control,104,514,v104_s0514,0,0,False,0.0,
control,104,515,v104_s0515,0,0,False,0.0,
control,104,516,v104_s0516,0,0,False,0.0,
control,104,517,v104_s0517,0,0,False,0.0,
control,104,518,v104_s0518,0,0,False,0.0,
control,104,519,v104_s0519,0,0,False,0.0,
control,104,520,v104_s0520,0,0,False,0.0,
control,104,521,v104_s0521,0,0,False,0.0,
control,104,522,v104_s0522,0,0,False,0.0,
control,104,523,v104_s0523,0,0,False,0.0,
control,104,524,v104_s0524,0,0,False,0.0,
control,104,525,v104_s0525,0,0,False,0.0,
control,104,526,v104_s0526,0,0,False,0.0,
control,104,527,v104_s0527,0,0,False,0.0,
control,104,528,v104_s0528,0,0,False,0.0,
control,104,529,v104_s0529,0,0,False,0.0,
control,104,530,v104_s0530,0,0,False,0.0,
control,104,531,v104_s0531,0,0,False,0.0,
control,104,532,v104_s0532,0,0,False,0.0,
control,104,533,v104_s0533,0,0,False,0.0,
control,104,534,v104_s0534,0,0,False,0.0,
control,104,535,v104_s0535,0,0,False,0.0,
control,104,536,v104_s0536,0,0,False,0.0,
control,104,537,v104_s0537,0,0,False,0.0,
control,104,538,v104_s0538,0,0,False,0.0,
control,104,539,v104_s0539,0,0,False,0.0,
control,104,540,v104_s0540,0,0,False,0.0,
control,104,541,v104_s0541,0,0,False,0.0,
control,104,542,v104_s0542,0,0,False,0.0,
control,104,543,v104_s0543,0,0,False,0.0,
control,104,544,v104_s0544,0,0,False,0.0,
control,104,545,v104_s0545,0,0,False,0.0,
control,104,546,v104_s0546,0,0,False,0.0,
control,104,547,v104_s0547,0,0,False,0.0,
control,104,548,v104_s0548,0,0,False,0.0,
control,104,549,v104_s0549,0,0,False,0.0,
control,104,550,v104_s0550,0,0,False,0.0,
control,104,551,v104_s0551,0,0,False,0.0,
control,104,552,v104_s0552,0,0,False,0.0,
control,104,553,v104_s0553,0,0,False,0.0,
control,104,554,v104_s0554,0,0,False,0.0,
control,104,555,v104_s0555,0,0,False,0.0,
