model,volume_id,slice_index,sample_id,truth_pixels,predicted_pixels,detected,max_probability,max_truth_probability,truth_size_quartile
control,116,532,v116_s0532,527,0,False,0.0,0.0,Q2
control,116,533,v116_s0533,564,0,False,0.0,0.0,Q2
control,116,534,v116_s0534,560,0,False,0.0,0.0,Q2
control,116,535,v116_s0535,560,0,False,0.0,0.0,Q2
control,116,536,v116_s0536,569,0,False,0.0,0.0,Q2
control,116,537,v116_s0537,565,0,False,0.0,0.0,Q2
control,116,538,v116_s0538,566,0,False,0.0,0.0,Q2
control,116,539,v116_s0539,580,0,False,0.0,0.0,Q2
control,116,540,v116_s0540,581,0,False,0.0,0.0,Q2
control,116,541,v116_s0541,580,0,False,0.0,0.0,Q2
control,116,542,v116_s0542,578,0,False,0.0,0.0,Q2
control,116,543,v116_s0543,585,0,False,0.0,0.0,Q2
control,116,544,v116_s0544,585,50,True,1.0,1.0,Q2
control,116,545,v116_s0545,596,0,False,0.0,0.0,Q2
control,116,546,v116_s0546,600,0,False,0.0,0.0,Q2
control,116,547,v116_s0547,606,0,False,0.0,0.0,Q2
control,116,548,v116_s0548,606,0,False,0.3984375,0.3984375,Q2
control,116,549,v116_s0549,604,104,True,1.0,1.0,Q2
control,116,550,v116_s0550,604,0,False,0.0,0.0,Q2
control,116,551,v116_s0551,623,198,True,1.0,1.0,Q2
control,116,552,v116_s0552,624,187,True,1.0,1.0,Q2
control,116,553,v116_s0553,655,153,True,1.0,1.0,Q2
control,116,554,v116_s0554,707,0,False,4.887580871582031e-06,4.887580871582031e-06,Q2
control,116,555,v116_s0555,762,116,True,1.0,1.0,Q2
control,116,556,v116_s0556,819,0,False,0.0,0.0,Q3
control,116,557,v116_s0557,875,0,False,4.947185516357422e-06,4.947185516357422e-06,Q3
control,116,558,v116_s0558,953,0,False,0.0,0.0,Q3
control,116,559,v116_s0559,1042,0,False,0.0,0.0,Q3
control,116,560,v116_s0560,1149,0,False,0.0,0.0,Q3
control,116,561,v116_s0561,1269,0,False,0.0,0.0,Q3
control,116,562,v116_s0562,1391,0,False,0.0,0.0,Q3
control,116,563,v116_s0563,1535,0,False,0.0,0.0,Q3
control,116,564,v116_s0564,1702,0,False,0.0,0.0,Q3
control,116,565,v116_s0565,1720,0,False,0.0,0.0,Q3
control,116,566,v116_s0566,1767,0,False,0.0,0.0,Q3
control,116,567,v116_s0567,1815,0,False,0.0,0.0,Q3
control,116,568,v116_s0568,1857,0,False,0.0,0.0,Q3
control,116,569,v116_s0569,1903,0,False,0.0,0.0,Q3
control,116,570,v116_s0570,1934,0,False,0.0,0.0,Q3
control,116,571,v116_s0571,1995,0,False,0.0,0.0,Q3
control,116,572,v116_s0572,2029,0,False,0.0,0.0,Q3
control,116,573,v116_s0573,2069,0,False,0.0,0.0,Q3
control,116,574,v116_s0574,2115,0,False,0.0,0.0,Q4
control,116,575,v116_s0575,2163,0,False,0.0,0.0,Q4
control,116,576,v116_s0576,2199,0,False,0.0,0.0,Q4
control,116,577,v116_s0577,2252,0,False,0.0,0.0,Q4
control,116,578,v116_s0578,2304,0,False,0.0,0.0,Q4
control,116,579,v116_s0579,2367,0,False,0.0,0.0,Q4
control,116,580,v116_s0580,2418,0,False,0.0,0.0,Q4
control,116,581,v116_s0581,2487,0,False,0.0,0.0,Q4
control,116,582,v116_s0582,2542,0,False,0.0,0.0,Q4
control,116,583,v116_s0583,2621,0,False,0.0,0.0,Q4
control,116,584,v116_s0584,2585,0,False,0.0,0.0,Q4
control,116,585,v116_s0585,2559,0,False,0.0,0.0,Q4
control,116,586,v116_s0586,2526,0,False,0.0,0.0,Q4
control,116,587,v116_s0587,2513,0,False,0.0,0.0,Q4
control,116,588,v116_s0588,2491,0,False,0.0,0.0,Q4
control,116,589,v116_s0589,2462,0,False,0.0,0.0,Q4
control,116,590,v116_s0590,2431,0,False,0.0,0.0,Q4
control,116,591,v116_s0591,2413,0,False,0.0,0.0,Q4
control,116,592,v116_s0592,2390,0,False,0.0,0.0,Q4
control,116,593,v116_s0593,2365,0,False,0.0,0.0,Q4
control,116,594,v116_s0594,2349,0,False,0.0,0.0,Q4
control,116,595,v116_s0595,2324,0,False,0.0,0.0,Q4
control,116,596,v116_s0596,2310,0,False,0.0,0.0,Q4
control,116,597,v116_s0597,2284,0,False,0.0,0.0,Q4
control,116,598,v116_s0598,2266,0,False,0.0,0.0,Q4
control,116,599,v116_s0599,2249,0,False,0.0,0.0,Q4
control,116,600,v116_s0600,2231,0,False,0.0,0.0,Q4
control,116,601,v116_s0601,2210,0,False,0.0,0.0,Q4
control,116,602,v116_s0602,2183,0,False,0.0,0.0,Q4
control,116,603,v116_s0603,2167,0,False,0.0,0.0,Q4
control,116,604,v116_s0604,2142,0,False,0.0,0.0,Q4
control,116,605,v116_s0605,2130,0,False,0.0,0.0,Q4
control,116,606,v116_s0606,2117,0,False,0.0,0.0,Q4
control,116,607,v116_s0607,1859,0,False,0.0,0.0,Q3
control,116,608,v116_s0608,1800,106,False,0.99951171875,0.002166748046875,Q3
control,116,609,v116_s0609,1746,0,False,0.0,0.0,Q3
control,116,610,v116_s0610,1695,0,False,0.0,0.0,Q3
control,116,611,v116_s0611,1642,37,True,0.99951171875,0.99951171875,Q3
control,116,612,v116_s0612,1595,0,False,0.0,0.0,Q3
control,116,613,v116_s0613,1554,0,False,0.0,0.0,Q3
control,116,614,v116_s0614,1502,0,False,0.0,0.0,Q3
control,116,615,v116_s0615,1465,0,False,0.0,0.0,Q3
control,116,616,v116_s0616,1348,0,False,0.0,0.0,Q3
control,116,617,v116_s0617,1245,0,False,0.0,0.0,Q3
control,116,618,v116_s0618,1145,0,False,0.0,0.0,Q3
control,116,619,v116_s0619,1051,0,False,0.0,0.0,Q3
control,116,620,v116_s0620,966,0,False,0.0,0.0,Q3
control,116,621,v116_s0621,887,0,False,0.0,0.0,Q3
control,116,622,v116_s0622,818,0,False,0.0,0.0,Q2
control,116,623,v116_s0623,743,0,False,0.0,0.0,Q2
control,116,624,v116_s0624,682,0,False,0.0,0.0,Q2
control,116,625,v116_s0625,620,0,False,0.0,0.0,Q2
control,116,626,v116_s0626,563,0,False,0.0,0.0,Q2
control,116,627,v116_s0627,513,0,False,0.0,0.0,Q2
recall_loss,116,495,v116_s0495,89,0,False,0.0,0.0,Q1
recall_loss,116,496,v116_s0496,93,0,False,0.0,0.0,Q1
recall_loss,116,497,v116_s0497,100,0,False,0.0,0.0,Q1
recall_loss,116,498,v116_s0498,104,0,False,0.0,0.0,Q1
recall_loss,116,499,v116_s0499,112,0,False,0.0,0.0,Q1
recall_loss,116,500,v116_s0500,119,0,False,0.0,0.0,Q1
recall_loss,116,501,v116_s0501,123,0,False,0.0,0.0,Q1
recall_loss,116,502,v116_s0502,134,0,False,0.0,0.0,Q1
recall_loss,116,503,v116_s0503,134,0,False,0.0,0.0,Q1
recall_loss,116,504,v116_s0504,142,0,False,0.0,0.0,Q1
recall_loss,116,505,v116_s0505,145,0,False,0.0,0.0,Q1
recall_loss,116,506,v116_s0506,151,0,False,0.0,0.0,Q1
recall_loss,116,507,v116_s0507,154,0,False,0.0,0.0,Q1
recall_loss,116,508,v116_s0508,158,0,False,0.0,0.0,Q1
recall_loss,116,509,v116_s0509,162,0,False,0.0,0.0,Q1
recall_loss,116,510,v116_s0510,166,0,False,0.0,0.0,Q1
recall_loss,116,511,v116_s0511,170,0,False,0.0,0.0,Q1
recall_loss,116,512,v116_s0512,174,0,False,0.0,0.0,Q1
recall_loss,116,513,v116_s0513,181,0,False,0.0,0.0,Q1
recall_loss,116,514,v116_s0514,188,0,False,0.0,0.0,Q1
recall_loss,116,515,v116_s0515,196,0,False,0.0,0.0,Q1
recall_loss,116,516,v116_s0516,202,0,False,0.0,0.0,Q1
recall_loss,116,517,v116_s0517,204,0,False,0.0,0.0,Q1
recall_loss,116,518,v116_s0518,213,0,False,0.0,0.0,Q1
recall_loss,116,519,v116_s0519,225,0,False,0.0,0.0,Q1
recall_loss,116,520,v116_s0520,234,9,False,0.98828125,0.0,Q1
recall_loss,116,521,v116_s0521,245,0,False,0.0,0.0,Q1
recall_loss,116,522,v116_s0522,263,0,False,0.0,0.0,Q1
recall_loss,116,523,v116_s0523,280,0,False,0.0,0.0,Q1
recall_loss,116,524,v116_s0524,302,11,False,0.99853515625,0.0,Q1
recall_loss,116,525,v116_s0525,318,0,False,0.0,0.0,Q1
recall_loss,116,526,v116_s0526,340,0,False,0.0,0.0,Q1
recall_loss,116,527,v116_s0527,369,0,False,0.0,0.0,Q1
recall_loss,116,528,v116_s0528,394,0,False,0.0,0.0,Q1
recall_loss,116,529,v116_s0529,422,0,False,0.0,0.0,Q2
recall_loss,116,530,v116_s0530,456,0,False,0.0,0.0,Q2
recall_loss,116,531,v116_s0531,486,0,False,0.0,0.0,Q2
recall_loss,116,532,v116_s0532,527,0,False,0.0,0.0,Q2
recall_loss,116,533,v116_s0533,564,0,False,0.0,0.0,Q2
recall_loss,116,534,v116_s0534,560,0,False,0.0,0.0,Q2
recall_loss,116,535,v116_s0535,560,0,False,0.0,0.0,Q2
recall_loss,116,536,v116_s0536,569,0,False,5.644559860229492e-05,0.0,Q2
recall_loss,116,537,v116_s0537,565,0,False,0.0,0.0,Q2
recall_loss,116,538,v116_s0538,566,0,False,0.0,0.0,Q2
recall_loss,116,539,v116_s0539,580,0,False,5.960464477539063e-08,0.0,Q2
recall_loss,116,540,v116_s0540,581,0,False,0.00033974647521972656,0.0,Q2
recall_loss,116,541,v116_s0541,580,56,False,1.0,0.0,Q2
recall_loss,116,542,v116_s0542,578,0,False,0.0,0.0,Q2
recall_loss,116,543,v116_s0543,585,0,False,0.0,0.0,Q2
recall_loss,116,544,v116_s0544,585,0,False,0.0,0.0,Q2
recall_loss,116,545,v116_s0545,596,0,False,3.0994415283203125e-06,0.0,Q2
recall_loss,116,546,v116_s0546,600,0,False,5.960464477539063e-08,0.0,Q2
recall_loss,116,547,v116_s0547,606,24,False,0.99267578125,0.0,Q2
recall_loss,116,548,v116_s0548,606,0,False,0.0,0.0,Q2
recall_loss,116,549,v116_s0549,604,0,False,0.0,0.0,Q2
recall_loss,116,550,v116_s0550,604,0,False,0.0,0.0,Q2
recall_loss,116,551,v116_s0551,623,0,False,0.0,0.0,Q2
recall_loss,116,552,v116_s0552,624,0,False,1.0728836059570312e-05,1.0728836059570312e-05,Q2
recall_loss,116,553,v116_s0553,655,0,False,0.0,0.0,Q2
recall_loss,116,554,v116_s0554,707,0,False,0.0,0.0,Q2
recall_loss,116,555,v116_s0555,762,0,False,5.960464477539063e-08,5.960464477539063e-08,Q2
recall_loss,116,556,v116_s0556,819,0,False,0.0,0.0,Q3
recall_loss,116,557,v116_s0557,875,0,False,0.00024271011352539062,1.2218952178955078e-05,Q3
recall_loss,116,558,v116_s0558,953,455,False,1.0,0.0,Q3
recall_loss,116,559,v116_s0559,1042,0,False,0.0299835205078125,0.0,Q3
recall_loss,116,560,v116_s0560,1149,371,False,1.0,0.0,Q3
recall_loss,116,561,v116_s0561,1269,244,False,1.0,0.0,Q3
recall_loss,116,562,v116_s0562,1391,69,False,1.0,0.0,Q3
recall_loss,116,563,v116_s0563,1535,11,False,0.8828125,0.0,Q3
recall_loss,116,564,v116_s0564,1702,0,False,0.0,0.0,Q3
recall_loss,116,565,v116_s0565,1720,43,False,1.0,0.0,Q3
recall_loss,116,566,v116_s0566,1767,0,False,0.0,0.0,Q3
recall_loss,116,567,v116_s0567,1815,0,False,5.960464477539063e-08,0.0,Q3
recall_loss,116,568,v116_s0568,1857,0,False,0.0,0.0,Q3
recall_loss,116,569,v116_s0569,1903,0,False,0.0,0.0,Q3
recall_loss,116,570,v116_s0570,1934,0,False,0.0,0.0,Q3
recall_loss,116,571,v116_s0571,1995,0,False,0.0,0.0,Q3
recall_loss,116,572,v116_s0572,2029,21,True,1.0,1.0,Q3
recall_loss,116,573,v116_s0573,2069,0,False,0.0,0.0,Q3
recall_loss,116,574,v116_s0574,2115,0,False,0.0,0.0,Q4
recall_loss,116,575,v116_s0575,2163,0,False,0.0,0.0,Q4
recall_loss,116,576,v116_s0576,2199,0,False,0.0,0.0,Q4
recall_loss,116,577,v116_s0577,2252,0,False,4.172325134277344e-07,4.172325134277344e-07,Q4
recall_loss,116,578,v116_s0578,2304,0,False,0.0,0.0,Q4
recall_loss,116,579,v116_s0579,2367,0,False,0.0,0.0,Q4
recall_loss,116,580,v116_s0580,2418,0,False,0.0,0.0,Q4
recall_loss,116,581,v116_s0581,2487,0,False,0.0,0.0,Q4
recall_loss,116,582,v116_s0582,2542,0,False,0.0,0.0,Q4
recall_loss,116,583,v116_s0583,2621,0,False,0.0,0.0,Q4
recall_loss,116,584,v116_s0584,2585,0,False,0.0,0.0,Q4
recall_loss,116,585,v116_s0585,2559,0,False,2.205371856689453e-06,2.205371856689453e-06,Q4
recall_loss,116,586,v116_s0586,2526,0,False,0.0,0.0,Q4
recall_loss,116,587,v116_s0587,2513,0,False,0.0,0.0,Q4
recall_loss,116,588,v116_s0588,2491,0,False,0.03228759765625,0.03228759765625,Q4
recall_loss,116,589,v116_s0589,2462,0,False,5.960464477539062e-07,5.960464477539062e-07,Q4
recall_loss,116,590,v116_s0590,2431,0,False,0.0,0.0,Q4
recall_loss,116,591,v116_s0591,2413,0,False,0.0,0.0,Q4
recall_loss,116,592,v116_s0592,2390,0,False,0.0,0.0,Q4
recall_loss,116,593,v116_s0593,2365,0,False,0.0,0.0,Q4
recall_loss,116,594,v116_s0594,2349,0,False,0.0,0.0,Q4
recall_loss,116,595,v116_s0595,2324,29,True,1.0,1.0,Q4
recall_loss,116,596,v116_s0596,2310,0,False,0.0,0.0,Q4
recall_loss,116,597,v116_s0597,2284,91,False,0.998046875,0.0,Q4
recall_loss,116,598,v116_s0598,2266,0,False,1.7881393432617188e-07,1.7881393432617188e-07,Q4
recall_loss,116,599,v116_s0599,2249,0,False,0.0,0.0,Q4
recall_loss,116,600,v116_s0600,2231,0,False,0.0,0.0,Q4
recall_loss,116,601,v116_s0601,2210,0,False,0.0,0.0,Q4
recall_loss,116,602,v116_s0602,2183,0,False,0.0,0.0,Q4
recall_loss,116,603,v116_s0603,2167,0,False,0.0,0.0,Q4
recall_loss,116,604,v116_s0604,2142,0,False,0.0,0.0,Q4
recall_loss,116,605,v116_s0605,2130,0,False,0.0,0.0,Q4
recall_loss,116,606,v116_s0606,2117,5,False,0.890625,0.0,Q4
recall_loss,116,607,v116_s0607,1859,0,False,0.0,0.0,Q3
recall_loss,116,608,v116_s0608,1800,33,True,0.99951171875,0.9912109375,Q3
recall_loss,116,609,v116_s0609,1746,8,True,0.97705078125,0.97705078125,Q3
recall_loss,116,610,v116_s0610,1695,0,False,0.0,0.0,Q3
recall_loss,116,611,v116_s0611,1642,0,False,3.5762786865234375e-07,0.0,Q3
recall_loss,116,612,v116_s0612,1595,0,False,0.0,0.0,Q3
recall_loss,116,613,v116_s0613,1554,0,False,5.960464477539063e-08,5.960464477539063e-08,Q3
recall_loss,116,614,v116_s0614,1502,0,False,0.0,0.0,Q3
recall_loss,116,615,v116_s0615,1465,0,False,0.0,0.0,Q3
recall_loss,116,616,v116_s0616,1348,0,False,0.0,0.0,Q3
recall_loss,116,617,v116_s0617,1245,0,False,0.0,0.0,Q3
recall_loss,116,618,v116_s0618,1145,0,False,0.0,0.0,Q3
recall_loss,116,619,v116_s0619,1051,0,False,2.384185791015625e-07,2.384185791015625e-07,Q3
recall_loss,116,620,v116_s0620,966,0,False,0.0,0.0,Q3
recall_loss,116,621,v116_s0621,887,7,False,0.63671875,0.0,Q3
recall_loss,116,622,v116_s0622,818,5,False,0.59228515625,0.0,Q2
recall_loss,116,623,v116_s0623,743,56,False,0.98291015625,0.0,Q2
recall_loss,116,624,v116_s0624,682,37,False,0.99853515625,0.0,Q2
recall_loss,116,625,v116_s0625,620,1,False,0.54541015625,0.0,Q2
recall_loss,116,626,v116_s0626,563,0,False,1.3113021850585938e-06,0.0,Q2
recall_loss,116,627,v116_s0627,513,0,False,0.0,0.0,Q2
