volume_id,split,slices,tumor_positive_slices,organ_pixels,tumor_pixels,tumor_positive_rate
81,train,343,14,586402,1287,0.04081632653061224
82,train,519,60,1216980,35374,0.11560693641618497
83,train,871,5,738904,22,0.0057405281285878304
84,train,733,218,1358532,135322,0.29740791268758526
85,train,630,34,1772804,3885,0.05396825396825397
86,train,647,49,1341050,1520,0.07573415765069552
87,train,896,0,977140,0,0.0
88,train,811,100,850787,63467,0.12330456226880394
89,train,766,0,955324,0,0.0
90,train,751,164,878581,62675,0.21837549933422104
91,train,751,0,695532,0,0.0
92,train,836,45,843971,660,0.05382775119617225
93,train,696,199,1159631,86964,0.2859195402298851
94,train,917,117,755847,15638,0.12758996728462377
95,train,841,13,1017654,640,0.015457788347205707
96,train,722,210,1437764,10105,0.29085872576177285
97,train,671,190,1328436,181203,0.28315946348733234
98,train,645,141,1030678,152211,0.2186046511627907
99,train,629,91,923423,3030,0.14467408585055644
100,train,685,235,1643231,392209,0.34306569343065696
101,train,683,190,1714978,94660,0.2781844802342606
102,train,677,45,1277342,11955,0.06646971935007386
103,train,683,64,612677,18962,0.09370424597364568
104,val,781,122,806710,68986,0.15620998719590268
105,val,986,0,880084,0,0.0
106,val,771,0,578187,0,0.0
107,val,771,71,786496,1484,0.09208819714656291
108,val,856,201,1214417,363753,0.23481308411214954
109,val,756,131,798236,18219,0.17328042328042328
110,val,816,130,805586,31057,0.15931372549019607
111,val,761,92,1151779,1826,0.12089356110381078
112,val,751,26,994140,293,0.03462050599201065
113,val,836,135,842922,21092,0.16148325358851676
114,val,846,0,923977,0,0.0
115,val,846,0,827145,0,0.0
116,val,908,133,1065314,152782,0.14647577092511013
117,test,836,245,1260872,258520,0.2930622009569378
118,test,427,87,639403,104781,0.20374707259953162
119,test,461,0,590015,0,0.0
120,test,424,50,478598,1309,0.1179245283018868
121,test,463,16,476913,532,0.03455723542116631
122,test,422,64,463800,19928,0.15165876777251186
123,test,432,82,722701,57058,0.18981481481481483
124,test,407,56,373862,18006,0.1375921375921376
125,test,410,9,531767,189,0.02195121951219512
126,test,401,15,665902,1275,0.03740648379052369
127,test,987,3,978969,75,0.00303951367781155
128,test,654,144,1386243,81671,0.22018348623853212
129,test,338,226,2383249,477545,0.6686390532544378
130,test,624,198,1315623,345956,0.3173076923076923
