split,volume_id,sampled_slices,manifest_tumor_pixels,liver_mean,liver_std,liver_p10,liver_p50,liver_p90,tumor_mean,tumor_std,tumor_p10,tumor_p50,tumor_p90,tumor_liver_contrast,tumor_to_liver_std_ratio
train,28,28,16382,113.10897827148438,18.93761444091797,95.686279296875,112.941162109375,131.76470947265625,79.23938751220703,23.20513343811035,53.33332824707031,75.29411315917969,112.941162109375,-33.869590759277344,1.2253461760194924
train,29,29,2537,96.2959213256836,18.396268844604492,80.0,97.25491333007812,112.941162109375,80.10310363769531,19.68227767944336,54.588233947753906,83.13725280761719,101.96078491210938,-16.19281768798828,1.0699059600455907
train,30,30,3116,104.80297088623047,23.088626861572266,86.27450561523438,108.23529052734375,123.92156982421875,85.1340560913086,13.392003059387207,69.01960754394531,84.70588684082031,101.96078491210938,-19.668914794921875,0.5800259642844456
train,31,29,900,105.66153717041016,12.492925643920898,95.686279296875,106.66665649414062,116.07843017578125,62.839759826660156,20.627227783203125,34.50981140136719,66.66666412353516,90.98039245605469,-42.82177734375,1.6511126673711058
train,32,16,0,76.49080657958984,19.960329055786133,56.4705810546875,76.86274719238281,97.25491333007812,,,,,,,
train,33,29,34601,113.23703002929688,29.032859802246094,87.8431396484375,116.07843017578125,138.03921508789062,73.22380828857422,33.758697509765625,31.372543334960938,70.58824157714844,119.2156982421875,-40.013221740722656,1.1627754806005683
train,34,16,0,121.3979721069336,12.491706848144531,108.23529052734375,120.7843017578125,134.90194702148438,,,,,,,
train,35,31,3196,165.38006591796875,23.59486961364746,142.74508666992188,166.27450561523438,188.23529052734375,135.47024536132812,25.785140991210938,95.686279296875,139.60784912109375,163.13726806640625,-29.909820556640625,1.0928282890911423
train,36,32,6899,88.27571105957031,19.60621452331543,70.58824157714844,89.41175842285156,106.66665649414062,58.492698669433594,22.295917510986328,29.803924560546875,61.17646789550781,86.27450561523438,-29.78301239013672,1.1371862469663556
train,37,28,1609,103.17024230957031,24.23288345336914,86.27450561523438,105.09805297851562,122.35293579101562,63.35342025756836,22.646575927734375,37.647064208984375,61.17646789550781,94.11764526367188,-39.81682205200195,0.9345390519173145
train,38,16,0,104.73544311523438,23.31898307800293,90.98039245605469,108.23529052734375,120.7843017578125,,,,,,,
train,39,31,22946,121.87834167480469,22.537883758544922,103.5294189453125,122.35293579101562,142.74508666992188,121.18767547607422,15.407029151916504,106.66665649414062,122.35293579101562,136.4705810546875,-0.6906661987304688,0.683605848578181
train,40,31,12931,114.23545837402344,20.02016830444336,94.11764526367188,114.50979614257812,134.90194702148438,79.49179077148438,27.63501739501953,42.352935791015625,81.56863403320312,114.50979614257812,-34.74366760253906,1.3803588948293757
train,41,16,0,112.8338623046875,18.02699089050293,92.54902648925781,112.941162109375,133.33334350585938,,,,,,,
train,42,22,407,103.49647521972656,31.465435028076172,81.56863403320312,106.66665649414062,127.058837890625,72.84406280517578,26.961557388305664,39.843135833740234,72.1568603515625,109.17646789550781,-30.65241241455078,0.8568626928007904
train,43,29,1842,27.919597625732422,21.01132583618164,4.7058868408203125,26.666671752929688,51.76470947265625,15.894975662231445,19.643526077270508,-7.8431396484375,14.117645263671875,43.92156982421875,-12.024621963500977,0.9349017872753288
train,44,29,24348,102.64389038085938,22.0625057220459,83.13725280761719,103.5294189453125,122.35293579101562,72.747802734375,45.64181900024414,26.666671752929688,67.45097351074219,119.2156982421875,-29.896087646484375,2.068750466300692
train,45,24,1135,52.792842864990234,19.986085891723633,32.94117736816406,51.76470947265625,72.1568603515625,90.59502410888672,26.207183837890625,58.039215087890625,92.54902648925781,122.35293579101562,37.802181243896484,1.3112714505416585
train,46,26,6646,136.72354125976562,31.534650802612305,114.50979614257812,139.60784912109375,160.0,73.29153442382812,37.83936309814453,28.23529052734375,67.45097351074219,125.49020385742188,-63.4320068359375,1.1999296689535548
train,47,16,0,85.62741088867188,15.345145225524902,69.01960754394531,84.70588684082031,101.96078491210938,,,,,,,
train,48,27,5339,96.05099487304688,29.853750228881836,81.56863403320312,100.39215087890625,114.50979614257812,76.90137481689453,17.867652893066406,51.76470947265625,76.86274719238281,100.39215087890625,-19.149620056152344,0.5985061426480499
train,49,28,1355,112.52239990234375,27.777820587158203,98.82351684570312,116.07843017578125,130.19607543945312,82.26227569580078,23.57038116455078,54.90196228027344,80.0,111.37255859375,-30.26012420654297,0.8485324142185389
train,50,21,760,125.10078430175781,22.557035446166992,111.37255859375,125.49020385742188,142.74508666992188,98.62034606933594,23.060592651367188,70.58824157714844,98.82351684570312,125.17647552490234,-26.480438232421875,1.0223237316092333
train,51,27,16180,83.42977905273438,28.68195915222168,64.313720703125,89.41175842285156,101.96078491210938,60.25240707397461,15.858696937561035,42.352935791015625,59.60784912109375,81.56863403320312,-23.177371978759766,0.5529154007017207
train,52,27,3545,136.55859375,23.133455276489258,119.2156982421875,139.60784912109375,153.72549438476562,108.47918701171875,18.752286911010742,84.70588684082031,108.23529052734375,133.33334350585938,-28.07940673828125,0.8106133168125932
train,53,22,575,94.52240753173828,17.90407943725586,81.56863403320312,97.25491333007812,108.23529052734375,84.53630065917969,11.557453155517578,70.1176528930664,86.27450561523438,98.82351684570312,-9.986106872558594,0.6455206589101784
train,54,18,132,78.91175079345703,17.140451431274414,61.17646789550781,81.56863403320312,94.11764526367188,75.61707305908203,16.180360794067383,59.60784912109375,72.1568603515625,92.70587921142578,-3.294677734375,0.9439868523266982
train,55,21,703,130.80169677734375,15.931363105773926,112.941162109375,130.19607543945312,150.58822631835938,35.014957427978516,32.93392562866211,-2.1960816383361816,28.23529052734375,88.47058868408203,-95.78673934936523,2.0672384032679556
train,56,29,23310,118.9207763671875,22.78633689880371,100.39215087890625,120.7843017578125,139.60784912109375,43.18791198730469,22.07794189453125,20.39215087890625,39.21568298339844,72.1568603515625,-75.73286437988281,0.9689114135624998
train,57,30,1218,97.9942855834961,19.11644744873047,78.43136596679688,100.39215087890625,116.07843017578125,60.582523345947266,20.901582717895508,34.196083068847656,59.60784912109375,87.8431396484375,-37.41176223754883,1.0933821660092806
train,58,28,341,100.53406524658203,21.280994415283203,78.43136596679688,101.96078491210938,122.35293579101562,60.176692962646484,32.999420166015625,23.5294189453125,69.01960754394531,92.54902648925781,-40.35737228393555,1.5506521698213827
train,59,19,168,114.42689514160156,22.552892684936523,94.11764526367188,114.50979614257812,136.4705810546875,66.88056945800781,36.8287353515625,5.490194797515869,70.5882339477539,105.8823471069336,-47.54632568359375,1.6329938631846133
train,60,30,2643,81.04755401611328,20.061168670654297,59.60784912109375,80.0,101.96078491210938,62.83211135864258,23.90998077392578,34.50981140136719,59.60784912109375,97.25491333007812,-18.215442657470703,1.1918538329674466
train,61,24,733,97.5914077758789,11.633400917053223,84.70588684082031,97.25491333007812,111.37255859375,71.51095581054688,13.98669147491455,53.33332824707031,72.1568603515625,90.98039245605469,-26.08045196533203,1.20228741144919
train,62,27,803,117.90386199951172,19.212867736816406,98.82351684570312,119.2156982421875,136.4705810546875,81.15339660644531,24.37335777282715,47.05882263183594,86.27450561523438,111.37255859375,-36.750465393066406,1.2685955114405967
train,63,20,171,101.23970031738281,15.025897026062012,89.41175842285156,101.96078491210938,112.941162109375,71.78174591064453,25.773487091064453,26.666664123535156,78.43136596679688,98.82351684570312,-29.45795440673828,1.7152711113593444
train,64,30,23431,112.80425262451172,18.894287109375,92.54902648925781,114.50979614257812,133.33334350585938,36.48804473876953,22.77953338623047,14.117645263671875,32.94117736816406,64.313720703125,-76.31620788574219,1.205630741946738
train,65,25,416,115.4341812133789,21.051706314086914,92.54902648925781,116.07843017578125,136.4705810546875,97.10965728759766,17.525489807128906,73.72549438476562,98.82351684570312,121.25489044189453,-18.32452392578125,0.832497354164664
train,66,20,588,82.98532104492188,13.922384262084961,70.58824157714844,83.13725280761719,97.25491333007812,59.544673919677734,20.68194007873535,29.803924560546875,62.74510192871094,85.01960754394531,-23.44064712524414,1.4855171132618994
train,67,20,130,93.12638092041016,14.514660835266113,76.86274719238281,94.11764526367188,106.66665649414062,82.9946517944336,8.792150497436523,72.47058868408203,81.56863403320312,95.37255096435547,-10.131729125976562,0.6057427450233168
train,68,23,1223,93.22700500488281,27.08458709716797,72.1568603515625,92.54902648925781,116.07843017578125,66.14209747314453,20.372669219970703,42.352935791015625,62.74510192871094,93.01961517333984,-27.08490753173828,0.7521868118898116
train,69,25,776,94.54357147216797,24.77790069580078,75.29411315917969,95.686279296875,116.07843017578125,63.69264221191406,25.72306251525879,34.50981140136719,58.039215087890625,101.01960754394531,-30.850929260253906,1.03814535505093
train,70,29,12162,97.5145492553711,29.671031951904297,70.58824157714844,98.82351684570312,125.49020385742188,53.15217971801758,30.972036361694336,17.254898071289062,48.62745666503906,97.25491333007812,-44.362369537353516,1.0438476292937475
train,71,25,29869,97.846923828125,21.61544418334961,80.0,98.82351684570312,117.64706420898438,68.52904510498047,22.61151885986328,42.352935791015625,70.58824157714844,92.54902648925781,-29.31787872314453,1.0460816196079352
train,72,27,5155,99.25310516357422,24.07349967956543,78.43136596679688,100.39215087890625,120.7843017578125,83.65770721435547,16.07160186767578,64.313720703125,83.13725280761719,105.09805297851562,-15.59539794921875,0.6676055447525153
train,73,18,146,96.21470642089844,18.093393325805664,81.56863403320312,97.25491333007812,114.50979614257812,84.54076385498047,10.770750999450684,70.1176528930664,83.92156982421875,100.39215087890625,-11.673942565917969,0.5952864012572436
train,74,21,9301,94.92841339111328,18.13746452331543,81.56863403320312,97.25491333007812,109.80392456054688,67.91819763183594,16.900798797607422,53.17646789550781,69.01960754394531,84.70588684082031,-27.010215759277344,0.9318170561205898
train,75,22,685,93.91824340820312,23.888612747192383,81.56863403320312,97.25491333007812,108.23529052734375,72.8780746459961,16.20997428894043,53.803916931152344,73.72549438476562,92.07843780517578,-21.04016876220703,0.6785649070746304
train,76,30,18206,93.02430725097656,23.34334373474121,78.43136596679688,97.25491333007812,108.23529052734375,48.7733039855957,21.291316986083984,20.39215087890625,47.05882263183594,78.43136596679688,-44.25100326538086,0.912093709796885
train,77,20,1059,91.97854614257812,20.30789566040039,80.0,94.11764526367188,108.23529052734375,81.2701187133789,11.988236427307129,65.88235473632812,82.35294342041016,94.11764526367188,-10.708427429199219,0.5903239128160248
train,78,27,1807,96.65279388427734,14.932516098022461,84.70588684082031,98.82351684570312,108.23529052734375,64.67939758300781,17.0911808013916,42.352935791015625,64.313720703125,87.8431396484375,-31.97339630126953,1.144561351161377
train,79,28,1995,91.5271224975586,24.73073959350586,70.58824157714844,95.686279296875,111.37255859375,57.45835876464844,18.70977783203125,36.07843017578125,54.90196228027344,83.13725280761719,-34.068763732910156,0.7565393570738306
train,80,28,13144,94.75119018554688,19.991790771484375,80.0,97.25491333007812,111.37255859375,73.45206451416016,15.393830299377441,54.90196228027344,73.72549438476562,92.54902648925781,-21.29912567138672,0.770007573375302
train,81,28,1287,96.06380462646484,26.199548721313477,76.86274719238281,97.25491333007812,117.64706420898438,48.14442825317383,24.766748428344727,20.39215087890625,43.92156982421875,83.13725280761719,-47.919376373291016,0.9453120239508874
train,82,31,11977,94.90478515625,21.680246353149414,75.29411315917969,95.686279296875,114.50979614257812,51.54203796386719,23.501142501831055,23.5294189453125,48.62745666503906,86.27450561523438,-43.36274719238281,1.0839887203780378
train,83,20,28,131.657958984375,20.28143310546875,111.37255859375,131.76470947265625,152.1568603515625,76.23529052734375,21.129356384277344,54.58823776245117,69.01960754394531,102.58822631835938,-55.42266845703125,1.0418078581725054
train,84,31,16496,83.77803039550781,24.472980499267578,54.90196228027344,84.70588684082031,111.37255859375,69.76864624023438,25.6118221282959,36.07843017578125,70.58824157714844,101.96078491210938,-14.009384155273438,1.0465346519220413
train,85,32,1984,110.50931549072266,24.613521575927734,80.0,111.37255859375,141.17648315429688,94.1828842163086,24.777816772460938,62.74510192871094,94.11764526367188,128.0,-16.326431274414062,1.0066749975628797
train,86,32,550,104.64277648925781,21.157386779785156,80.0,105.09805297851562,130.19607543945312,94.94035339355469,18.686674118041992,73.72549438476562,94.11764526367188,120.4705810546875,-9.702423095703125,0.8832222198582762
train,87,16,0,98.15536499023438,17.531030654907227,76.86274719238281,98.82351684570312,119.2156982421875,,,,,,,
train,88,31,13524,126.17210388183594,26.271804809570312,97.25491333007812,128.62744140625,150.58822631835938,72.02687072753906,31.109107971191406,34.50981140136719,69.01960754394531,112.941162109375,-54.145233154296875,1.1841252702920113
train,89,16,0,147.16067504882812,23.721166610717773,121.25489044189453,149.01962280273438,172.54901123046875,,,,,,,
train,90,31,10046,105.42240142822266,21.656551361083984,81.56863403320312,106.66665649414062,128.62744140625,58.15993118286133,25.245521545410156,26.666671752929688,56.4705810546875,92.54902648925781,-47.26247024536133,1.165722146822297
train,91,16,0,114.11531829833984,20.168649673461914,90.98039245605469,114.50979614257812,138.03921508789062,,,,,,,
train,92,29,225,136.10789489746094,27.917028427124023,106.66665649414062,136.4705810546875,166.27450561523438,58.92156982421875,33.104026794433594,15.686279296875,58.82353210449219,104.7843017578125,-77.18632507324219,1.1858005188786467
train,93,30,11647,101.44474029541016,22.03530502319336,76.86274719238281,101.96078491210938,125.49020385742188,44.37082290649414,20.242076873779297,20.39215087890625,43.92156982421875,70.58824157714844,-57.073917388916016,0.91862022570023
train,94,28,2976,99.48664093017578,20.353466033935547,76.86274719238281,100.39215087890625,122.35293579101562,81.61869049072266,15.608405113220215,61.17646789550781,81.56863403320312,101.96078491210938,-17.867950439453125,0.7668671806166163
train,95,28,646,69.55242919921875,22.123584747314453,45.49018859863281,69.01960754394531,92.54902648925781,20.75848388671875,13.689995765686035,3.1372528076171875,18.823532104492188,39.21568298339844,-48.7939453125,0.618796452837411
train,96,30,1125,114.36483001708984,21.100889205932617,89.41175842285156,114.50979614257812,139.60784912109375,77.36209869384766,22.112377166748047,47.05882263183594,78.43136596679688,103.5294189453125,-37.00273132324219,1.0479357979156179
train,97,32,26559,117.87942504882812,23.39610481262207,90.98039245605469,119.2156982421875,144.313720703125,68.19413757324219,26.37211036682129,34.50981140136719,67.45097351074219,103.5294189453125,-49.68528747558594,1.1272008985270778
train,98,31,25856,123.47061920166016,24.491283416748047,97.25491333007812,123.92156982421875,149.01962280273438,75.34257507324219,21.887435913085938,48.62745666503906,75.29411315917969,101.96078491210938,-48.12804412841797,0.8936826845962061
train,99,32,763,142.3406524658203,24.66139793395996,117.64706420898438,142.74508666992188,167.8431396484375,61.649417877197266,44.76670837402344,3.1372528076171875,54.90196228027344,120.7843017578125,-80.69123458862305,1.8152542890675907
train,100,31,44550,110.96681213378906,23.232913970947266,83.13725280761719,111.37255859375,139.60784912109375,61.415794372558594,28.433074951171875,26.666671752929688,59.60784912109375,98.82351684570312,-49.55101776123047,1.2238273247483034
train,101,30,12819,109.01286315917969,21.80045509338379,83.13725280761719,109.80392456054688,134.90194702148438,58.79011154174805,25.727867126464844,26.666671752929688,58.039215087890625,92.54902648925781,-50.22275161743164,1.180152754438277
train,102,32,4780,86.49520111083984,23.372722625732422,58.039215087890625,86.27450561523438,114.50979614257812,70.3261489868164,25.692415237426758,36.07843017578125,70.58824157714844,101.96078491210938,-16.169052124023438,1.0992478560944563
train,103,30,4987,106.81876373291016,22.434968948364258,80.0,106.66665649414062,133.33334350585938,83.34256744384766,22.931055068969727,56.4705810546875,84.70588684082031,111.37255859375,-23.4761962890625,1.0221121821807397
val,104,31,12806,96.87738800048828,21.465274810791016,75.29411315917969,98.82351684570312,117.64706420898438,10.174591064453125,21.019054412841797,-7.8431396484375,7.8431396484375,28.23529052734375,-86.70279693603516,0.9792119876459772
val,105,16,0,91.73497009277344,17.155118942260742,72.1568603515625,92.54902648925781,111.37255859375,,,,,,,
val,106,16,0,105.41462707519531,15.279667854309082,87.8431396484375,105.09805297851562,122.35293579101562,,,,,,,
val,107,30,353,123.01287841796875,26.500843048095703,98.82351684570312,125.49020385742188,145.88235473632812,99.19459533691406,19.97649383544922,70.58824157714844,101.96078491210938,123.60784149169922,-23.818283081054688,0.7538059751229194
val,108,27,44524,101.29204559326172,21.70586395263672,76.86274719238281,103.5294189453125,123.92156982421875,61.105628967285156,22.0615234375,34.50981140136719,58.039215087890625,92.54902648925781,-40.18641662597656,1.016385410211699
val,109,30,3321,83.36764526367188,18.4847412109375,62.74510192871094,84.70588684082031,103.5294189453125,23.133520126342773,21.373533248901367,-1.568634033203125,20.39215087890625,54.90196228027344,-60.2341251373291,1.1562798204745521
val,110,31,6373,129.97055053710938,21.812129974365234,105.09805297851562,130.19607543945312,153.72549438476562,93.66527557373047,23.236343383789062,65.88235473632812,95.686279296875,119.2156982421875,-36.305274963378906,1.0652945590869685
val,111,31,409,126.08552551269531,22.601200103759766,100.39215087890625,127.058837890625,150.58822631835938,75.0,22.669178009033203,47.2156867980957,76.86274719238281,103.5294189453125,-51.08552551269531,1.0030077121994123
val,112,30,193,138.75025939941406,20.236827850341797,116.07843017578125,139.60784912109375,160.0,65.57422637939453,28.53778076171875,32.94117736816406,67.45097351074219,103.52941131591797,-73.17603302001953,1.4101904198012314
val,113,29,3854,117.38245391845703,17.71864891052246,97.25491333007812,117.64706420898438,136.4705810546875,80.756103515625,18.77098846435547,58.039215087890625,80.0,105.09805297851562,-36.62635040283203,1.0593916364135452
val,114,16,0,100.08970642089844,23.419795989990234,75.29411315917969,98.82351684570312,125.49020385742188,,,,,,,
val,115,16,0,125.46475982666016,21.116731643676758,101.96078491210938,125.49020385742188,147.45098876953125,,,,,,,
val,116,31,25762,66.99345397949219,20.893728256225586,45.49018859863281,65.88235473632812,89.41175842285156,57.44459915161133,19.64154624938965,34.50981140136719,56.4705810546875,80.0,-9.54885482788086,0.9400690010188664
