sample_id,volume_id,slice_index,tumor_pixels_native,liver_background_pixels_native,tumor_mean_hu,tumor_median_hu,liver_background_mean_hu,liver_background_median_hu,mean_contrast_hu,median_contrast_hu,robust_effect_size
v104_s0297,104,297,531,3214,2.762711763381958,2.0,83.36341094970703,87.0,-80.60070037841797,-85.0,-3.9515626430511475
v104_s0298,104,298,707,3381,9.643564224243164,9.0,86.94261932373047,90.0,-77.29905700683594,-81.0,-4.044171333312988
v104_s0299,104,299,668,3570,11.047904014587402,11.0,88.72212982177734,90.0,-77.67422485351562,-79.0,-3.544450283050537
v104_s0300,104,300,641,3856,12.36661434173584,12.0,89.7829360961914,90.0,-77.41632080078125,-78.0,-3.575540065765381
v104_s0301,104,301,649,4172,14.716486930847168,14.0,91.31735229492188,88.0,-76.60086822509766,-74.0,-3.066089391708374
v104_s0302,104,302,655,4323,14.09160327911377,13.0,91.00740051269531,90.0,-76.9157943725586,-77.0,-3.1903903484344482
v104_s0303,104,303,551,4756,12.74954605102539,11.0,86.70143127441406,90.0,-73.95188903808594,-79.0,-3.2308640480041504
v104_s0304,104,304,493,5044,11.841785430908203,10.0,85.38719177246094,92.0,-73.54541015625,-82.0,-3.2994132041931152
v104_s0305,104,305,509,5369,13.11001968383789,13.0,91.21065521240234,92.0,-78.10063171386719,-79.0,-2.9489099979400635
v104_s0306,104,306,428,6013,14.714953422546387,15.0,96.07666778564453,92.0,-81.3617172241211,-77.0,-2.930906295776367
v104_s0307,104,307,388,6415,11.814433097839355,11.5,101.36227416992188,94.0,-89.54784393310547,-82.5,-3.286797523498535
v104_s0308,104,308,390,6774,12.45641040802002,11.0,103.79258728027344,96.0,-91.33617401123047,-85.0,-3.3211371898651123
v104_s0309,104,309,413,7269,16.082324981689453,15.0,99.13743591308594,97.0,-83.05511474609375,-82.0,-3.3141887187957764
v104_s0310,104,310,478,7502,17.901674270629883,15.0,95.39229583740234,97.0,-77.4906234741211,-82.0,-3.2725911140441895
v104_s0311,104,311,574,7905,15.803135871887207,12.0,94.45275115966797,96.0,-78.64961242675781,-84.0,-3.1476235389709473
v104_s0312,104,312,796,8298,14.74748706817627,10.0,95.61713409423828,95.0,-80.86964416503906,-85.0,-3.3724539279937744
v104_s0313,104,313,1244,8167,15.542604446411133,12.0,96.05117797851562,96.0,-80.50857543945312,-84.0,-3.653404474258423
v104_s0314,104,314,1359,8488,10.759382247924805,10.0,92.45770263671875,95.0,-81.69831848144531,-85.0,-3.8136491775512695
v104_s0315,104,315,1544,8783,11.216320991516113,11.0,92.21450805664062,96.0,-80.99818420410156,-85.0,-3.8136491775512695
v104_s0316,104,316,1887,9074,13.687334060668945,13.0,92.32730865478516,96.0,-78.63997650146484,-83.0,-3.7239160537719727
v104_s0317,104,317,2020,9006,13.3435640335083,11.0,94.86930847167969,97.0,-81.52574157714844,-86.0,-4.132771015167236
v104_s0318,104,318,2090,9301,10.998564720153809,8.0,94.37297058105469,97.0,-83.37440490722656,-89.0,-4.4194464683532715
v104_s0319,104,319,2369,9822,10.358800888061523,7.0,92.9056167602539,96.0,-82.54681396484375,-89.0,-4.118001937866211
v104_s0320,104,320,2514,10060,11.935561180114746,7.0,94.53190612792969,97.0,-82.59634399414062,-90.0,-3.8981869220733643
v104_s0321,104,321,2654,10300,17.968727111816406,7.0,94.99874114990234,97.0,-77.03001403808594,-90.0,-4.0379815101623535
v104_s0322,104,322,2824,10589,25.958568572998047,9.0,95.68740844726562,97.0,-69.72883605957031,-88.0,-3.827376127243042
v104_s0323,104,323,2995,10794,27.833723068237305,8.0,98.27542877197266,98.0,-70.44170379638672,-90.0,-3.9143619537353516
v104_s0324,104,324,3104,11185,23.22841453552246,7.0,99.15556335449219,100.0,-75.9271469116211,-93.0,-4.0448408126831055
v104_s0325,104,325,3251,11520,21.45124626159668,9.0,100.08367919921875,101.0,-78.63243103027344,-92.0,-4.127714157104492
v104_s0326,104,326,3341,11605,20.644716262817383,11.0,102.94657135009766,102.0,-82.3018569946289,-91.0,-4.373048305511475
v104_s0327,104,327,3415,11820,17.500146865844727,13.0,103.31438446044922,103.0,-85.81423950195312,-90.0,-4.493524074554443
v104_s0328,104,328,3468,12113,14.802767753601074,13.0,102.92495727539062,103.0,-88.1221923828125,-90.0,-4.493524074554443
v104_s0329,104,329,3634,12282,14.108145713806152,13.0,104.1353988647461,103.0,-90.02725219726562,-90.0,-4.493524074554443
v104_s0330,104,330,3926,12525,14.498726844787598,13.0,104.40966033935547,103.0,-89.91093444824219,-90.0,-4.493524074554443
v104_s0331,104,331,4047,12578,14.417346000671387,13.0,103.33415222167969,103.0,-88.91680908203125,-90.0,-4.669551372528076
v104_s0332,104,332,4152,12622,14.311175346374512,13.0,103.03612518310547,104.0,-88.7249526977539,-91.0,-4.54345178604126
v104_s0333,104,333,4249,13147,13.219346046447754,11.0,102.426025390625,104.0,-89.20668029785156,-93.0,-4.825202941894531
v104_s0334,104,334,4189,13701,11.754356384277344,10.0,101.685791015625,104.0,-89.93143463134766,-94.0,-4.693236351013184
v104_s0335,104,335,4320,14072,11.092592239379883,10.0,102.10133361816406,104.0,-91.00874328613281,-94.0,-4.517214775085449
v104_s0336,104,336,4384,14440,11.431113243103027,10.0,101.4919662475586,104.0,-90.06085205078125,-94.0,-4.862721920013428
v104_s0337,104,337,4495,14515,12.93570613861084,10.0,103.293212890625,104.0,-90.35750579833984,-94.0,-4.517214775085449
v104_s0338,104,338,4565,15085,10.510843276977539,9.0,102.29399871826172,103.0,-91.78315734863281,-94.0,-4.517214775085449
v104_s0339,104,339,4583,15816,9.025528907775879,8.0,101.02516174316406,102.0,-91.9996337890625,-94.0,-4.66772985458374
v104_s0340,104,340,4583,16122,8.486799240112305,8.0,100.84629821777344,103.0,-92.3594970703125,-95.0,-4.717386722564697
v104_s0341,104,341,4662,16612,8.907550811767578,8.0,100.78888702392578,102.0,-91.88133239746094,-94.0,-4.517214775085449
v104_s0342,104,342,4680,16960,9.98888874053955,9.0,99.83785247802734,102.0,-89.84896087646484,-93.0,-4.618072986602783
v104_s0343,104,343,4718,17009,10.321746826171875,8.0,99.80569458007812,103.0,-89.48394775390625,-95.0,-4.717386722564697
v104_s0344,104,344,4699,17138,8.431368827819824,7.0,99.91988372802734,102.0,-91.48851776123047,-95.0,-4.717386722564697
v104_s0345,104,345,4751,17417,8.591033935546875,7.0,99.29120635986328,102.0,-90.7001724243164,-95.0,-4.717386722564697
v104_s0346,104,346,4815,17509,9.195430755615234,7.0,99.05431365966797,102.0,-89.85888671875,-95.0,-4.717386722564697
v104_s0347,104,347,4870,17835,9.581314086914062,7.0,98.67804718017578,102.0,-89.09673309326172,-95.0,-4.717386722564697
v104_s0348,104,348,4950,18121,9.600403785705566,8.0,98.74493408203125,102.0,-89.14453125,-94.0,-4.517214775085449
v104_s0349,104,349,4878,18402,8.947929382324219,7.0,98.47190856933594,101.0,-89.52397918701172,-94.0,-4.517214775085449
v104_s0350,104,350,4866,18495,8.006987571716309,8.0,98.59902954101562,101.0,-90.592041015625,-93.0,-4.4691596031188965
v104_s0351,104,351,4835,18794,7.4732160568237305,7.0,98.56832122802734,101.0,-91.09510803222656,-94.0,-4.517214775085449
v104_s0352,104,352,4917,18985,8.321944236755371,7.0,98.66779327392578,101.0,-90.3458480834961,-94.0,-4.693236351013184
v104_s0353,104,353,4969,19113,9.873616218566895,7.0,98.9352798461914,101.0,-89.06166076660156,-94.0,-4.693236351013184
v104_s0354,104,354,5056,19195,10.449960708618164,5.0,99.42339324951172,101.0,-88.97343444824219,-96.0,-4.793092250823975
v104_s0355,104,355,5088,19370,9.738207817077637,5.0,99.42039489746094,101.0,-89.68218994140625,-96.0,-4.62507963180542
v104_s0356,104,356,4927,19712,5.995129108428955,5.0,99.29296875,100.0,-93.29783630371094,-95.0,-4.56527042388916
v104_s0357,104,357,4898,19942,7.155369758605957,6.0,99.15123748779297,100.0,-91.99586486816406,-94.0,-4.862721920013428
v104_s0358,104,358,4858,20157,8.455742835998535,6.0,99.0385971069336,100.0,-90.58285522460938,-94.0,-4.693236351013184
v104_s0359,104,359,4869,20547,12.116040229797363,6.0,98.72760009765625,100.0,-86.61155700683594,-94.0,-4.693236351013184
v104_s0360,104,360,4758,20754,13.942832946777344,6.0,98.30548095703125,100.0,-84.3626480102539,-94.0,-4.693236351013184
v104_s0361,104,361,4631,20890,13.125243186950684,6.0,98.37649536132812,100.0,-85.25125122070312,-94.0,-4.693236351013184
v104_s0362,104,362,4596,21058,12.157963752746582,6.0,98.65081787109375,100.0,-86.49285125732422,-94.0,-4.610302448272705
v104_s0363,104,363,4438,21299,9.464849472045898,5.0,99.23114013671875,100.0,-89.76628875732422,-95.0,-4.576901912689209
v104_s0364,104,364,4351,21484,9.765571594238281,6.0,99.39759826660156,100.0,-89.63202667236328,-94.0,-4.52872371673584
v104_s0365,104,365,4241,21745,12.138882637023926,8.0,99.43159484863281,100.0,-87.29270935058594,-92.0,-4.43236780166626
v104_s0366,104,366,4188,21911,14.504298210144043,9.0,100.13645935058594,100.0,-85.63216400146484,-91.0,-4.384190082550049
v104_s0367,104,367,4132,22081,16.337608337402344,10.0,100.86997985839844,101.0,-84.5323715209961,-91.0,-4.230496406555176
v104_s0368,104,368,3978,22358,13.080694198608398,9.0,101.30830383300781,101.0,-88.22760772705078,-92.0,-4.593379974365234
v104_s0369,104,369,3920,22532,12.184694290161133,9.0,101.00812530517578,102.0,-88.82343292236328,-93.0,-4.825202941894531
v104_s0370,104,370,3810,22716,10.912860870361328,8.0,100.42234802246094,102.0,-89.50949096679688,-94.0,-4.877087116241455
v104_s0371,104,371,3594,23090,8.949638366699219,8.0,99.6046371459961,101.0,-90.65499877929688,-93.0,-4.810990810394287
v104_s0372,104,372,3458,23381,8.660497665405273,8.0,99.17608642578125,101.0,-90.51558685302734,-93.0,-4.810990810394287
v104_s0373,104,373,3285,23657,9.122678756713867,8.0,98.84431457519531,101.0,-89.72163391113281,-93.0,-4.810990810394287
v104_s0374,104,374,2995,24049,9.03906536102295,8.0,98.51107788085938,101.0,-89.47201538085938,-93.0,-4.810990810394287
v104_s0375,104,375,2782,24376,7.988138198852539,7.0,98.7773666381836,101.0,-90.78923034667969,-94.0,-4.862721920013428
v104_s0376,104,376,2569,24722,6.364344120025635,6.0,98.76336669921875,100.0,-92.3990249633789,-94.0,-4.693236351013184
v104_s0377,104,377,2398,24989,6.83236026763916,6.0,98.96382141113281,100.0,-92.13146209716797,-94.0,-4.693236351013184
v104_s0378,104,378,2233,25339,7.973130226135254,8.0,98.90631103515625,100.0,-90.93318176269531,-92.0,-4.593379974365234
v104_s0379,104,379,2014,25726,8.539225578308105,9.0,98.74531555175781,99.0,-90.20609283447266,-90.0,-4.493524074554443
v104_s0380,104,380,1815,26013,7.309091091156006,9.0,99.2460708618164,99.0,-91.93698120117188,-90.0,-4.336012363433838
v104_s0381,104,381,1640,26192,9.529877662658691,9.0,99.27023315429688,99.0,-89.7403564453125,-90.0,-4.0379815101623535
v104_s0382,104,382,1458,26401,24.86831283569336,12.0,98.79296112060547,99.0,-73.92465209960938,-87.0,-3.3992815017700195
v104_s0383,104,383,810,27057,19.85555648803711,16.5,98.68163299560547,98.0,-78.82608032226562,-81.5,-3.030073642730713
v104_s0384,104,384,513,27388,27.397661209106445,27.0,98.9472427368164,98.0,-71.5495834350586,-71.0,-2.6833643913269043
v104_s0385,104,385,97,27809,8.90721607208252,10.0,98.70958709716797,98.0,-89.8023681640625,-88.0,-4.552335262298584
v104_s0386,104,386,55,27817,10.399999618530273,11.0,98.8921127319336,99.0,-88.49211120605469,-88.0,-4.878966331481934
v104_s0413,104,413,19,26341,65.42105102539062,67.0,100.06233978271484,100.0,-34.64128875732422,-33.0,-2.0621821880340576
v104_s0414,104,414,33,26211,67.90908813476562,73.0,100.28907775878906,100.0,-32.37998962402344,-27.0,-1.62886381149292
v104_s0415,104,415,28,26129,71.75,73.0,100.29637908935547,100.0,-28.54637908935547,-27.0,-1.62886381149292
v104_s0416,104,416,27,25849,61.77777862548828,61.0,100.76173400878906,101.0,-38.98395538330078,-40.0,-2.142996072769165
v104_s0417,104,417,11,25841,65.81818389892578,66.0,101.15599060058594,101.0,-35.337806701660156,-35.0,-2.1871628761291504
v104_s0423,104,423,8,23951,71.75,68.0,99.00455474853516,98.0,-27.254554748535156,-30.0,-1.7471991777420044
v104_s0424,104,424,11,23645,73.54545593261719,71.0,99.09418487548828,97.0,-25.548728942871094,-26.0,-1.538075566291809
v104_s0425,104,425,21,23296,78.33333587646484,79.0,100.00373077392578,97.0,-21.670394897460938,-18.0,-0.9643481969833374
v104_s0426,104,426,35,22931,71.22856903076172,77.0,99.61798095703125,96.0,-28.38941192626953,-19.0,-1.0534131526947021
v104_s0427,104,427,39,22460,56.79487228393555,61.0,98.2544937133789,95.0,-41.45962142944336,-34.0,-1.6975535154342651
v104_s0428,104,428,44,21871,47.79545593261719,46.5,97.26715850830078,94.0,-49.471702575683594,-47.5,-2.37158203125
v104_s0429,104,429,56,21369,45.89285659790039,45.5,96.29715728759766,93.0,-50.404300689697266,-47.5,-2.329674005508423
v104_s0430,104,430,41,20901,45.34146499633789,46.0,97.05626678466797,94.0,-51.71480178833008,-48.0,-2.839524030685425
v104_s0431,104,431,22,20420,43.727272033691406,41.0,96.65411376953125,93.0,-52.926841735839844,-52.0,-2.6428275108337402
v104_s0432,104,432,14,19989,44.14285659790039,44.5,96.46160125732422,92.0,-52.31874465942383,-47.5,-2.329674005508423
v104_s0433,104,433,15,19542,65.0,63.0,97.52118682861328,92.0,-32.52118682861328,-29.0,-1.662069320678711
v104_s0434,104,434,14,19058,74.78571319580078,72.0,97.00231170654297,91.0,-22.216598510742188,-19.0,-1.1411139965057373
v107_s0268,107,268,37,92,86.56756591796875,86.0,90.2934799194336,100.0,-3.7259140014648438,-14.0,-0.4048597514629364
v107_s0269,107,269,40,136,87.2750015258789,89.0,99.67646789550781,101.5,-12.401466369628906,-12.5,-0.4505826234817505
v107_s0270,107,270,51,176,78.78431701660156,80.0,102.65908813476562,107.0,-23.874771118164062,-27.0,-1.169456124305725
v107_s0271,107,271,59,245,69.50847625732422,70.0,100.11837005615234,106.0,-30.609893798828125,-36.0,-1.4283334016799927
v107_s0272,107,272,74,274,69.02702331542969,69.5,107.13138580322266,113.0,-38.10436248779297,-43.5,-1.6488937139511108
v107_s0273,107,273,90,307,74.61111450195312,75.0,107.42996978759766,116.0,-32.81885528564453,-41.0,-1.489927887916565
v107_s0274,107,274,103,348,78.99028778076172,80.0,109.14655303955078,116.5,-30.156265258789062,-36.5,-1.2991104125976562
v107_s0275,107,275,105,416,83.5142822265625,84.0,109.88701629638672,115.0,-26.37273406982422,-31.0,-1.0635623931884766
v107_s0276,107,276,126,425,82.96825408935547,82.0,113.54352569580078,116.0,-30.575271606445312,-34.0,-1.374175786972046
v107_s0277,107,277,121,476,85.9504165649414,82.0,117.59243774414062,117.0,-31.64202117919922,-35.0,-1.5159616470336914
v107_s0278,107,278,81,543,86.87654113769531,87.0,119.03314971923828,118.0,-32.15660858154297,-31.0,-1.3939476013183594
v107_s0279,107,279,44,628,99.29545593261719,95.5,119.43312072753906,121.0,-20.137664794921875,-25.5,-0.9643113613128662
v107_s0280,107,280,19,702,111.78947448730469,118.0,122.7706527709961,125.0,-10.981178283691406,-7.0,-0.2290232628583908
v107_s0331,107,331,2,4791,113.0,113.0,127.6224136352539,127.0,-14.622413635253906,-14.0,-0.7646613717079163
v107_s0332,107,332,8,4884,108.125,108.5,127.89885711669922,127.0,-19.77385711669922,-18.5,-1.1268296241760254
v107_s0333,107,333,25,4994,108.55999755859375,106.0,128.85923767089844,129.0,-20.299240112304688,-23.0,-1.1052759885787964
v107_s0334,107,334,27,5154,103.62963104248047,102.0,129.16162109375,130.0,-25.53199005126953,-28.0,-1.1780601739883423
v107_s0335,107,335,40,5231,97.55000305175781,99.0,129.871337890625,131.0,-32.32133483886719,-32.0,-1.6670806407928467
v107_s0336,107,336,57,5285,96.45613861083984,92.0,130.09649658203125,130.0,-33.640357971191406,-38.0,-1.8261080980300903
v107_s0337,107,337,73,5358,100.4383544921875,100.0,130.22283935546875,130.0,-29.78448486328125,-30.0,-1.3946691751480103
v107_s0338,107,338,93,5435,101.18279266357422,100.0,131.08132934570312,131.0,-29.898536682128906,-31.0,-1.5393576622009277
v107_s0339,107,339,106,5561,99.03773498535156,99.0,131.45262145996094,132.0,-32.414886474609375,-33.0,-1.585830807685852
v107_s0340,107,340,137,5642,95.48175048828125,96.0,131.16111755371094,132.0,-35.67936706542969,-36.0,-1.7169731855392456
v107_s0341,107,341,114,5804,87.85964965820312,85.5,129.50706481933594,130.0,-41.64741516113281,-44.5,-1.875927448272705
v107_s0342,107,342,88,5835,81.56818389892578,82.0,129.58749389648438,130.0,-48.019309997558594,-48.0,-1.7342666387557983
v107_s0343,107,343,78,5854,78.74359130859375,77.5,129.0550079345703,129.0,-50.31141662597656,-51.5,-2.1313204765319824
v107_s0344,107,344,58,6098,80.93103790283203,83.5,127.66973114013672,128.0,-46.73869323730469,-44.5,-2.0276362895965576
v107_s0345,107,345,41,6157,92.41463470458984,91.0,128.4853057861328,129.0,-36.07067108154297,-38.0,-1.9745115041732788
v107_s0346,107,346,36,6316,96.61111450195312,95.5,128.77247619628906,130.0,-32.16136169433594,-34.5,-1.7926486730575562
v107_s0347,107,347,24,6409,107.625,114.0,129.37368774414062,130.0,-21.748687744140625,-16.0,-0.8595743775367737
v107_s0348,107,348,15,6539,105.66666412353516,102.0,129.11270141601562,129.0,-23.44603729248047,-27.0,-1.62886381149292
v107_s0349,107,349,11,6700,96.54545593261719,96.0,129.10194396972656,129.0,-32.556488037109375,-33.0,-1.7460765838623047
v107_s0350,107,350,9,6901,88.33333587646484,89.0,128.02796936035156,129.0,-39.69463348388672,-40.0,-2.305025339126587
v107_s0358,107,358,11,9093,86.7272720336914,85.0,122.06763458251953,124.0,-35.340362548828125,-39.0,-2.026472330093384
v107_s0359,107,359,11,9623,91.54545593261719,93.0,120.14392852783203,123.0,-28.598472595214844,-30.0,-1.735113263130188
v107_s0360,107,360,11,9830,103.36363983154297,103.0,120.67466735839844,123.0,-17.31102752685547,-20.0,-1.066463589668274
v107_s0361,107,361,14,10111,105.14286041259766,107.5,120.56918334960938,122.0,-15.426322937011719,-14.5,-0.7827224135398865
v107_s0362,107,362,55,10694,99.7272720336914,98.0,118.4349136352539,121.0,-18.7076416015625,-23.0,-1.1299211978912354
v107_s0363,107,363,62,10772,93.98387145996094,100.5,120.62393188476562,122.0,-26.640060424804688,-21.5,-1.0162461996078491
v107_s0364,107,364,82,11465,91.48780822753906,93.5,118.59790802001953,122.0,-27.11009979248047,-28.5,-1.379685640335083
v107_s0365,107,365,76,11553,90.77631378173828,91.5,120.42906951904297,122.0,-29.652755737304688,-30.5,-1.4328824281692505
v107_s0366,107,366,99,12199,93.89898681640625,95.0,117.99918365478516,121.0,-24.100196838378906,-26.0,-1.2030117511749268
v107_s0367,107,367,133,12184,97.65413665771484,101.0,120.17211151123047,121.0,-22.517974853515625,-20.0,-0.7680304050445557
v107_s0368,107,368,180,12779,98.31666564941406,100.0,117.85225677490234,121.0,-19.53559112548828,-21.0,-0.8580489158630371
v107_s0369,107,369,161,13047,102.03105926513672,105.0,119.0055923461914,121.0,-16.974533081054688,-16.0,-0.5780888795852661
v107_s0370,107,370,161,13255,104.02484130859375,106.0,119.72342681884766,121.0,-15.698585510253906,-15.0,-0.5941119194030762
v107_s0371,107,371,157,13828,101.356689453125,99.0,118.96550750732422,122.0,-17.60881805419922,-23.0,-0.85657799243927
v107_s0372,107,372,169,13795,95.10059356689453,97.0,122.0967025756836,123.0,-26.996109008789062,-26.0,-0.9984394907951355
v107_s0373,107,373,174,14351,96.53448486328125,96.5,121.20939636230469,123.0,-24.674911499023438,-26.5,-1.0827760696411133
v107_s0374,107,374,181,14726,94.91712951660156,97.0,121.47338104248047,124.0,-26.556251525878906,-27.0,-1.1382031440734863
v107_s0375,107,375,177,14670,95.2203369140625,94.0,123.41690826416016,125.0,-28.196571350097656,-31.0,-1.227831244468689
v107_s0376,107,376,177,15216,100.28813934326172,97.0,123.56427764892578,126.0,-23.276138305664062,-29.0,-1.3040153980255127
v107_s0377,107,377,167,15705,105.98802185058594,105.0,123.61228942871094,127.0,-17.624267578125,-22.0,-1.0179330110549927
v107_s0378,107,378,178,15485,111.23595428466797,110.0,126.21414184570312,129.0,-14.978187561035156,-19.0,-0.9061802625656128
v107_s0379,107,379,178,15964,113.33708190917969,113.0,125.5533676147461,128.0,-12.216285705566406,-15.0,-0.6940452456474304
v107_s0380,107,380,190,15657,112.63157653808594,111.0,126.72491455078125,128.0,-14.093338012695312,-17.0,-0.7393795251846313
v107_s0381,107,381,156,15873,110.58333587646484,117.0,127.2896728515625,128.0,-16.706336975097656,-11.0,-0.5167772769927979
v107_s0382,107,382,140,16458,105.40714263916016,108.0,126.55662536621094,128.0,-21.14948272705078,-20.0,-0.9611095786094666
v107_s0383,107,383,122,16928,109.1229476928711,108.5,125.57962799072266,127.0,-16.456680297851562,-18.5,-0.8429499268531799
v107_s0384,107,384,109,16808,116.412841796875,118.0,126.28302001953125,128.0,-9.87017822265625,-10.0,-0.4486646056175232
v107_s0385,107,385,102,16915,118.54901885986328,119.0,127.23777770996094,128.0,-8.688758850097656,-9.0,-0.4421430826187134
v107_s0386,107,386,96,17345,116.0,115.0,126.51063537597656,128.0,-10.510635375976562,-13.0,-0.6293302774429321
v107_s0387,107,387,95,17699,111.11579132080078,113.0,125.41160583496094,128.0,-14.295814514160156,-15.0,-0.6729968786239624
v107_s0388,107,388,80,18163,113.69999694824219,114.0,125.16213989257812,128.0,-11.462142944335938,-14.0,-0.6477755904197693
v107_s0389,107,389,64,18028,119.65625,119.0,126.59069061279297,129.0,-6.934440612792969,-10.0,-0.43492910265922546
v107_s0390,107,390,51,18620,122.50980377197266,119.0,125.32470703125,129.0,-2.8149032592773438,-10.0,-0.4626968502998352
v107_s0391,107,391,47,18498,122.7021255493164,124.0,127.0042724609375,129.0,-4.302146911621094,-5.0,-0.21746455132961273
v107_s0392,107,392,31,18834,121.09677124023438,124.0,125.93973541259766,129.0,-4.842964172363281,-5.0,-0.2384684979915619
v107_s0393,107,393,31,18607,118.25806427001953,116.0,127.4588623046875,130.0,-9.200798034667969,-14.0,-0.7634108662605286
v107_s0394,107,394,17,19222,124.29412078857422,121.0,126.13291931152344,130.0,-1.8387985229492188,-9.0,-0.5313898921012878
v107_s0395,107,395,12,19047,131.0833282470703,131.0,127.25180053710938,130.0,3.8315277099609375,1.0,0.058348823338747025
v108_s0414,108,414,4,520,94.75,100.5,67.92692565917969,71.0,26.823074340820312,29.5,1.5062613487243652
v108_s0415,108,415,68,650,54.985294342041016,54.0,57.79538345336914,69.0,-2.810089111328125,-15.0,-0.5415699481964111
v108_s0416,108,416,114,723,56.14912414550781,54.5,73.63623809814453,79.0,-17.48711395263672,-24.5,-1.0386627912521362
v108_s0417,108,417,196,1002,62.17346954345703,63.0,68.8852310180664,76.0,-6.711761474609375,-13.0,-0.4672732949256897
v108_s0418,108,418,413,1110,67.95641326904297,68.0,68.97477722167969,77.0,-1.0183639526367188,-9.0,-0.3190540075302124
v108_s0419,108,419,532,1197,70.53571319580078,69.5,72.42439270019531,80.0,-1.8886795043945312,-10.5,-0.34970930218696594
v108_s0420,108,420,730,1222,75.13835906982422,78.0,76.94190216064453,83.0,-1.8035430908203125,-5.0,-0.16446103155612946
v108_s0421,108,421,954,1326,77.69915771484375,80.0,81.15988159179688,87.0,-3.460723876953125,-7.0,-0.2420453429222107
v108_s0422,108,422,1267,1361,78.1562728881836,79.0,82.25275421142578,87.0,-4.0964813232421875,-8.0,-0.2915652096271515
v108_s0423,108,423,1616,1246,76.6893539428711,78.0,86.21428680419922,90.0,-9.524932861328125,-12.0,-0.4623192846775055
v108_s0424,108,424,1674,1455,76.20071411132812,76.0,85.77250671386719,91.0,-9.571792602539062,-15.0,-0.546684741973877
v108_s0425,108,425,1783,1669,74.00897216796875,74.0,85.39005279541016,91.0,-11.381080627441406,-17.0,-0.5878244042396545
v108_s0426,108,426,1867,1893,71.64274597167969,71.0,87.7680892944336,93.0,-16.125343322753906,-22.0,-0.8231083750724792
v108_s0427,108,427,2019,2022,69.58048248291016,69.0,90.68199920654297,95.0,-21.101516723632812,-26.0,-1.0016918182373047
v108_s0428,108,428,2181,2182,66.76753997802734,67.0,92.99908447265625,97.0,-26.231544494628906,-30.0,-1.1557981967926025
v108_s0429,108,429,2410,2264,65.3887939453125,65.0,92.62235260009766,97.0,-27.233558654785156,-32.0,-1.3075031042099
v108_s0430,108,430,2496,2475,64.10095977783203,63.0,91.63030242919922,95.0,-27.529342651367188,-32.0,-1.232851505279541
v108_s0431,108,431,2545,2787,62.45343780517578,61.0,90.81449890136719,96.0,-28.361061096191406,-35.0,-1.3886574506759644
v108_s0432,108,432,2660,3018,61.05601501464844,60.0,91.47614288330078,96.0,-30.420127868652344,-36.0,-1.4283334016799927
v108_s0433,108,433,2820,3226,60.78652572631836,60.0,91.56571960449219,96.0,-30.779193878173828,-36.0,-1.4283334016799927
v108_s0434,108,434,3048,3315,60.141075134277344,58.0,91.72579193115234,97.0,-31.584716796875,-39.0,-1.5473612546920776
v108_s0435,108,435,3343,3364,61.06939697265625,60.0,91.56212615966797,98.0,-30.49272918701172,-38.0,-1.5050835609436035
v108_s0436,108,436,3265,3820,60.01715087890625,59.0,90.23298645019531,97.0,-30.215835571289062,-38.0,-1.4217326641082764
