role,path,bytes,sha256
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\experiment_timeline.csv,1082,802c969a64330a56c38544af502939b6184f632abaff5204d59f47cf3c9e207f
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\decision_log.csv,749,cba638170a6d50f61077d83ffb1ac3a40dd004e7abd6a510c8995e014ac5d828
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\patient_results_table.csv,1093,7ec5a2ff83b8d6e0648952c9f6cdabf516443fa09a3cbcae42726791bc9549e7
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\lesion_stratum_results.csv,380,dd2b496ac10bfc394e1955cc71239fb24775c92890aa9a60c4b096eb61ce7a22
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\v121_failure_evidence.csv,430,2f3327e3a69415b432717dd1a61c5c32ae6d55cbee67d0d04730d555e02a9baa
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\chart_map.csv,490,952e93dced1f52b85cf5d7a77cd17a6466cc7985ea1e3eb2135db0a76c14d852
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\final_outcome_dashboard.png,248146,68bf6cb880f2975f7e6ae8705201bc6b4790916cb5237a9fbe84a5d4b298bd30
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\validation_to_test_comparison.png,111602,afac91f5a446ee11af86f30ec9e37a7fc9b11cae3123ef40073bfc7860fc3048
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\patient_failure_distribution.png,67319,b02ec7b0e0e7aef7758cd3e8c26f01987ed3d6c4df193cca5710012b7b63ea2d
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\FINAL_TECHNICAL_REPORT.md,5917,b02d12069f437b4438b877e3accb46294e7f2c3904dcc54bd99824db126b30cb
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\PAPER_DRAFT.md,5694,d3d23c24a870c16b7e373d00812c7e941437394bf0f63c140242b3d96b9454f3
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\LIMITATIONS_AND_FAILURE_ANALYSIS.md,1071,e24c649d9754161d1ecd290f20e9d45d6486f17125a87b771925a3ce1b0b374e
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\REPRODUCIBILITY_INSTRUCTIONS.md,1105,ce1faec5d6d8d3f8ff03cda0e8177ae665ecb461d63024cb6ec4fcfe88d2637e
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\FINAL_PROJECT_DATA_CARD.md,815,dc4d314d5995cce0b6d92d44cfb97550726d211c503aa06465b0ba89490fc7fe
package_output,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1 (part 2)\step_05_final_research_package\outputs\expected_vs_actual.csv,523,1366fa55105893b2c2ccdf339e6864e29964d8582c97052d8e1d1cff1eeb0261
