volume_id,roi_empty,y0,y1,x0,x1,crop_area_ratio,tumor_pixel_containment,positive_slice_containment,tumor_pixels,positive_slices
40,False,3,189,53,227,0.49383544921875,1.0,1.0,30582,54
41,False,16,197,59,193,0.370086669921875,,,0,0
42,False,25,176,85,217,0.30413818359375,1.0,1.0,407,7
43,False,11,197,15,222,0.587493896484375,1.0,1.0,1842,15
44,False,24,192,67,239,0.44091796875,1.0,1.0,46506,36
45,False,22,195,36,201,0.4355621337890625,1.0,1.0,1135,11
46,False,32,194,59,196,0.338653564453125,1.0,1.0,10408,33
47,False,23,190,61,212,0.3847808837890625,,,0,0
48,False,34,170,59,204,0.3009033203125,1.0,1.0,8880,27
49,False,40,176,54,179,0.2593994140625,1.0,1.0,1996,23
50,False,37,183,67,184,0.260650634765625,1.0,1.0,760,7
51,False,20,183,82,236,0.383026123046875,1.0,1.0,31202,35
52,False,28,175,58,196,0.309539794921875,1.0,1.0,4560,21
53,False,38,164,44,180,0.261474609375,1.0,1.0,575,10
54,False,12,185,41,194,0.4038848876953125,1.0,1.0,132,4
55,False,4,217,61,203,0.461517333984375,1.0,1.0,703,6
56,False,10,197,37,193,0.44512939453125,1.0,1.0,67074,66
57,False,10,192,58,212,0.42767333984375,1.0,1.0,1648,21
58,False,16,216,64,213,0.4547119140625,1.0,1.0,363,17
59,False,9,174,51,211,0.40283203125,1.0,1.0,168,4
60,False,15,211,45,206,0.48150634765625,1.0,1.0,2843,18
61,False,13,213,47,203,0.47607421875,1.0,1.0,733,11
62,False,24,190,61,202,0.357147216796875,1.0,1.0,803,13
63,False,13,180,59,210,0.3847808837890625,1.0,1.0,171,7
64,False,12,191,58,212,0.420623779296875,1.0,1.0,44767,38
65,False,16,210,35,166,0.387786865234375,1.0,1.0,416,10
66,False,5,175,46,217,0.443572998046875,1.0,1.0,588,7
67,False,19,200,41,180,0.3838958740234375,1.0,1.0,130,5
68,False,55,242,59,217,0.450836181640625,1.0,1.0,1223,9
69,False,86,247,58,226,0.4127197265625,1.0,1.0,776,10
70,False,61,244,48,196,0.41326904296875,1.0,1.0,30160,51
71,False,48,256,38,229,0.606201171875,1.0,1.0,35658,20
72,False,64,250,55,228,0.490997314453125,1.0,1.0,5579,17
73,False,91,232,56,204,0.31842041015625,1.0,1.0,146,4
74,False,62,253,44,217,0.5041961669921875,1.0,1.0,9301,10
75,False,68,250,84,226,0.39434814453125,1.0,1.0,685,12
76,False,69,248,68,230,0.442474365234375,1.0,1.0,48351,59
77,False,80,250,55,230,0.453948974609375,1.0,1.0,1059,8
78,False,77,242,69,219,0.377655029296875,1.0,1.0,3072,36
79,False,91,246,66,223,0.3713226318359375,1.0,1.0,2262,18
80,False,58,237,59,202,0.3905792236328125,1.0,1.0,22070,30
81,False,42,232,56,204,0.4290771484375,1.0,1.0,1287,14
82,False,27,236,49,221,0.54852294921875,1.0,1.0,35374,60
83,False,44,222,77,202,0.339508056640625,1.0,1.0,28,5
84,False,65,251,41,222,0.513702392578125,1.0,1.0,135314,219
85,False,59,248,25,206,0.5219879150390625,1.0,1.0,3882,34
86,False,76,256,56,232,0.4833984375,1.0,1.0,1528,48
87,False,66,236,43,215,0.4461669921875,,,0,0
88,False,69,245,69,230,0.432373046875,1.0,1.0,63512,101
89,False,65,250,68,233,0.4657745361328125,,,0,0
90,False,92,242,69,242,0.395965576171875,1.0,1.0,62781,163
91,False,76,237,50,213,0.4004364013671875,,,0,0
92,False,66,250,43,212,0.4744873046875,1.0,1.0,658,45
93,False,45,238,64,223,0.4682464599609375,1.0,1.0,86945,199
94,False,86,226,76,237,0.34393310546875,1.0,1.0,15626,118
95,False,41,241,67,207,0.42724609375,1.0,1.0,646,13
96,False,60,249,36,197,0.4643096923828125,1.0,1.0,10152,210
97,False,49,244,43,219,0.523681640625,1.0,1.0,181385,189
98,False,66,236,33,195,0.42022705078125,1.0,1.0,151997,140
99,False,68,231,50,204,0.383026123046875,1.0,1.0,3088,90
100,False,0,173,35,210,0.4619598388671875,1.0,1.0,392209,235
101,False,62,256,42,214,0.5091552734375,1.0,1.0,94617,192
102,False,60,256,46,232,0.5562744140625,1.0,1.0,11913,45
103,False,83,237,33,178,0.340728759765625,1.0,1.0,18938,64
