case_id,archive_name,member,uncompressed_bytes,compressed_bytes,is_directory
10,3Dircadb1.10.zip,3Dircadb1.10/LABELLED_DICOM.zip,599953,599953,False
10,3Dircadb1.10.zip,3Dircadb1.10/LICENSE.txt,19127,19127,False
10,3Dircadb1.10.zip,3Dircadb1.10/MASKS_DICOM.zip,1173221,1173221,False
10,3Dircadb1.10.zip,3Dircadb1.10/MESHES_VTK.zip,2219520,2219520,False
10,3Dircadb1.10.zip,3Dircadb1.10/PATIENT_DICOM.zip,32460541,32460541,False
10,3Dircadb1.10.zip,3Dircadb1.10/liver_10.jpg,56973,56973,False
11,3Dircadb1.11.zip,3Dircadb1.11/,0,0,True
11,3Dircadb1.11.zip,3Dircadb1.11/LABELLED_DICOM.zip,672610,672610,False
11,3Dircadb1.11.zip,3Dircadb1.11/LICENSE.txt,19127,19127,False
11,3Dircadb1.11.zip,3Dircadb1.11/MASKS_DICOM.zip,2011960,2011960,False
11,3Dircadb1.11.zip,3Dircadb1.11/MESHES_VTK.zip,2381666,2381666,False
11,3Dircadb1.11.zip,3Dircadb1.11/PATIENT_DICOM.zip,33350908,33350908,False
11,3Dircadb1.11.zip,3Dircadb1.11/liver_11.jpg,65291,65291,False
12,3Dircadb1.12.zip,3Dircadb1.12/,0,0,True
12,3Dircadb1.12.zip,3Dircadb1.12/LABELLED_DICOM.zip,1230296,1230296,False
12,3Dircadb1.12.zip,3Dircadb1.12/LICENSE.txt,19127,19127,False
12,3Dircadb1.12.zip,3Dircadb1.12/MASKS_DICOM.zip,2738921,2738921,False
12,3Dircadb1.12.zip,3Dircadb1.12/MESHES_VTK.zip,2806783,2806783,False
12,3Dircadb1.12.zip,3Dircadb1.12/PATIENT_DICOM.zip,62415030,62415030,False
12,3Dircadb1.12.zip,3Dircadb1.12/liver_12.jpg,56701,56701,False
13,3Dircadb1.13.zip,3Dircadb1.13/,0,0,True
13,3Dircadb1.13.zip,3Dircadb1.13/LABELLED_DICOM.zip,672916,672916,False
13,3Dircadb1.13.zip,3Dircadb1.13/LICENSE.txt,19127,19127,False
13,3Dircadb1.13.zip,3Dircadb1.13/MASKS_DICOM.zip,1383363,1383363,False
13,3Dircadb1.13.zip,3Dircadb1.13/MESHES_VTK.zip,2486612,2486612,False
13,3Dircadb1.13.zip,3Dircadb1.13/PATIENT_DICOM.zip,29953107,29953107,False
13,3Dircadb1.13.zip,3Dircadb1.13/liver_13.jpg,72084,72084,False
14,3Dircadb1.14.zip,3Dircadb1.14/,0,0,True
14,3Dircadb1.14.zip,3Dircadb1.14/LABELLED_DICOM.zip,534103,534103,False
14,3Dircadb1.14.zip,3Dircadb1.14/LICENSE.txt,19127,19127,False
14,3Dircadb1.14.zip,3Dircadb1.14/MASKS_DICOM.zip,1080648,1080648,False
14,3Dircadb1.14.zip,3Dircadb1.14/MESHES_VTK.zip,1360758,1360758,False
14,3Dircadb1.14.zip,3Dircadb1.14/PATIENT_DICOM.zip,28403733,28403733,False
14,3Dircadb1.14.zip,3Dircadb1.14/liver_14.jpg,53895,53895,False
15,3Dircadb1.15.zip,3Dircadb1.15/,0,0,True
15,3Dircadb1.15.zip,3Dircadb1.15/LABELLED_DICOM.zip,534775,534775,False
15,3Dircadb1.15.zip,3Dircadb1.15/LICENSE.txt,19127,19127,False
15,3Dircadb1.15.zip,3Dircadb1.15/MASKS_DICOM.zip,1133624,1133624,False
15,3Dircadb1.15.zip,3Dircadb1.15/MESHES_VTK.zip,1315393,1315393,False
15,3Dircadb1.15.zip,3Dircadb1.15/PATIENT_DICOM.zip,28499142,28499142,False
15,3Dircadb1.15.zip,3Dircadb1.15/liver_15.jpg,46749,46749,False
16,3Dircadb1.16.zip,3Dircadb1.16/,0,0,True
16,3Dircadb1.16.zip,3Dircadb1.16/LABELLED_DICOM.zip,784195,784195,False
16,3Dircadb1.16.zip,3Dircadb1.16/LICENSE.txt,19127,19127,False
16,3Dircadb1.16.zip,3Dircadb1.16/MASKS_DICOM.zip,1536180,1536180,False
16,3Dircadb1.16.zip,3Dircadb1.16/MESHES_VTK.zip,1452706,1452706,False
16,3Dircadb1.16.zip,3Dircadb1.16/PATIENT_DICOM.zip,39877134,39877134,False
16,3Dircadb1.16.zip,3Dircadb1.16/liver_16.jpg,54595,54595,False
17,3Dircadb1.17.zip,3Dircadb1.17/,0,0,True
17,3Dircadb1.17.zip,3Dircadb1.17/LABELLED_DICOM.zip,668877,668877,False
17,3Dircadb1.17.zip,3Dircadb1.17/LICENSE.txt,19127,19127,False
17,3Dircadb1.17.zip,3Dircadb1.17/MASKS_DICOM.zip,1484606,1484606,False
17,3Dircadb1.17.zip,3Dircadb1.17/MESHES_VTK.zip,1470756,1470756,False
17,3Dircadb1.17.zip,3Dircadb1.17/PATIENT_DICOM.zip,29000502,29000502,False
17,3Dircadb1.17.zip,3Dircadb1.17/liver_17.jpg,64686,64686,False
18,3Dircadb1.18.zip,3Dircadb1.18/,0,0,True
18,3Dircadb1.18.zip,3Dircadb1.18/LABELLED_DICOM.zip,370188,370188,False
18,3Dircadb1.18.zip,3Dircadb1.18/LICENSE.txt,19127,19127,False
18,3Dircadb1.18.zip,3Dircadb1.18/MASKS_DICOM.zip,834886,834886,False
18,3Dircadb1.18.zip,3Dircadb1.18/MESHES_VTK.zip,2337377,2337377,False
18,3Dircadb1.18.zip,3Dircadb1.18/PATIENT_DICOM.zip,19307140,19307140,False
18,3Dircadb1.18.zip,3Dircadb1.18/liver_18.jpg,58346,58346,False
19,3Dircadb1.19.zip,3Dircadb1.19/,0,0,True
19,3Dircadb1.19.zip,3Dircadb1.19/LABELLED_DICOM.zip,547573,547573,False
19,3Dircadb1.19.zip,3Dircadb1.19/LICENSE.txt,19127,19127,False
19,3Dircadb1.19.zip,3Dircadb1.19/MASKS_DICOM.zip,1370797,1370797,False
19,3Dircadb1.19.zip,3Dircadb1.19/MESHES_VTK.zip,1693308,1693308,False
19,3Dircadb1.19.zip,3Dircadb1.19/PATIENT_DICOM.zip,29301877,29301877,False
19,3Dircadb1.19.zip,3Dircadb1.19/liver_19.jpg,67795,67795,False
20,3Dircadb1.20.zip,3Dircadb1.20/,0,0,True
20,3Dircadb1.20.zip,3Dircadb1.20/LABELLED_DICOM.zip,1375115,1375115,False
20,3Dircadb1.20.zip,3Dircadb1.20/LICENSE.txt,19127,19127,False
20,3Dircadb1.20.zip,3Dircadb1.20/MASKS_DICOM.zip,5441812,5441812,False
20,3Dircadb1.20.zip,3Dircadb1.20/MESHES_VTK.zip,6669260,6669260,False
20,3Dircadb1.20.zip,3Dircadb1.20/PATIENT_DICOM.zip,55214480,55214480,False
20,3Dircadb1.20.zip,3Dircadb1.20/liver_20.jpg,71490,71490,False
