split,volume_id,lesion_id_6conn,voxel_count,physical_volume_ml,equivalent_spherical_diameter_mm,bbox_x_mm,bbox_y_mm,bbox_z_mm,axial_span_slices,surface_voxel_per_mm3_proxy,centroid_distance_from_liver_centre_normalized,tiny_under_0_001_ml
train,4,5,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.299444,True
train,4,6,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.250447,True
train,4,7,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.250989,True
train,4,8,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.251567,True
train,4,9,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.252182,True
train,4,10,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.252834,True
train,4,11,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.253521,True
train,4,12,2,0.001303,1.355050,1.804688,0.902344,0.800000,1,1.535203,0.236833,False
train,4,13,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.244181,True
train,4,14,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.231701,True
train,4,15,2,0.001303,1.355050,0.902344,1.804688,0.800000,1,1.535203,0.211986,False
train,4,16,2425,1.579596,14.449377,26.167976,14.437504,16.800000,21,0.847052,0.197264,False
train,4,17,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.092225,True
train,4,18,2,0.001303,1.355050,1.804688,0.902344,0.800000,1,1.535203,0.181127,False
train,4,19,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.111793,True
train,4,20,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.169552,True
train,4,21,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.185157,True
train,4,22,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.131991,True
train,4,23,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.131314,True
train,4,24,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.130707,True
train,4,25,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.130170,True
train,4,26,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.129705,True
train,4,27,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.129313,True
train,4,28,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.195139,True
train,4,29,15236,9.924422,26.662582,28.875008,27.070320,35.200001,44,0.302486,0.095223,False
train,4,30,1,0.000651,1.075504,0.902344,0.902344,0.800000,1,1.535203,0.080902,True
train,4,31,1980,1.289732,13.505177,19.851568,18.046880,10.400000,13,0.753645,0.203859,False
train,4,32,875,0.569957,10.286822,16.242192,20.753912,4.000000,5,1.033411,0.222093,False
train,4,33,8676,5.651371,22.099633,23.460944,25.265632,24.000000,30,0.358674,0.310525,False
train,4,34,7,0.004560,2.057364,1.804688,3.609376,0.800000,1,1.535203,0.329121,False
train,5,1,540,0.405416,9.182635,11.625000,13.562500,8.799868,11,0.693116,0.173567,False
train,6,1,143,0.108996,5.926580,7.857422,6.984375,6.000000,6,0.963337,0.190334,False
train,6,2,8241,6.281380,22.892091,28.810547,22.699219,28.000000,28,0.293725,0.098893,False
train,6,3,17140,13.064294,29.221047,32.302734,30.556641,32.000000,32,0.237977,0.201715,False
train,6,4,2814,2.144861,16.000499,15.714844,18.333984,17.000000,17,0.396296,0.190231,False
train,6,5,1153,0.878829,11.884163,11.349609,14.841797,15.000000,15,0.490425,0.244868,False
train,6,6,1225,0.933708,12.126557,15.714844,13.095703,13.000000,13,0.494801,0.333262,False
train,6,7,751,0.572420,10.301619,13.095703,12.222656,8.000000,8,0.585234,0.370472,False
train,7,1,315,0.176266,6.956485,7.480469,8.976562,7.000000,7,1.089264,0.188210,False
train,7,2,6869,3.843715,19.434983,21.693359,19.449219,22.000000,22,0.411841,0.092586,False
train,7,3,21322,11.931240,28.350604,32.166016,35.906250,37.000000,37,0.316564,0.189496,False
train,7,4,1323,0.740317,11.223792,11.220703,13.464844,11.000000,11,0.687544,0.247346,False
train,7,5,1543,0.863423,11.814309,12.716797,11.968750,14.000000,14,0.649740,0.346456,False
train,7,6,1050,0.587553,10.391608,17.205078,12.716797,11.000000,11,0.890133,0.387960,False
train,8,1,511,0.367164,8.884247,7.628906,11.019531,12.000000,12,0.691788,0.205319,False
train,8,2,4807,3.453931,18.754479,21.191406,19.496094,21.000000,21,0.349457,0.106691,False
train,8,3,11496,8.260119,25.080098,24.582031,27.125000,24.000000,24,0.270577,0.212006,False
train,8,4,1,0.000719,1.111255,0.847656,0.847656,1.000000,1,1.391748,0.202921,True
train,8,5,1841,1.322797,13.619617,12.714844,15.257812,14.000000,14,0.462656,0.192866,False
train,8,6,1123,0.806899,11.550662,13.562500,15.257812,13.000000,13,0.525468,0.258596,False
train,8,7,1048,0.753010,11.287577,11.019531,11.867188,14.000000,14,0.579009,0.355839,False
train,9,1,467,0.314250,8.435140,7.382812,9.023438,10.000000,10,0.770087,0.191304,False
train,9,2,13331,8.970598,25.779486,30.351562,31.171875,31.000000,31,0.316924,0.206362,False
train,9,3,5670,3.815414,19.387168,22.148438,18.046875,21.000000,21,0.369291,0.100262,False
train,9,4,876,0.589471,10.402907,11.484375,12.304688,10.000000,10,0.619199,0.253571,False
train,9,5,858,0.577359,10.331160,10.664062,11.484375,10.000000,10,0.670294,0.345461,False
train,9,6,977,0.657436,10.788263,11.484375,13.125000,9.000000,9,0.638846,0.382451,False
train,10,1,554,0.328067,8.556994,9.234375,10.003906,10.000000,10,0.780329,0.190539,False
train,10,2,14570,8.628038,25.447072,28.472656,34.628906,32.000000,32,0.346892,0.192333,False
train,10,3,6271,3.713550,19.213076,21.546875,19.238281,22.000000,22,0.393693,0.088978,False
train,10,4,1387,0.821351,11.619215,12.312500,14.621094,11.000000,11,0.636756,0.247059,False
train,10,5,1206,0.714167,11.090056,13.082031,12.312500,12.000000,12,0.648308,0.343513,False
train,10,6,322,0.190681,7.141179,14.621094,9.234375,4.000000,4,1.410730,0.384552,False
train,11,1,4428,1.998870,15.628909,16.125000,16.796875,19.000000,19,0.656371,0.232064,False
train,11,2,2107,0.951134,12.201530,13.437500,12.765625,16.000000,16,0.810612,0.199729,False
train,11,3,960,0.433359,9.388939,12.093750,14.109375,11.000000,11,1.176852,0.218602,False
train,11,4,2857,1.289696,13.505050,15.453125,20.828125,13.000000,13,0.852914,0.212294,False
train,11,5,197,0.088929,5.537939,9.406250,6.718750,3.000000,3,1.810434,0.394771,False
train,12,1,790,0.338202,8.644225,11.777344,7.197266,9.000000,9,1.055581,0.174138,False
train,13,1,514,0.369320,8.901599,16.953125,20.343750,6.000000,6,1.248240,0.194166,False
train,13,2,199,0.142986,6.487808,11.867188,9.324219,3.000000,3,1.181936,0.167462,False
train,13,3,7779,5.589376,22.018525,26.277344,26.277344,22.000000,22,0.322218,0.276681,False
train,13,4,19,0.013652,2.965274,2.542969,4.238281,2.000000,2,1.391748,0.226413,False
train,13,5,1684,1.209990,13.220899,10.171875,18.648438,13.000000,13,0.520666,0.152110,False
train,13,6,912,0.655291,10.776521,18.648438,13.562500,10.000000,10,0.682139,0.218812,False
train,13,7,1482,1.064848,12.669604,16.953125,13.562500,14.000000,14,0.596329,0.128982,False
train,13,8,10877,7.815354,24.621623,37.296875,31.363281,26.000000,26,0.334214,0.293853,False
train,13,9,185,0.132926,6.331951,6.781250,7.628906,7.000000,7,0.910278,0.196930,False
train,14,1,2610,1.226633,13.281243,17.138672,15.082031,16.000000,16,0.835620,0.304528,False
train,14,2,2,0.000940,1.215351,0.685547,1.371094,1.000000,1,2.127775,0.298425,True
train,15,1,5,0.002141,1.598970,1.962891,1.308594,2.000000,2,2.335879,0.279838,False
train,15,2,3,0.001284,1.348624,1.962891,0.654297,1.000000,1,2.335879,0.284759,False
train,15,3,12,0.005137,2.140807,4.580078,0.654297,3.000000,3,2.335879,0.284792,False
train,15,4,13,0.005565,2.198694,3.925781,1.308594,3.000000,3,2.335879,0.283756,False
train,15,5,9,0.003853,1.945052,1.962891,2.617188,2.000000,2,2.335879,0.287241,False
train,15,6,833,0.356611,8.798298,13.085938,12.431641,10.000000,10,1.233838,0.309275,False
train,16,1,18792,7.432383,24.212696,30.937500,33.750000,32.800000,41,0.672328,0.310949,False
train,16,2,5715,2.260327,16.282618,28.828125,23.203125,18.400000,23,0.880846,0.237152,False
train,16,3,291003,115.093962,60.351023,79.453125,75.234375,56.000001,70,0.282074,0.083467,False
train,16,4,64,0.025313,3.642885,2.812500,3.515625,4.800000,6,1.935802,0.277684,False
train,16,5,42945,16.985083,31.892582,35.156250,52.734375,49.600001,62,0.579744,0.244658,False
train,16,6,8,0.003164,1.821443,2.812500,1.406250,0.800000,1,2.528395,0.121964,False
train,16,7,2859,1.130757,12.925783,19.687500,16.171875,12.800000,16,1.344232,0.117619,False
train,16,8,130,0.051416,4.613529,7.031250,4.921875,4.800000,6,1.808775,0.153600,False
train,16,9,3,0.001187,1.313487,0.703125,1.406250,1.600000,2,2.528395,0.154126,False
train,16,10,1,0.000396,0.910721,0.703125,0.703125,0.800000,1,2.528395,0.112658,True
train,16,11,13,0.005142,2.141411,2.812500,2.812500,1.600000,2,2.528395,0.157760,False
train,16,12,409,0.161763,6.760206,9.843750,9.843750,4.800000,6,1.650566,0.149865,False
train,16,13,11180,4.421777,20.364141,24.609375,36.562500,27.200000,34,0.610388,0.355836,False
train,17,1,4041,1.790149,15.064806,17.115243,14.138679,16.000000,20,0.620619,0.254753,False
train,17,2,14281,6.326435,22.946695,23.068370,29.765639,24.000000,30,0.436107,0.209179,False
train,17,3,3,0.001329,1.364084,1.488282,0.744141,1.600000,2,2.257353,0.239231,False
train,17,4,14167,6.275934,22.885474,25.300793,27.533216,26.400000,33,0.420336,0.193019,False
train,17,5,1,0.000443,0.945803,0.744141,0.744141,0.800000,1,2.257353,0.229815,True
train,17,6,5183,2.296052,16.367952,15.626961,23.068370,18.400000,23,0.638052,0.290727,False
train,18,1,478,0.324984,8.530106,9.218750,10.140625,12.000000,15,0.747729,0.262624,False
train,18,2,3218,2.187863,16.106722,18.437500,20.281250,20.800000,26,0.508716,0.209267,False
train,18,3,5558,3.778789,19.324933,22.125000,23.046875,21.600000,27,0.423681,0.200126,False
train,18,4,1,0.000680,1.090968,0.921875,0.921875,0.800000,1,1.470842,0.218579,True
train,18,5,955,0.649288,10.743512,12.906250,16.593750,11.200000,14,0.662264,0.294435,False
train,19,1,498,0.225265,7.549159,6.015625,15.039062,7.199892,9,1.251857,0.204358,False
train,19,2,3,0.001357,1.373607,1.503906,1.503906,0.799988,1,2.210726,0.204444,False
train,19,3,12665,5.728886,22.200215,30.830078,48.125000,28.799567,36,0.691408,0.167146,False
train,19,4,200,0.090468,5.569704,6.767578,6.015625,7.199892,9,1.315382,0.186587,False
train,19,5,1,0.000452,0.952406,0.751953,0.751953,0.799988,1,2.210726,0.184317,True
train,19,6,3328,1.505388,14.219464,18.798828,20.302734,19.199711,24,0.798465,0.100539,False
train,19,7,1833,0.829139,11.655823,26.318359,15.791016,13.599796,17,1.049281,0.174352,False
train,20,1,902,0.464979,9.611954,17.660156,12.843750,7.999880,10,1.017249,0.161393,False
train,20,2,32,0.016496,3.158345,1.605469,4.013672,3.999940,5,1.939871,0.151231,False
train,20,3,10,0.005155,2.143267,1.605469,2.408203,3.199952,4,1.939871,0.155273,False
train,20,4,2,0.001031,1.253390,0.802734,1.605469,0.799988,1,1.939871,0.151863,False
train,20,5,1,0.000515,0.994816,0.802734,0.802734,0.799988,1,1.939871,0.250567,True
train,20,6,722,0.372190,8.924596,13.646484,12.041016,8.799868,11,0.988743,0.267544,False
train,21,1,11132,6.558709,23.224155,39.914062,38.378906,33.000000,33,0.489883,0.087237,False
train,21,2,1240,0.730578,11.174362,26.865234,11.513672,8.000000,8,0.995102,0.146704,False
train,21,3,15787,9.301324,26.092482,29.167969,33.005859,32.000000,32,0.402846,0.125499,False
train,21,4,13,0.007659,2.445663,5.373047,1.535156,1.000000,1,1.697285,0.121620,False
train,21,5,8099,4.771738,20.887798,24.562500,29.167969,22.000000,22,0.479909,0.247042,False
train,22,1,9424,29.388857,38.287883,47.851539,46.874977,39.240000,12,0.095955,0.288897,False
train,23,1,42904,22.437400,34.993816,46.871094,34.328125,38.400002,32,0.299946,0.307658,False
train,24,1,1422,0.957280,12.227758,16.748047,16.078125,10.500000,7,0.758398,0.194992,False
train,25,1,454,0.187240,7.097959,10.746094,12.281250,7.700000,11,1.559494,0.127379,False
train,26,1,15,0.007825,2.463193,2.589844,4.316406,1.400000,2,1.916891,0.250693,False
train,26,2,38,0.019824,3.357860,6.042969,6.042969,1.400000,2,1.916891,0.245889,False
train,26,3,456,0.237885,7.687580,8.632812,11.222656,6.300000,9,1.000482,0.215947,False
train,26,4,10,0.005217,2.151797,2.589844,4.316406,0.700000,1,1.916891,0.240060,False
train,26,5,35250,18.389155,32.748221,41.437500,34.531250,28.000000,40,0.284516,0.206347,False
train,26,6,16017,8.355719,25.176483,28.488281,37.121094,31.499999,45,0.469978,0.196953,False
train,26,7,19,0.009912,2.665135,6.906250,5.179688,0.700000,1,1.916891,0.227122,False
train,26,8,1,0.000522,0.998776,0.863281,0.863281,0.700000,1,1.916891,0.206904,True
train,26,9,3,0.001565,1.440484,0.863281,2.589844,0.700000,1,1.916891,0.230729,False
train,27,1,41371,15.784751,31.122875,43.558594,33.222656,39.199999,56,0.409636,0.179840,False
train,27,2,84,0.032049,3.941009,3.691406,4.429688,4.200000,6,1.996912,0.212505,False
train,27,3,68,0.025945,3.672970,3.691406,3.691406,4.200000,6,2.042797,0.196210,False
train,27,4,97660,37.261337,41.440018,53.894531,61.277344,53.899999,77,0.517856,0.166202,False
train,27,5,37,0.014117,2.998575,5.167969,5.906250,0.700000,1,2.620947,0.187191,False
train,27,6,36,0.013735,2.971314,3.691406,5.906250,0.700000,1,2.620947,0.182582,False
train,27,7,2,0.000763,1.133768,0.738281,1.476562,0.700000,1,2.620947,0.167729,True
train,27,8,118,0.045022,4.413756,8.121094,8.859375,0.700000,1,2.620947,0.170195,False
train,27,9,14251,5.437347,21.817056,31.007812,21.410156,24.500000,35,0.566453,0.216360,False
train,27,10,31192,11.901040,28.326664,54.632812,37.652344,36.399999,52,0.604401,0.231819,False
train,27,11,389,0.148420,6.568974,8.859375,4.429688,7.000000,10,1.381219,0.243366,False
train,27,12,2535,0.967208,12.269881,15.503906,11.812500,13.300000,19,0.830225,0.365759,False
train,28,1,162337,162.337000,67.681966,123.000000,97.000000,37.000000,37,0.121014,0.164446,False
train,28,2,766,0.766000,11.352113,17.000000,17.000000,5.000000,5,0.548303,0.197147,False
train,28,3,14464,14.464000,30.229428,38.000000,51.000000,17.000000,17,0.219234,0.247979,False
train,28,4,4859,4.859000,21.014356,32.000000,26.000000,15.000000,15,0.272278,0.075651,False
train,28,5,19426,19.426000,33.352489,57.000000,50.000000,18.000000,18,0.226604,0.108887,False
train,28,6,5224,5.224000,21.527892,38.000000,28.000000,11.000000,11,0.328292,0.240952,False
train,28,7,7192,7.192000,23.948796,36.000000,39.000000,11.000000,11,0.312987,0.289322,False
train,29,1,14062,14.062000,29.946736,41.000000,45.000000,22.000000,22,0.244702,0.190252,False
train,30,1,14252,14.252000,30.081009,33.000000,59.000000,18.000000,18,0.245790,0.180178,False
train,31,1,596,0.596000,10.441171,15.000000,22.000000,5.000000,5,0.639262,0.371380,False
train,31,2,853,0.853000,11.766577,17.000000,14.000000,8.000000,8,0.493552,0.263612,False
train,31,3,35,0.035000,4.058415,5.000000,4.000000,3.000000,3,0.942857,0.144541,False
train,31,4,1059,1.059000,12.646367,15.000000,18.000000,9.000000,9,0.445703,0.081876,False
train,31,5,2374,2.374000,16.551119,22.000000,22.000000,10.000000,10,0.393850,0.162662,False
train,31,6,414,0.414000,9.246994,11.000000,13.000000,8.000000,8,0.557971,0.177706,False
train,31,7,1362,1.362000,13.752854,19.000000,20.000000,9.000000,9,0.430250,0.166504,False
train,31,8,43,0.043000,4.346669,5.000000,5.000000,4.000000,4,0.860465,0.317404,False
train,33,1,357147,357.147000,88.027046,191.000000,189.000000,78.000000,78,0.139847,0.068473,False
train,33,2,6333,6.333000,22.954630,27.000000,49.000000,14.000000,14,0.304595,0.200934,False
train,33,3,445,0.445000,9.472264,11.000000,13.000000,5.000000,5,0.525843,0.133766,False
train,33,4,605,0.605000,10.493465,14.000000,14.000000,5.000000,5,0.522314,0.124990,False
train,33,5,12118,12.118000,28.497763,40.000000,47.000000,19.000000,19,0.246740,0.298727,False
train,33,6,24897,24.897000,36.228426,47.000000,69.000000,21.000000,21,0.228983,0.205384,False
train,33,7,1911,1.911000,15.396453,22.000000,26.000000,7.000000,7,0.458922,0.079398,False
train,33,8,1118,1.118000,12.876991,21.000000,15.000000,7.000000,7,0.455277,0.120938,False
train,33,9,1782,1.782000,15.041911,20.000000,21.000000,10.000000,10,0.361953,0.116540,False
train,33,10,10680,10.680000,27.322738,36.000000,34.000000,17.000000,17,0.227247,0.178570,False
train,33,11,711,0.711000,11.073638,14.000000,15.000000,6.000000,6,0.483826,0.262270,False
train,33,12,798,0.798000,11.508042,17.000000,15.000000,5.000000,5,0.508772,0.112051,False
train,33,13,14095,14.095000,29.970143,63.000000,33.000000,16.000000,16,0.249876,0.342087,False
train,33,14,722,0.722000,11.130453,17.000000,20.000000,6.000000,6,0.624654,0.334985,False
train,33,15,1359,1.359000,13.742749,31.000000,18.000000,6.000000,6,0.587932,0.312940,False
train,35,1,10767,10.767000,27.396728,43.000000,42.000000,14.000000,14,0.253460,0.039525,False
train,35,2,8421,8.421000,25.241879,45.000000,35.000000,22.000000,22,0.331908,0.240214,False
train,35,3,1129,1.129000,12.919086,24.000000,20.000000,6.000000,6,0.654562,0.277545,False
train,35,4,1,0.001000,1.240701,1.000000,1.000000,1.000000,1,1.000000,0.272738,False
train,36,1,39483,39.483000,42.247775,57.000000,68.000000,30.000000,30,0.167667,0.205159,False
train,36,2,1,0.001000,1.240701,1.000000,1.000000,1.000000,1,1.000000,0.247224,False
train,37,1,195,0.195000,7.194689,10.000000,13.000000,4.000000,4,0.794872,0.297668,False
train,37,2,524,0.524000,10.002554,20.000000,17.000000,5.000000,5,0.782443,0.220717,False
train,37,3,2041,2.041000,15.737949,27.000000,27.000000,8.000000,8,0.482607,0.188988,False
train,37,4,2070,2.070000,15.812137,22.000000,29.000000,9.000000,9,0.447343,0.096922,False
train,37,5,5089,5.089000,21.340829,29.000000,36.000000,12.000000,12,0.343682,0.128425,False
train,37,6,204,0.204000,7.303716,13.000000,14.000000,3.000000,3,0.931373,0.172725,False
train,37,7,56,0.056000,4.746751,6.000000,8.000000,2.000000,2,1.000000,0.167037,False
train,37,8,4802,4.802000,20.931861,30.000000,30.000000,13.000000,13,0.344856,0.268855,False
train,39,1,348986,348.986000,87.351385,117.000000,92.000000,76.000000,76,0.075748,0.282388,False
train,40,1,367,0.367000,8.882921,13.000000,16.000000,4.000000,4,0.694823,0.243899,False
train,40,2,4417,4.417000,20.356804,34.000000,31.000000,13.000000,13,0.418384,0.308584,False
train,40,3,11169,11.169000,27.733535,50.000000,49.000000,16.000000,16,0.312562,0.218271,False
train,40,4,23047,23.047000,35.307903,58.000000,51.000000,22.000000,22,0.242721,0.225511,False
train,40,5,1924,1.924000,15.431287,39.000000,28.000000,8.000000,8,0.718295,0.133723,False
train,40,6,1066,1.066000,12.674170,23.000000,28.000000,5.000000,5,0.764540,0.075454,False
train,40,7,444,0.444000,9.465163,16.000000,12.000000,5.000000,5,0.632883,0.278994,False
train,40,8,39325,39.325000,42.191345,60.000000,77.000000,33.000000,33,0.286434,0.068526,False
train,40,9,566,0.566000,10.262959,17.000000,19.000000,5.000000,5,0.766784,0.181948,False
train,40,10,990,0.990000,12.365514,23.000000,21.000000,8.000000,8,0.627273,0.108509,False
train,40,11,11909,11.909000,28.332978,44.000000,52.000000,28.000000,28,0.377530,0.131057,False
train,40,12,2536,2.536000,16.919345,34.000000,28.000000,7.000000,7,0.535883,0.162196,False
train,40,13,18280,18.280000,32.683297,60.000000,64.000000,22.000000,22,0.343162,0.241339,False
train,40,14,960,0.960000,12.239327,22.000000,15.000000,6.000000,6,0.550000,0.171242,False
train,40,15,1156,1.156000,13.021262,20.000000,20.000000,7.000000,7,0.541522,0.190397,False
train,40,16,3166,3.166000,18.218143,41.000000,28.000000,7.000000,7,0.567909,0.272289,False
train,40,17,690,0.690000,10.963524,19.000000,15.000000,5.000000,5,0.601449,0.366909,False
train,40,18,468,0.468000,9.632723,14.000000,18.000000,4.000000,4,0.713675,0.350139,False
train,42,1,86,0.086000,5.476460,8.000000,9.000000,3.000000,3,0.860465,0.141486,False
train,42,2,1552,1.552000,14.364738,22.000000,23.000000,7.000000,7,0.496134,0.322430,False
train,43,1,7337,7.337000,24.108673,34.000000,35.000000,15.000000,15,0.260188,0.124116,False
train,44,1,96961,96.961000,56.998858,81.000000,87.000000,30.000000,30,0.128907,0.128176,False
train,44,2,89029,89.029000,55.400152,105.000000,71.000000,28.000000,28,0.146480,0.246833,False
train,45,1,4539,4.539000,20.542526,34.000000,37.000000,11.000000,11,0.452743,0.192479,False
train,46,1,53,0.053000,4.660427,6.000000,8.000000,2.000000,2,1.000000,0.273968,False
train,46,2,1260,1.260000,13.400592,25.000000,25.000000,5.000000,5,0.681746,0.203991,False
train,46,3,108,0.108000,5.908470,9.000000,10.000000,2.000000,2,1.000000,0.213913,False
train,46,4,484,0.484000,9.741270,16.000000,17.000000,3.000000,3,0.752066,0.201915,False
train,46,5,891,0.891000,11.938773,22.000000,29.000000,5.000000,5,0.795735,0.225303,False
train,46,6,434,0.434000,9.393563,15.000000,17.000000,3.000000,3,0.764977,0.190412,False
train,46,7,97,0.097000,5.700650,10.000000,10.000000,2.000000,2,1.000000,0.163366,False
train,46,8,356,0.356000,8.793271,16.000000,16.000000,2.000000,2,1.000000,0.158217,False
train,46,9,4572,4.572000,20.592190,37.000000,55.000000,6.000000,6,0.563430,0.145030,False
train,46,10,941,0.941000,12.158043,23.000000,25.000000,4.000000,4,0.737513,0.264282,False
train,46,11,758,0.758000,11.312455,21.000000,20.000000,4.000000,4,0.695251,0.287958,False
train,46,12,514,0.514000,9.938515,16.000000,18.000000,4.000000,4,0.791829,0.211176,False
train,46,13,67,0.067000,5.039167,9.000000,7.000000,2.000000,2,1.000000,0.139938,False
train,46,14,80,0.080000,5.346018,10.000000,9.000000,2.000000,2,1.000000,0.221376,False
train,46,15,26,0.026000,3.675572,5.000000,6.000000,1.000000,1,1.000000,0.125351,False
train,46,16,72,0.072000,5.161524,8.000000,8.000000,2.000000,2,1.000000,0.112759,False
train,46,17,1047,1.047000,12.598418,20.000000,25.000000,4.000000,4,0.656160,0.294972,False
train,46,18,4097,4.097000,19.852831,40.000000,36.000000,6.000000,6,0.491823,0.117371,False
train,46,19,567,0.567000,10.269000,18.000000,17.000000,5.000000,5,0.738977,0.122972,False
train,46,20,55,0.055000,4.718327,7.000000,7.000000,2.000000,2,1.000000,0.144427,False
train,46,21,10894,10.894000,27.504025,57.000000,52.000000,9.000000,9,0.384799,0.081464,False
train,46,22,2904,2.904000,17.701062,33.000000,32.000000,7.000000,7,0.516529,0.145054,False
train,46,23,1045,1.045000,12.590391,25.000000,24.000000,3.000000,3,0.775120,0.064520,False
train,46,24,67,0.067000,5.039167,10.000000,10.000000,1.000000,1,1.000000,0.288663,False
train,46,25,202,0.202000,7.279769,12.000000,11.000000,3.000000,3,0.841584,0.147980,False
train,46,26,142,0.142000,6.472865,13.000000,12.000000,2.000000,2,1.000000,0.295016,False
train,46,27,214,0.214000,7.421159,15.000000,14.000000,2.000000,2,1.000000,0.300665,False
train,46,28,512,0.512000,9.925608,18.000000,18.000000,3.000000,3,0.806641,0.231523,False
train,46,29,38,0.038000,4.171206,7.000000,7.000000,1.000000,1,1.000000,0.044544,False
train,46,30,209,0.209000,7.362905,13.000000,12.000000,2.000000,2,1.000000,0.137407,False
train,46,31,982,0.982000,12.332117,34.000000,26.000000,4.000000,4,0.807536,0.025724,False
train,46,32,2620,2.620000,17.104126,30.000000,32.000000,7.000000,7,0.577481,0.193384,False
train,46,33,294,0.294000,8.249917,18.000000,15.000000,3.000000,3,0.928571,0.072143,False
train,46,34,75,0.075000,5.232239,10.000000,10.000000,1.000000,1,1.000000,0.294695,False
train,46,35,170,0.170000,6.873059,18.000000,14.000000,4.000000,4,1.000000,0.274962,False
train,46,36,248,0.248000,7.795028,13.000000,11.000000,4.000000,4,0.766129,0.193397,False
