volume_id,roi_empty,y0,y1,x0,x1,crop_area_ratio,tumour_pixel_containment,positive_slice_containment,tumor_pixels,positive_slices,split,liver_threshold,padding,component_mode
89,False,65,250,68,233,0.465775,,,0,0,train,0.500000,16,largest_3d
90,False,92,242,69,242,0.395966,1.000000,1.000000,62781,163,train,0.500000,16,largest_3d
91,False,76,237,50,213,0.400436,,,0,0,train,0.500000,16,largest_3d
92,False,66,250,43,212,0.474487,1.000000,1.000000,658,45,train,0.500000,16,largest_3d
93,False,45,238,64,223,0.468246,1.000000,1.000000,86945,199,train,0.500000,16,largest_3d
94,False,86,226,76,237,0.343933,1.000000,1.000000,15626,118,train,0.500000,16,largest_3d
95,False,41,241,67,207,0.427246,1.000000,1.000000,646,13,train,0.500000,16,largest_3d
96,False,60,249,36,197,0.464310,1.000000,1.000000,10152,210,train,0.500000,16,largest_3d
97,False,49,244,43,219,0.523682,1.000000,1.000000,181385,189,train,0.500000,16,largest_3d
98,False,66,236,33,195,0.420227,1.000000,1.000000,151997,140,train,0.500000,16,largest_3d
99,False,68,231,50,204,0.383026,1.000000,1.000000,3088,90,train,0.500000,16,largest_3d
100,False,0,173,35,210,0.461960,1.000000,1.000000,392209,235,train,0.500000,16,largest_3d
101,False,62,256,42,214,0.509155,1.000000,1.000000,94617,192,train,0.500000,16,largest_3d
102,False,60,256,46,232,0.556274,1.000000,1.000000,11913,45,train,0.500000,16,largest_3d
103,False,83,237,33,178,0.340729,1.000000,1.000000,18938,64,train,0.500000,16,largest_3d
104,False,52,225,89,215,0.332611,1.000000,1.000000,69032,122,val,0.500000,16,largest_3d
105,False,75,235,78,234,0.380859,,,0,0,val,0.500000,16,largest_3d
106,False,61,224,66,207,0.350693,,,0,0,val,0.500000,16,largest_3d
107,False,69,227,78,220,0.342346,1.000000,1.000000,1473,71,val,0.500000,16,largest_3d
108,False,51,243,46,228,0.533203,1.000000,1.000000,363698,202,val,0.500000,16,largest_3d
109,False,43,235,85,227,0.416016,1.000000,1.000000,18200,131,val,0.500000,16,largest_3d
110,False,61,233,45,194,0.391052,1.000000,1.000000,31120,130,val,0.500000,16,largest_3d
111,False,86,256,46,225,0.464325,1.000000,1.000000,1830,92,val,0.500000,16,largest_3d
112,False,60,246,49,221,0.488159,1.000000,1.000000,295,26,val,0.500000,16,largest_3d
113,False,52,243,56,226,0.495453,1.000000,1.000000,21076,135,val,0.500000,16,largest_3d
114,False,53,234,54,215,0.444656,,,0,0,val,0.500000,16,largest_3d
115,False,78,254,69,228,0.427002,,,0,0,val,0.500000,16,largest_3d
116,False,53,233,50,231,0.497131,1.000000,1.000000,152763,133,val,0.500000,16,largest_3d
