split,volume_id,tumour_hu_median,tumour_hu_iqr,liver_hu_median,liver_hu_iqr,tumour_minus_liver_hu,robust_cnr,background_hu_median,background_hu_iqr,tumour_broad_window_visibility,tumour_liver_window_visibility,liver_broad_window_visibility,liver_liver_window_visibility
train,15,44.000000,25.000000,64.000000,26.000000,-20.000000,-1.037692,-720.000000,1010.000000,1.000000,0.984000,0.999947,0.994697
train,16,72.000000,39.000000,108.000000,40.000000,-36.000000,-1.214100,-986.000000,921.000000,0.999971,0.993528,0.999825,0.993598
train,17,62.000000,38.000000,96.000000,38.000000,-34.000000,-1.207000,-903.000000,960.000000,1.000000,0.985296,0.999987,0.997450
train,18,79.000000,32.000000,98.000000,30.000000,-19.000000,-0.854367,-991.000000,883.000000,1.000000,0.998629,1.000000,0.998967
train,19,46.000000,45.000000,68.000000,46.000000,-22.000000,-0.645174,-667.000000,967.000000,0.999514,0.913644,0.999168,0.969089
train,20,34.000000,41.000000,74.000000,45.000000,-40.000000,-1.199111,-924.000000,946.000000,1.000000,0.894548,0.995069,0.969940
train,21,72.000000,39.000000,93.000000,31.000000,-21.000000,-0.913839,-934.000000,986.000000,1.000000,0.992832,0.999829,0.998521
train,22,46.000000,28.000000,104.000000,29.000000,-58.000000,-2.698000,-997.000000,136.000000,1.000000,0.994058,0.999808,0.994312
train,23,44.000000,27.000000,93.000000,27.000000,-49.000000,-2.448185,-908.000000,1005.000000,1.000000,0.990094,0.999840,0.996114
train,24,82.000000,24.000000,94.000000,27.000000,-12.000000,-0.599556,-118.000000,1009.000000,1.000000,1.000000,0.999977,0.999468
train,25,74.000000,21.000000,124.000000,23.000000,-50.000000,-2.932609,-932.000000,908.000000,1.000000,1.000000,0.999995,0.998221
train,26,49.000000,25.000000,89.000000,26.000000,-40.000000,-2.075385,-989.000000,877.000000,0.999923,0.995078,0.999881,0.997962
train,27,51.000000,29.000000,93.000000,25.000000,-42.000000,-2.266320,-946.000000,899.000000,1.000000,0.993592,0.999981,0.995440
train,28,76.000000,37.000000,113.000000,24.000000,-37.000000,-2.079708,-620.000000,1033.000000,0.999771,0.998049,0.999879,0.995546
train,29,82.000000,30.000000,97.000000,30.000000,-15.000000,-0.674500,-976.000000,919.000000,0.999858,0.992106,0.999701,0.994803
train,30,85.000000,28.000000,107.000000,28.000000,-22.000000,-1.059929,-149.000000,922.000000,1.000000,0.999579,0.999428,0.990933
train,31,58.000000,37.000000,106.000000,16.000000,-48.000000,-4.047000,-906.000000,951.000000,1.000000,0.998367,1.000000,0.999236
train,32,,,76.000000,36.000000,,,-811.000000,982.000000,,,0.999896,0.979000
train,33,72.000000,63.000000,115.000000,39.000000,-43.000000,-1.487359,-258.000000,970.000000,0.999857,0.953506,0.998225,0.971465
train,34,,,120.000000,17.000000,,,-923.000000,971.000000,,,1.000000,0.999624
train,35,138.000000,38.000000,165.000000,29.000000,-27.000000,-1.255966,-954.000000,1079.000000,0.999606,0.990058,0.988373,0.928093
train,36,60.000000,36.000000,90.000000,24.000000,-30.000000,-1.686250,-949.000000,904.000000,1.000000,0.984652,0.999980,0.996702
train,37,60.000000,39.000000,105.000000,26.000000,-45.000000,-2.334808,-959.000000,961.000000,1.000000,0.984180,0.998757,0.989529
train,38,,,108.000000,21.000000,,,-943.000000,939.000000,,,0.999388,0.991674
train,39,123.000000,22.000000,122.000000,25.000000,1.000000,0.053960,-955.000000,925.000000,0.999989,0.999117,0.999517,0.996054
train,40,80.000000,48.000000,114.000000,32.000000,-34.000000,-1.433312,-489.000000,1040.000000,0.999665,0.981270,0.999553,0.991354
train,41,,,113.000000,32.000000,,,-981.000000,931.000000,,,0.999551,0.992131
train,42,70.000000,45.750000,104.000000,40.000000,-34.000000,-1.146650,-999.000000,909.000000,1.000000,0.986569,0.995976,0.971950
train,43,14.000000,42.000000,27.000000,42.000000,-13.000000,-0.417548,-129.000000,985.000000,1.000000,0.686929,0.999934,0.810717
train,44,68.000000,54.000000,103.000000,28.000000,-35.000000,-1.686250,-921.000000,982.000000,0.973370,0.946314,0.999434,0.991658
train,45,94.000000,36.000000,50.000000,24.000000,44.000000,2.473167,-971.000000,892.000000,1.000000,0.996475,0.999983,0.991290
train,46,67.000000,63.000000,139.000000,26.000000,-72.000000,-3.735692,-926.000000,901.000000,1.000000,0.991863,0.994347,0.964167
train,47,,,85.000000,25.000000,,,-829.000000,923.000000,,,1.000000,0.998978
train,48,76.000000,30.000000,100.000000,24.000000,-24.000000,-1.349000,-992.000000,896.000000,1.000000,0.999493,0.998485,0.967711
train,49,79.000000,38.000000,115.000000,24.000000,-36.000000,-2.023500,-992.000000,878.000000,1.000000,0.998628,0.996755,0.980133
train,50,95.000000,39.000000,125.000000,25.000000,-30.000000,-1.618800,-992.000000,775.000000,1.000000,0.999005,0.999109,0.983947
train,51,58.000000,26.000000,89.000000,23.000000,-31.000000,-1.818217,-949.000000,909.000000,1.000000,0.998383,0.998191,0.974719
train,52,107.000000,32.000000,139.000000,27.000000,-32.000000,-1.598815,-989.000000,340.000000,1.000000,0.999891,0.997471,0.988008
train,53,84.000000,20.000000,97.000000,19.000000,-13.000000,-0.923000,-881.000000,936.000000,1.000000,1.000000,0.999995,0.994861
train,54,71.000000,20.000000,80.000000,20.000000,-9.000000,-0.607050,-894.000000,927.000000,1.000000,1.000000,0.999937,0.995802
train,55,28.000000,43.000000,130.000000,29.000000,-102.000000,-4.744759,-851.000000,1027.000000,1.000000,0.850912,0.999977,0.997272
train,56,40.000000,33.000000,121.000000,29.000000,-81.000000,-3.767897,-946.000000,930.000000,1.000000,0.964741,0.999852,0.992896
train,57,61.000000,42.000000,99.000000,34.000000,-38.000000,-1.507706,-885.000000,1031.000000,1.000000,0.975167,0.999974,0.996308
train,58,60.000000,42.000000,102.000000,31.000000,-42.000000,-1.827677,-833.000000,936.000000,1.000000,0.961192,0.999999,0.997467
train,59,67.000000,49.000000,114.000000,33.000000,-47.000000,-1.921303,-118.000000,1015.000000,1.000000,0.889527,0.999627,0.990461
train,60,60.000000,42.000000,79.000000,35.000000,-19.000000,-0.732314,-153.000000,955.000000,1.000000,0.987861,0.999808,0.995907
train,61,70.000000,25.000000,98.000000,19.000000,-28.000000,-1.988000,-523.000000,957.000000,1.000000,1.000000,1.000000,0.999502
train,62,82.000000,41.000000,119.000000,27.000000,-37.000000,-1.848630,-854.000000,965.000000,1.000000,0.999374,0.999929,0.995327
train,63,73.000000,36.000000,102.000000,22.000000,-29.000000,-1.778227,-118.000000,956.000000,1.000000,0.976744,0.999953,0.997258
train,64,34.000000,36.000000,115.000000,32.000000,-81.000000,-3.414656,-943.000000,960.000000,0.999380,0.914776,0.999960,0.996793
train,65,95.000000,31.000000,117.000000,26.000000,-22.000000,-1.141462,-921.000000,978.000000,1.000000,1.000000,0.999733,0.994344
train,66,60.000000,35.000000,83.000000,23.000000,-23.000000,-1.349000,-760.000000,1004.000000,1.000000,0.986284,0.999945,0.995982
train,67,81.000000,19.000000,93.000000,19.000000,-12.000000,-0.852000,-124.000000,892.000000,1.000000,1.000000,1.000000,0.999317
train,68,62.000000,35.000000,93.000000,31.000000,-31.000000,-1.349000,-966.000000,999.000000,1.000000,0.997136,0.998805,0.987610
train,69,59.000000,45.000000,97.000000,31.000000,-38.000000,-1.653613,-572.000000,947.000000,1.000000,0.983938,0.999835,0.986814
train,70,49.000000,48.000000,98.000000,40.000000,-49.000000,-1.652525,-735.000000,986.000000,0.999403,0.937753,0.998581,0.982745
train,71,71.000000,34.000000,99.000000,29.000000,-28.000000,-1.302483,-98.000000,147.000000,0.999622,0.984083,0.999838,0.991712
train,72,82.000000,26.000000,103.000000,27.000000,-21.000000,-1.049222,-225.000000,976.000000,1.000000,1.000000,0.999230,0.988667
train,73,80.000000,22.000000,96.000000,25.000000,-16.000000,-0.863360,-876.000000,923.000000,1.000000,1.000000,0.999973,0.993950
train,74,69.000000,29.000000,97.000000,27.000000,-28.000000,-1.398963,-750.000000,989.000000,1.000000,0.993323,0.999761,0.994925
train,75,72.000000,26.000000,97.000000,22.000000,-25.000000,-1.532955,-905.000000,970.000000,1.000000,0.998520,0.999066,0.990409
train,76,46.000000,34.000000,97.000000,21.000000,-51.000000,-3.276143,-924.000000,962.000000,1.000000,0.994310,0.999892,0.987011
train,77,82.000000,20.000000,95.000000,19.000000,-13.000000,-0.923000,-103.000000,946.000000,1.000000,0.999764,0.999707,0.991370
train,78,60.000000,29.000000,99.000000,18.000000,-39.000000,-2.922833,-932.000000,992.000000,1.000000,0.999511,1.000000,0.996881
train,79,54.000000,31.000000,95.000000,27.000000,-41.000000,-2.048481,-396.000000,936.000000,1.000000,0.996698,0.999842,0.984690
train,80,74.000000,23.000000,96.000000,22.000000,-22.000000,-1.349000,-920.000000,918.000000,1.000000,0.999422,0.999741,0.992033
train,81,43.000000,45.000000,99.000000,40.000000,-56.000000,-1.888600,-913.000000,959.000000,1.000000,0.946394,0.999313,0.985645
train,82,49.000000,37.000000,96.000000,26.000000,-47.000000,-2.438577,-915.000000,1001.000000,1.000000,0.985389,0.999144,0.992713
train,83,49.000000,45.750000,132.000000,38.000000,-83.000000,-2.946500,-933.000000,910.000000,1.000000,0.908163,0.997115,0.978728
train,84,69.000000,58.000000,85.000000,50.000000,-16.000000,-0.431680,-148.000000,969.000000,0.999917,0.943405,0.999854,0.978177
train,85,95.000000,60.000000,112.000000,57.000000,-17.000000,-0.402333,-143.000000,957.000000,0.999421,0.976390,0.997856,0.971953
train,86,95.000000,38.000000,105.000000,42.000000,-10.000000,-0.321190,-586.000000,998.000000,1.000000,0.998513,0.999803,0.993768
train,87,,,99.000000,37.000000,,,-150.000000,943.000000,,,0.999991,0.998663
train,88,68.000000,48.000000,129.000000,33.000000,-61.000000,-2.493606,-888.000000,993.000000,0.998583,0.988026,0.998454,0.988236
train,89,,,148.000000,33.000000,,,-124.000000,1012.000000,,,0.997330,0.973295
train,90,55.000000,41.000000,107.000000,31.000000,-52.000000,-2.262839,-939.000000,1033.000000,1.000000,0.982303,0.999968,0.996094
train,91,,,115.000000,37.000000,,,-878.000000,948.000000,,,0.999825,0.996514
train,92,48.000000,61.000000,136.000000,41.000000,-88.000000,-2.895415,-809.000000,1029.000000,1.000000,0.883739,0.995420,0.968410
train,93,43.000000,33.000000,102.000000,33.000000,-59.000000,-2.411848,-225.000000,1015.000000,1.000000,0.961590,0.999948,0.997044
train,94,81.000000,42.000000,100.000000,44.000000,-19.000000,-0.582523,-916.000000,958.000000,1.000000,0.994962,0.999880,0.993258
train,95,19.000000,28.000000,71.000000,35.000000,-52.000000,-2.004229,-138.000000,962.000000,1.000000,0.819837,0.998688,0.989305
train,96,77.000000,47.000000,115.000000,45.000000,-38.000000,-1.139156,-886.000000,997.000000,0.999926,0.978807,0.999621,0.990271
train,97,67.000000,51.000000,118.000000,44.000000,-51.000000,-1.563614,-845.000000,975.000000,0.999990,0.967588,0.998917,0.986318
train,98,74.000000,44.000000,124.000000,43.000000,-50.000000,-1.568605,-914.000000,935.000000,0.999995,0.984631,0.995628,0.977398
train,99,49.000000,68.000000,143.000000,44.000000,-94.000000,-2.881955,-903.000000,920.000000,0.999592,0.861258,0.991000,0.946181
train,100,61.000000,56.000000,112.000000,49.000000,-51.000000,-1.404061,-143.000000,974.000000,0.999948,0.933296,0.999463,0.988264
train,101,57.000000,51.000000,110.000000,45.000000,-53.000000,-1.588822,-107.000000,1003.000000,1.000000,0.940004,0.999699,0.991685
train,102,69.000000,56.000000,87.000000,52.000000,-18.000000,-0.466962,-117.000000,985.000000,0.999979,0.953554,0.999745,0.979735
train,103,83.000000,54.000000,109.000000,55.000000,-26.000000,-0.637709,-958.000000,935.000000,0.999894,0.973914,0.998644,0.977988
val,104,8.000000,26.000000,98.000000,28.000000,-90.000000,-4.336071,-986.000000,923.000000,0.996365,0.675980,0.997349,0.991560
val,105,,,92.000000,40.000000,,,-884.000000,946.000000,,,0.999992,0.997143
val,106,,,106.000000,27.000000,,,-986.000000,934.000000,,,0.999993,0.999373
val,107,100.000000,34.000000,124.000000,32.000000,-24.000000,-1.011750,-908.000000,929.000000,1.000000,0.999832,0.998890,0.985769
val,108,59.000000,36.000000,103.000000,31.000000,-44.000000,-1.914710,-833.000000,995.000000,0.999999,0.993972,0.999958,0.996011
val,109,20.000000,39.000000,84.000000,34.000000,-64.000000,-2.539294,-909.000000,962.000000,1.000000,0.776469,0.999997,0.994746
val,110,95.000000,39.000000,131.000000,37.000000,-36.000000,-1.312541,-941.000000,929.000000,1.000000,0.994341,0.999212,0.987801
val,111,73.000000,42.000000,126.000000,38.000000,-53.000000,-1.881500,-532.000000,998.000000,1.000000,0.993014,0.998119,0.988400
val,112,50.000000,42.000000,139.000000,29.000000,-89.000000,-4.140034,-868.000000,1014.000000,1.000000,0.955970,0.999341,0.988219
val,113,81.000000,33.000000,118.000000,28.000000,-37.000000,-1.782607,-947.000000,987.000000,0.999964,0.997769,0.999943,0.998627
val,114,,,99.000000,38.000000,,,-162.000000,942.000000,,,0.998106,0.990413
val,115,,,127.000000,31.000000,,,-939.000000,1015.000000,,,0.999544,0.993636
val,116,57.000000,42.000000,66.000000,41.000000,-9.000000,-0.296122,-862.000000,945.000000,0.999993,0.967550,0.999983,0.981842
